#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474837.1         -            115 14297at5820          -             98   7.5e-57  187.9   6.4   1   1     1e-59   8.7e-57  187.7   6.4     1    98    14   112    14   112 0.98 | transcript=PVW1_100034500_t1 | gene=PVW1_100034500 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain Tctex-type, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH3] | transcript_product=Dynein light chain Tctex-type, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH3] | location=CAJZCX010000005:1373118-1374405(+) | protein_length=115 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477273.1         -            107 14297at5820          -             98   0.00012   20.5   1.6   1   1   1.7e-07   0.00015   20.2   1.6     5    97    16   107    11   107 0.74 | transcript=PVW1_090052200_t1 | gene=PVW1_090052200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY77] | transcript_product=Dynein light chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY77] | location=CAJZCX010000007:2096879-2097957(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480651.1         -            112 14297at5820          -             98   0.00044   18.7   1.4   1   1   6.2e-07   0.00054   18.4   1.4     6    94    23   109    18   112 0.70 | transcript=PVW1_070032500_t1 | gene=PVW1_070032500 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAW2] | transcript_product=Dynein light chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAW2] | location=CAJZCX010000011:1203721-1205045(-) | protein_length=112 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474789.1         -            179 14297at5820          -             98     0.016   13.6   1.0   1   2   3.1e-05     0.027   13.0   0.2    14    86    31   101    26   111 0.78 | transcript=PVW1_100030300_t1 | gene=PVW1_100030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1194111-1194650(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474789.1         -            179 14297at5820          -             98     0.016   13.6   1.0   2   2       2.5   2.1e+03   -2.8   0.0    21    31   164   174   151   177 0.57 | transcript=PVW1_100030300_t1 | gene=PVW1_100030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1194111-1194650(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485842.1         -            314 14297at5820          -             98      0.02   13.3   6.0   1   2     0.044        38    2.8   0.1    24    43    48    66    24    96 0.83 | transcript=PVW1_000023300_t1 | gene=PVW1_000023300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000019:275500-276697(-) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485842.1         -            314 14297at5820          -             98      0.02   13.3   6.0   2   2   6.8e-05     0.059   11.8   2.0    17    83   118   184   102   198 0.82 | transcript=PVW1_000023300_t1 | gene=PVW1_000023300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000019:275500-276697(-) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485795.1         -            317 14297at5820          -             98      0.27    9.7   7.8   1   2      0.19   1.6e+02    0.8   0.0    25    38    52    65    36    74 0.80 | transcript=PVW1_000021300_t1 | gene=PVW1_000021300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000019:187875-189081(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485795.1         -            317 14297at5820          -             98      0.27    9.7   7.8   2   2   0.00033      0.29    9.6   3.2    16    93   120   199   106   202 0.77 | transcript=PVW1_000021300_t1 | gene=PVW1_000021300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000019:187875-189081(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485484.1         -            317 14297at5820          -             98       1.9    7.0  12.1   1   3       0.3   2.6e+02    0.2   0.0    25    38    52    65    39    69 0.85 | transcript=PVW1_000016300_t1 | gene=PVW1_000016300 | organism=Plasmodium_vivax_PvW1 | gene_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A565A5G1] | transcript_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A565A5G1] | location=CAJZCX010000017:524087-525293(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485484.1         -            317 14297at5820          -             98       1.9    7.0  12.1   2   3   0.00015      0.13   10.8   3.7    16    91   120   196   106   203 0.80 | transcript=PVW1_000016300_t1 | gene=PVW1_000016300 | organism=Plasmodium_vivax_PvW1 | gene_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A565A5G1] | transcript_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A565A5G1] | location=CAJZCX010000017:524087-525293(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
