#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475881.1         -            518 6247at5820           -            432    3e-255  845.1  32.3   1   1  2.1e-256  1.9e-253  839.2  32.3     1   432     1   475     1   475 0.95 | transcript=PVW1_130032500_t1 | gene=PVW1_130032500 | organism=Plasmodium_vivax_PvW1 | gene_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | transcript_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | location=CAJZCX010000006:1216905-1218461(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475713.1         -            790 6247at5820           -            432     2e-18   64.7   1.9   1   4      0.86   7.5e+02   -3.1   0.2   261   295   120   154   112   161 0.56 | transcript=PVW1_130025200_t1 | gene=PVW1_130025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:925258-927792(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475713.1         -            790 6247at5820           -            432     2e-18   64.7   1.9   2   4   4.2e-10   3.7e-07   27.6   0.0   173   238   336   401   288   424 0.90 | transcript=PVW1_130025200_t1 | gene=PVW1_130025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:925258-927792(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475713.1         -            790 6247at5820           -            432     2e-18   64.7   1.9   3   4   5.6e-12   4.9e-09   33.8   0.1   282   336   550   605   537   630 0.84 | transcript=PVW1_130025200_t1 | gene=PVW1_130025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:925258-927792(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475713.1         -            790 6247at5820           -            432     2e-18   64.7   1.9   4   4      0.12   1.1e+02   -0.3   0.0   403   430   696   723   674   725 0.81 | transcript=PVW1_130025200_t1 | gene=PVW1_130025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:925258-927792(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475577.1         -            417 6247at5820           -            432   1.4e-13   48.8   6.8   1   1   3.7e-15   3.2e-12   44.3   6.8   178   302   102   223    96   326 0.80 | transcript=PVW1_130019900_t1 | gene=PVW1_130019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:667366-668619(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 6247at5820           -            432   5.6e-07   27.0   1.2   1   2   8.4e-09   7.3e-06   23.3   0.2   278   339   102   166    90   181 0.77 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 6247at5820           -            432   5.6e-07   27.0   1.2   2   2     0.026        22    2.0   0.0   218   248   333   360   324   394 0.76 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483315.1         -            800 6247at5820           -            432   4.4e-06   24.0   4.7   1   3    0.0095       8.3    3.4   0.1   124   194   376   449   370   492 0.82 | transcript=PVW1_030017100_t1 | gene=PVW1_030017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:560610-563012(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483315.1         -            800 6247at5820           -            432   4.4e-06   24.0   4.7   2   3   3.4e-08     3e-05   21.3   0.2   271   339   549   621   523   649 0.76 | transcript=PVW1_030017100_t1 | gene=PVW1_030017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:560610-563012(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483315.1         -            800 6247at5820           -            432   4.4e-06   24.0   4.7   3   3      0.22   1.9e+02   -1.1   0.1   316   379   659   720   652   744 0.68 | transcript=PVW1_030017100_t1 | gene=PVW1_030017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:560610-563012(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
