#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472546.1         -            302 9829at5820           -            272  2.2e-163  540.5  15.9   1   1  5.6e-166  3.4e-163  539.9  15.9     1   272     9   298     9   298 0.97 | transcript=PVW1_140071000_t1 | gene=PVW1_140071000 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W1] | transcript_product=Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W1] | location=CAJZCX010000003:2825882-2826790(-) | protein_length=302 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473362.1         -            522 9829at5820           -            272   3.5e-17   61.1  18.3   1   3   5.8e-20   3.5e-17   61.1  18.3   117   271    20   188    14   190 0.80 | transcript=PVW1_120034900_t1 | gene=PVW1_120034900 | organism=Plasmodium_vivax_PvW1 | gene_product=Aha1_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H151] | transcript_product=Aha1_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H151] | location=CAJZCX010000004:1285658-1287226(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473362.1         -            522 9829at5820           -            272   3.5e-17   61.1  18.3   2   3       7.7   4.7e+03   -4.9   4.7   132   155   307   333   262   380 0.68 | transcript=PVW1_120034900_t1 | gene=PVW1_120034900 | organism=Plasmodium_vivax_PvW1 | gene_product=Aha1_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H151] | transcript_product=Aha1_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H151] | location=CAJZCX010000004:1285658-1287226(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473362.1         -            522 9829at5820           -            272   3.5e-17   61.1  18.3   3   3       1.4   8.2e+02   -2.4   1.2   141   192   353   406   328   427 0.60 | transcript=PVW1_120034900_t1 | gene=PVW1_120034900 | organism=Plasmodium_vivax_PvW1 | gene_product=Aha1_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H151] | transcript_product=Aha1_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H151] | location=CAJZCX010000004:1285658-1287226(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476674.1         -            426 9829at5820           -            272   3.2e-11   41.5   8.0   1   2       2.2   1.3e+03   -3.1   0.2    19    51    25    61    13    72 0.48 | transcript=PVW1_090017100_t1 | gene=PVW1_090017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:595790-597237(+) | protein_length=426 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476674.1         -            426 9829at5820           -            272   3.2e-11   41.5   8.0   2   2   5.2e-14   3.2e-11   41.5   8.0   119   262   105   265    99   274 0.80 | transcript=PVW1_090017100_t1 | gene=PVW1_090017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:595790-597237(+) | protein_length=426 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472488.1         -            571 9829at5820           -            272   5.4e-09   34.2   9.4   1   1   1.7e-11   1.1e-08   33.3   9.4   132   250   397   514   387   527 0.92 | transcript=PVW1_140065500_t1 | gene=PVW1_140065500 | organism=Plasmodium_vivax_PvW1 | gene_product=Tetratricopeptide repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T7] | transcript_product=Tetratricopeptide repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T7] | location=CAJZCX010000003:2644187-2645902(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475644.1         -            559 9829at5820           -            272   6.4e-07   27.4  48.7   1   4   5.4e-08   3.3e-05   21.8   0.4   133   253     6   121     2   125 0.87 | transcript=PVW1_130022100_t1 | gene=PVW1_130022100 | organism=Plasmodium_vivax_PvW1 | gene_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | transcript_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | location=CAJZCX010000006:783884-785563(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475644.1         -            559 9829at5820           -            272   6.4e-07   27.4  48.7   2   4       2.6   1.6e+03   -3.4   7.9   154   209   120   174   102   231 0.71 | transcript=PVW1_130022100_t1 | gene=PVW1_130022100 | organism=Plasmodium_vivax_PvW1 | gene_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | transcript_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | location=CAJZCX010000006:783884-785563(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475644.1         -            559 9829at5820           -            272   6.4e-07   27.4  48.7   3   4      0.02        12    3.5  14.6   130   249   235   354   220   362 0.64 | transcript=PVW1_130022100_t1 | gene=PVW1_130022100 | organism=Plasmodium_vivax_PvW1 | gene_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | transcript_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | location=CAJZCX010000006:783884-785563(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475644.1         -            559 9829at5820           -            272   6.4e-07   27.4  48.7   4   4   2.3e-06    0.0014   16.5  10.7   124   256   366   491   347   502 0.77 | transcript=PVW1_130022100_t1 | gene=PVW1_130022100 | organism=Plasmodium_vivax_PvW1 | gene_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | transcript_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | location=CAJZCX010000006:783884-785563(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
