#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475644.1         -            559 5426at5820           -            491  1.7e-297  985.2  61.6   1   2   3.1e-90   2.7e-87  292.0  16.5     1   194     1   221     1   228 0.89 | transcript=PVW1_130022100_t1 | gene=PVW1_130022100 | organism=Plasmodium_vivax_PvW1 | gene_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | transcript_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | location=CAJZCX010000006:783884-785563(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475644.1         -            559 5426at5820           -            491  1.7e-297  985.2  61.6   2   2  1.3e-213  1.1e-210  698.9  37.9   166   491   227   559   224   559 0.99 | transcript=PVW1_130022100_t1 | gene=PVW1_130022100 | organism=Plasmodium_vivax_PvW1 | gene_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | transcript_product=STI1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H398] | location=CAJZCX010000006:783884-785563(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482502.1         -            463 5426at5820           -            491     1e-13   49.3   7.5   1   2   1.4e-12   1.2e-09   35.9   2.6   303   388     9    94     2   109 0.92 | transcript=PVW1_040017600_t1 | gene=PVW1_040017600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:560187-562155(+) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482502.1         -            463 5426at5820           -            491     1e-13   49.3   7.5   2   2   1.6e-06    0.0014   15.8   0.2   180   239   304   367   284   383 0.76 | transcript=PVW1_040017600_t1 | gene=PVW1_040017600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:560187-562155(+) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472488.1         -            571 5426at5820           -            491   3.1e-12   44.4  11.5   1   1   6.1e-15   5.3e-12   43.6  11.5   288   411   382   508   352   534 0.84 | transcript=PVW1_140065500_t1 | gene=PVW1_140065500 | organism=Plasmodium_vivax_PvW1 | gene_product=Tetratricopeptide repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T7] | transcript_product=Tetratricopeptide repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T7] | location=CAJZCX010000003:2644187-2645902(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 5426at5820           -            491   3.6e-09   34.3   4.4   1   2    0.0017       1.5    5.9   0.2   306   332   159   185   140   193 0.79 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 5426at5820           -            491   3.6e-09   34.3   4.4   2   2     1e-10   8.9e-08   29.7   0.7   335   407   244   317   216   344 0.80 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479228.1         -           1123 5426at5820           -            491   1.4e-06   25.8   3.8   1   2   2.5e-08   2.1e-05   21.8   4.4   172   245   242   318   228   327 0.85 | transcript=PVW1_080033600_t1 | gene=PVW1_080033600 | organism=Plasmodium_vivax_PvW1 | gene_product=TPR domain containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H628] | transcript_product=TPR domain containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H628] | location=CAJZCX010000009:1265559-1268930(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479228.1         -           1123 5426at5820           -            491   1.4e-06   25.8   3.8   2   2      0.11        92   -0.1   0.0   177   207   326   356   318   364 0.87 | transcript=PVW1_080033600_t1 | gene=PVW1_080033600 | organism=Plasmodium_vivax_PvW1 | gene_product=TPR domain containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H628] | transcript_product=TPR domain containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H628] | location=CAJZCX010000009:1265559-1268930(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472546.1         -            302 5426at5820           -            491   2.3e-05   21.7   9.8   1   1   1.8e-07   0.00016   19.0   7.6   306   429   144   282   140   292 0.77 | transcript=PVW1_140071000_t1 | gene=PVW1_140071000 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W1] | transcript_product=Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W1] | location=CAJZCX010000003:2825882-2826790(-) | protein_length=302 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474788.1         -            463 5426at5820           -            491     3e-05   21.4  24.0   1   2   0.00074      0.64    7.1  18.6   174   338   118   283   109   293 0.57 | transcript=PVW1_100030200_t1 | gene=PVW1_100030200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1189816-1191632(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474788.1         -            463 5426at5820           -            491     3e-05   21.4  24.0   2   2   7.9e-07   0.00069   16.9   0.2   438   477   402   444   399   451 0.86 | transcript=PVW1_100030200_t1 | gene=PVW1_100030200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1189816-1191632(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5426at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5426at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5426at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:45 2026
# [ok]
