#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484974.1         -           1413 3833at5820           -            544  1.1e-185  616.8  87.9   1   9   2.6e-27   5.3e-24   83.2   0.0     1    58    47   104    47   116 0.94 | transcript=PVW1_010017100_t1 | gene=PVW1_010017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:552952-557786(+) | protein_length=1413 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484974.1         -           1413 3833at5820           -            544  1.1e-185  616.8  87.9   2   9   3.8e-63   7.7e-60  201.4   7.7    55   191   147   301   144   317 0.86 | transcript=PVW1_010017100_t1 | gene=PVW1_010017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:552952-557786(+) | protein_length=1413 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484974.1         -           1413 3833at5820           -            544  1.1e-185  616.8  87.9   3   9      0.16   3.2e+02   -1.9   4.8   182   210   465   493   462   497 0.84 | transcript=PVW1_010017100_t1 | gene=PVW1_010017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:552952-557786(+) | protein_length=1413 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484974.1         -           1413 3833at5820           -            544  1.1e-185  616.8  87.9   4   9   6.3e-09   1.3e-05   22.5   0.0   215   239   533   557   525   562 0.87 | transcript=PVW1_010017100_t1 | gene=PVW1_010017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:552952-557786(+) | protein_length=1413 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484974.1         -           1413 3833at5820           -            544  1.1e-185  616.8  87.9   5   9   1.5e-46   3.1e-43  146.7   2.1   240   346   596   722   590   724 0.89 | transcript=PVW1_010017100_t1 | gene=PVW1_010017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:552952-557786(+) | protein_length=1413 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484974.1         -           1413 3833at5820           -            544  1.1e-185  616.8  87.9   6   9   9.6e-15   1.9e-11   41.7   0.3   343   385   843   885   837   913 0.80 | transcript=PVW1_010017100_t1 | gene=PVW1_010017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:552952-557786(+) | protein_length=1413 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484974.1         -           1413 3833at5820           -            544  1.1e-185  616.8  87.9   7   9   5.1e-06      0.01   12.9   0.5   383   408   921   946   902   956 0.86 | transcript=PVW1_010017100_t1 | gene=PVW1_010017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:552952-557786(+) | protein_length=1413 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484974.1         -           1413 3833at5820           -            544  1.1e-185  616.8  87.9   8   9   2.6e-09   5.2e-06   23.8   5.4   406   445  1098  1142  1093  1147 0.85 | transcript=PVW1_010017100_t1 | gene=PVW1_010017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:552952-557786(+) | protein_length=1413 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484974.1         -           1413 3833at5820           -            544  1.1e-185  616.8  87.9   9   9   1.6e-36   3.2e-33  113.6  20.2   432   544  1245  1380  1217  1380 0.85 | transcript=PVW1_010017100_t1 | gene=PVW1_010017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:552952-557786(+) | protein_length=1413 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472150.1         -            699 3833at5820           -            544   2.1e-06   25.1   0.3   1   5   1.1e-09   2.1e-06   25.1   0.3     9   149     3   128     1   136 0.79 | transcript=PVW1_140033200_t1 | gene=PVW1_140033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1207780-1211229(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472150.1         -            699 3833at5820           -            544   2.1e-06   25.1   0.3   2   5      0.18   3.6e+02   -2.1   0.0   238   268   226   258   216   263 0.76 | transcript=PVW1_140033200_t1 | gene=PVW1_140033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1207780-1211229(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472150.1         -            699 3833at5820           -            544   2.1e-06   25.1   0.3   3   5         3   6.1e+03  -11.2  13.1   458   508   308   357   260   377 0.44 | transcript=PVW1_140033200_t1 | gene=PVW1_140033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1207780-1211229(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472150.1         -            699 3833at5820           -            544   2.1e-06   25.1   0.3   4   5         3   6.1e+03  -12.3  20.3   429   527   433   517   412   536 0.52 | transcript=PVW1_140033200_t1 | gene=PVW1_140033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1207780-1211229(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472150.1         -            699 3833at5820           -            544   2.1e-06   25.1   0.3   5   5         3   6.1e+03   -8.4  17.3   367   454   587   663   544   695 0.42 | transcript=PVW1_140033200_t1 | gene=PVW1_140033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1207780-1211229(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 3833at5820           -            544       4.7    4.1  19.8   1   1    0.0028       5.6    3.9  19.8   420   484    78   141    53   150 0.63 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
