#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472549.1         -            611 5171at5820           -            438  1.3e-213  708.1   7.9   1   3   2.4e-83   7.6e-81  270.6   0.0     1   180    16   215    16   220 0.90 | transcript=PVW1_140071400_t1 | gene=PVW1_140071400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2839212-2842431(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472549.1         -            611 5171at5820           -            438  1.3e-213  708.1   7.9   2   3   3.1e-60   9.9e-58  194.4   0.0   178   307   239   387   227   410 0.87 | transcript=PVW1_140071400_t1 | gene=PVW1_140071400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2839212-2842431(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472549.1         -            611 5171at5820           -            438  1.3e-213  708.1   7.9   3   3   2.6e-75   8.3e-73  244.1   3.5   305   438   417   563   394   563 0.91 | transcript=PVW1_140071400_t1 | gene=PVW1_140071400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2839212-2842431(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476737.1         -            690 5171at5820           -            438   7.2e-88  293.7  18.9   1   3   1.9e-28     6e-26   89.7   2.6     3   196    24   231    22   240 0.78 | transcript=PVW1_090021900_t1 | gene=PVW1_090021900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:778466-780538(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476737.1         -            690 5171at5820           -            438   7.2e-88  293.7  18.9   2   3   1.3e-27   4.1e-25   86.9   0.1   208   307   356   460   340   470 0.81 | transcript=PVW1_090021900_t1 | gene=PVW1_090021900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:778466-780538(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476737.1         -            690 5171at5820           -            438   7.2e-88  293.7  18.9   3   3   2.5e-39   8.1e-37  125.5   4.0   307   438   532   678   519   678 0.80 | transcript=PVW1_090021900_t1 | gene=PVW1_090021900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:778466-780538(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483181.1         -            762 5171at5820           -            438   1.9e-26   91.3  19.1   1   4   1.4e-06   0.00045   17.6   0.2     2   122    15   144    14   151 0.69 | transcript=PVW1_030011200_t1 | gene=PVW1_030011200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | transcript_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | location=CAJZCX010000014:327464-329880(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483181.1         -            762 5171at5820           -            438   1.9e-26   91.3  19.1   2   4     1e-14   3.3e-12   44.4   2.6   234   311   378   456   370   487 0.83 | transcript=PVW1_030011200_t1 | gene=PVW1_030011200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | transcript_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | location=CAJZCX010000014:327464-329880(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483181.1         -            762 5171at5820           -            438   1.9e-26   91.3  19.1   3   4   7.6e-06    0.0024   15.2   0.1   324   393   617   683   608   707 0.78 | transcript=PVW1_030011200_t1 | gene=PVW1_030011200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | transcript_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | location=CAJZCX010000014:327464-329880(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483181.1         -            762 5171at5820           -            438   1.9e-26   91.3  19.1   4   4   1.6e-08   5.3e-06   23.9   0.9   391   427   715   751   711   759 0.88 | transcript=PVW1_030011200_t1 | gene=PVW1_030011200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | transcript_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | location=CAJZCX010000014:327464-329880(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476721.1         -            495 5171at5820           -            438   2.3e-13   48.2   9.0   1   1   2.1e-15   6.7e-13   46.7   9.0   234   416   283   471   263   477 0.74 | transcript=PVW1_090020600_t1 | gene=PVW1_090020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | transcript_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | location=CAJZCX010000007:735299-736786(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
