#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473780.1         -           1038 1690at5820           -            766         0 1468.3  77.2   1   4    1e-173  1.3e-170  568.0  14.3     1   259     1   259     1   268 0.99 | transcript=PVW1_120066200_t1 | gene=PVW1_120066200 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | transcript_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | location=CAJZCX010000004:2572817-2576368(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473780.1         -           1038 1690at5820           -            766         0 1468.3  77.2   2   4  2.4e-219    3e-216  718.9  38.3   259   630   307   720   302   727 0.93 | transcript=PVW1_120066200_t1 | gene=PVW1_120066200 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | transcript_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | location=CAJZCX010000004:2572817-2576368(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473780.1         -           1038 1690at5820           -            766         0 1468.3  77.2   3   4     0.001       1.2    5.9   0.0   613   635   748   770   737   782 0.82 | transcript=PVW1_120066200_t1 | gene=PVW1_120066200 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | transcript_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | location=CAJZCX010000004:2572817-2576368(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473780.1         -           1038 1690at5820           -            766         0 1468.3  77.2   4   4   5.2e-56   6.3e-53  178.8   6.3   625   765   857  1035   814  1036 0.85 | transcript=PVW1_120066200_t1 | gene=PVW1_120066200 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | transcript_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | location=CAJZCX010000004:2572817-2576368(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 1690at5820           -            766   1.1e-42  144.9  24.8   1   3   9.1e-46   1.1e-42  144.9  24.8     5   440    16   451    12   460 0.88 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 1690at5820           -            766   1.1e-42  144.9  24.8   2   3    0.0096        12    2.7   3.9   556   599   686   724   633   748 0.77 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 1690at5820           -            766   1.1e-42  144.9  24.8   3   3       1.2   1.4e+03   -4.2   2.1   511   554  1251  1294  1235  1305 0.80 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477950.1         -           1284 1690at5820           -            766     2e-27   94.5  33.2   1   3   3.9e-25   4.7e-22   76.7  12.0     6   169    10   178     4   232 0.87 | transcript=PVW1_110037700_t1 | gene=PVW1_110037700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1398129-1402991(-) | protein_length=1284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477950.1         -           1284 1690at5820           -            766     2e-27   94.5  33.2   2   3   7.9e-09   9.6e-06   22.8   8.2   275   426   544   699   539   709 0.85 | transcript=PVW1_110037700_t1 | gene=PVW1_110037700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1398129-1402991(-) | protein_length=1284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477950.1         -           1284 1690at5820           -            766     2e-27   94.5  33.2   3   3    0.0062       7.6    3.3   0.2   557   607   839   889   827   923 0.78 | transcript=PVW1_110037700_t1 | gene=PVW1_110037700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1398129-1402991(-) | protein_length=1284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484952.1         -           1426 1690at5820           -            766   1.3e-06   25.7   0.4   1   3     0.056        68    0.1   0.0    48   120    62   134    54   166 0.70 | transcript=PVW1_010016600_t1 | gene=PVW1_010016600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:533410-537990(-) | protein_length=1426 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484952.1         -           1426 1690at5820           -            766   1.3e-06   25.7   0.4   2   3     1e-09   1.3e-06   25.7   0.4   110   178   208   276   200   286 0.89 | transcript=PVW1_010016600_t1 | gene=PVW1_010016600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:533410-537990(-) | protein_length=1426 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484952.1         -           1426 1690at5820           -            766   1.3e-06   25.7   0.4   3   3      0.95   1.2e+03   -4.0   0.1   307   371   505   576   500   589 0.57 | transcript=PVW1_010016600_t1 | gene=PVW1_010016600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:533410-537990(-) | protein_length=1426 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475751.1         -           1313 1690at5820           -            766   1.7e-06   25.3  19.6   1   3   9.4e-08   0.00011   19.2   0.5    98   179    99   181    68   213 0.85 | transcript=PVW1_130026700_t1 | gene=PVW1_130026700 | organism=Plasmodium_vivax_PvW1 | gene_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | transcript_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | location=CAJZCX010000006:976654-980933(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475751.1         -           1313 1690at5820           -            766   1.7e-06   25.3  19.6   2   3   2.1e-06    0.0025   14.8   6.3   260   380   354   474   341   492 0.80 | transcript=PVW1_130026700_t1 | gene=PVW1_130026700 | organism=Plasmodium_vivax_PvW1 | gene_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | transcript_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | location=CAJZCX010000006:976654-980933(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
