#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479891.1         -            231 11576at5820          -            205  3.7e-108  358.3   3.2   1   1  4.9e-111  4.3e-108  358.1   3.2     1   205     7   225     7   225 0.96 | transcript=PVW1_050027300_t1 | gene=PVW1_050027300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP:AMP phosphotransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN5] | transcript_product=GTP:AMP phosphotransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN5] | location=CAJZCX010000010:925796-926491(-) | protein_length=231 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478794.1         -            242 11576at5820          -            205   1.2e-34  118.2   1.4   1   1     2e-37   1.7e-34  117.7   1.4     3   196    31   228    30   236 0.84 | transcript=PVW1_080014200_t1 | gene=PVW1_080014200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADK_lid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBG6] | transcript_product=ADK_lid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBG6] | location=CAJZCX010000009:459199-460198(-) | protein_length=242 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479847.1         -            259 11576at5820          -            205   4.3e-11   41.3   0.5   1   1   3.3e-13   2.9e-10   38.6   0.5     4   174    11   218     9   236 0.72 | transcript=PVW1_050023500_t1 | gene=PVW1_050023500 | organism=Plasmodium_vivax_PvW1 | gene_product=Adenylate kinase 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTM0] | transcript_product=Adenylate kinase 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTM0] | location=CAJZCX010000010:801046-801825(-) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483933.1         -            373 11576at5820          -            205   3.6e-08   31.8   9.3   1   3   9.8e-08   8.5e-05   20.7   0.4     3    72   107   182   105   191 0.75 | transcript=PVW1_020011300_t1 | gene=PVW1_020011300 | organism=Plasmodium_vivax_PvW1 | gene_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | transcript_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | location=CAJZCX010000015:331042-332713(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483933.1         -            373 11576at5820          -            205   3.6e-08   31.8   9.3   2   3   1.4e-05     0.012   13.7   1.4    58   137   244   331   217   335 0.69 | transcript=PVW1_020011300_t1 | gene=PVW1_020011300 | organism=Plasmodium_vivax_PvW1 | gene_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | transcript_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | location=CAJZCX010000015:331042-332713(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483933.1         -            373 11576at5820          -            205   3.6e-08   31.8   9.3   3   3    0.0026       2.3    6.3   0.3   149   189   308   353   304   364 0.73 | transcript=PVW1_020011300_t1 | gene=PVW1_020011300 | organism=Plasmodium_vivax_PvW1 | gene_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | transcript_product=UMP-CMP kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6S4] | location=CAJZCX010000015:331042-332713(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480755.1         -            270 11576at5820          -            205    0.0011   17.0   0.0   1   1   2.3e-06     0.002   16.3   0.0    53    95   109   156    94   254 0.84 | transcript=PVW1_070037300_t1 | gene=PVW1_070037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Adenylate kinase-like protein 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB17] | transcript_product=Adenylate kinase-like protein 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB17] | location=CAJZCX010000011:1379667-1381162(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479303.1         -            894 11576at5820          -            205    0.0028   15.8   1.8   1   3    0.0015       1.3    7.1   0.0     1    37   420   456   420   463 0.89 | transcript=PVW1_080040000_t1 | gene=PVW1_080040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1501411-1504095(-) | protein_length=894 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479303.1         -            894 11576at5820          -            205    0.0028   15.8   1.8   2   3    0.0013       1.2    7.2   0.0    66    89   523   546   464   552 0.70 | transcript=PVW1_080040000_t1 | gene=PVW1_080040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1501411-1504095(-) | protein_length=894 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479303.1         -            894 11576at5820          -            205    0.0028   15.8   1.8   3   3         2   1.8e+03   -3.2   0.3   173   200   690   718   671   719 0.68 | transcript=PVW1_080040000_t1 | gene=PVW1_080040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1501411-1504095(-) | protein_length=894 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478184.1         -           1685 11576at5820          -            205    0.0035   15.5   0.1   1   2   0.00012      0.11   10.6   0.1    18    84   587   658   576   672 0.84 | transcript=PVW1_110049200_t1 | gene=PVW1_110049200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1871926-1878107(+) | protein_length=1685 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
