#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476252.1         -           1226 2123at5820           -            973         0 1788.4  58.5   1   2   6.5e-60   1.3e-56  190.3  12.6     1   169     1   227     1   247 0.92 | transcript=PVW1_130048700_t1 | gene=PVW1_130048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1930393-1934073(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476252.1         -           1226 2123at5820           -            973         0 1788.4  58.5   2   2         0         0 1600.9  37.8   170   972   286  1225   265  1226 0.97 | transcript=PVW1_130048700_t1 | gene=PVW1_130048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1930393-1934073(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476738.1         -            905 2123at5820           -            973  3.5e-116  387.5  43.4   1   4    0.0082        17    1.3   3.1   158   232    82   156    33   183 0.64 | transcript=PVW1_090022000_t1 | gene=PVW1_090022000 | organism=Plasmodium_vivax_PvW1 | gene_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | transcript_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | location=CAJZCX010000007:784531-787860(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476738.1         -            905 2123at5820           -            973  3.5e-116  387.5  43.4   2   4   8.6e-63   1.8e-59  199.8  20.5   233   631   110   520    90   530 0.82 | transcript=PVW1_090022000_t1 | gene=PVW1_090022000 | organism=Plasmodium_vivax_PvW1 | gene_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | transcript_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | location=CAJZCX010000007:784531-787860(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476738.1         -            905 2123at5820           -            973  3.5e-116  387.5  43.4   3   4   3.5e-56   7.1e-53  178.0   0.2   619   785   592   759   585   774 0.94 | transcript=PVW1_090022000_t1 | gene=PVW1_090022000 | organism=Plasmodium_vivax_PvW1 | gene_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | transcript_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | location=CAJZCX010000007:784531-787860(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476738.1         -            905 2123at5820           -            973  3.5e-116  387.5  43.4   4   4   1.3e-08   2.7e-05   20.5   6.0   833   922   775   860   770   902 0.83 | transcript=PVW1_090022000_t1 | gene=PVW1_090022000 | organism=Plasmodium_vivax_PvW1 | gene_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | transcript_product=Clp R domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK5] | location=CAJZCX010000007:784531-787860(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471691.1         -            763 2123at5820           -            973   1.8e-52  176.6  34.2   1   3         3   6.1e+03  -30.6  42.9    89   285    65   277    43   292 0.59 | transcript=PVW1_000035300_t1 | gene=PVW1_000035300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:32014-34305(-) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471691.1         -            763 2123at5820           -            973   1.8e-52  176.6  34.2   2   3   8.8e-56   1.8e-52  176.6  34.2   453   791   292   621   282   631 0.84 | transcript=PVW1_000035300_t1 | gene=PVW1_000035300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:32014-34305(-) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471691.1         -            763 2123at5820           -            973   1.8e-52  176.6  34.2   3   3   0.00042      0.85    5.6  13.3   836   940   631   733   620   747 0.81 | transcript=PVW1_000035300_t1 | gene=PVW1_000035300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:32014-34305(-) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2123at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2123at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2123at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:07 2026
# [ok]
