#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480599.1         -            746 3523at5820           -            606         0 1136.2  28.1   1   3  3.5e-105  5.4e-102  340.6   7.0     6   193    54   250    49   254 0.95 | transcript=PVW1_070028100_t1 | gene=PVW1_070028100 | organism=Plasmodium_vivax_PvW1 | gene_product=NADPH-cytochrome p450 reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB01] | transcript_product=NADPH-cytochrome p450 reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB01] | location=CAJZCX010000011:1025889-1028129(+) | protein_length=746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480599.1         -            746 3523at5820           -            606         0 1136.2  28.1   2   3   3.6e-43   5.5e-40  135.8   0.1   188   283   286   382   281   391 0.94 | transcript=PVW1_070028100_t1 | gene=PVW1_070028100 | organism=Plasmodium_vivax_PvW1 | gene_product=NADPH-cytochrome p450 reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB01] | transcript_product=NADPH-cytochrome p450 reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB01] | location=CAJZCX010000011:1025889-1028129(+) | protein_length=746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480599.1         -            746 3523at5820           -            606         0 1136.2  28.1   3   3  1.7e-204  2.6e-201  668.6   8.5   277   606   405   746   402   746 0.98 | transcript=PVW1_070028100_t1 | gene=PVW1_070028100 | organism=Plasmodium_vivax_PvW1 | gene_product=NADPH-cytochrome p450 reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB01] | transcript_product=NADPH-cytochrome p450 reductase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB01] | location=CAJZCX010000011:1025889-1028129(+) | protein_length=746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473847.1         -            802 3523at5820           -            606   6.5e-12   43.1   9.7   1   3     5e-14   7.6e-11   39.6   1.2    13   160     9   153     2   180 0.85 | transcript=PVW1_120071500_t1 | gene=PVW1_120071500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2798111-2800519(-) | protein_length=802 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473847.1         -            802 3523at5820           -            606   6.5e-12   43.1   9.7   2   3     0.017        25    1.5   0.1   498   540   628   667   624   678 0.83 | transcript=PVW1_120071500_t1 | gene=PVW1_120071500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2798111-2800519(-) | protein_length=802 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473847.1         -            802 3523at5820           -            606   6.5e-12   43.1   9.7   3   3    0.0009       1.4    5.7   0.1   536   588   720   775   704   790 0.77 | transcript=PVW1_120071500_t1 | gene=PVW1_120071500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2798111-2800519(-) | protein_length=802 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477873.1         -            367 3523at5820           -            606   1.6e-11   41.8   0.2   1   1   1.7e-14   2.6e-11   41.1   0.2   436   577   188   343   179   364 0.74 | transcript=PVW1_110031900_t1 | gene=PVW1_110031900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ferredoxin--NADP(+) reductase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY9] | transcript_product=Ferredoxin--NADP(+) reductase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY9] | location=CAJZCX010000008:1174197-1175300(-) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474819.1         -            824 3523at5820           -            606   5.6e-10   36.7   1.8   1   3      0.48   7.3e+02   -3.3   0.1    10    45    30    69    26    75 0.62 | transcript=PVW1_100033000_t1 | gene=PVW1_100033000 | organism=Plasmodium_vivax_PvW1 | gene_product=tRNA 4-demethylwyosine synthase (AdoMet-dependent) [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDX3] | transcript_product=tRNA 4-demethylwyosine synthase (AdoMet-dependent) [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDX3] | location=CAJZCX010000005:1313878-1316352(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474819.1         -            824 3523at5820           -            606   5.6e-10   36.7   1.8   2   3      0.57   8.6e+02   -3.6   0.0   155   179   100   124    97   133 0.79 | transcript=PVW1_100033000_t1 | gene=PVW1_100033000 | organism=Plasmodium_vivax_PvW1 | gene_product=tRNA 4-demethylwyosine synthase (AdoMet-dependent) [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDX3] | transcript_product=tRNA 4-demethylwyosine synthase (AdoMet-dependent) [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDX3] | location=CAJZCX010000005:1313878-1316352(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474819.1         -            824 3523at5820           -            606   5.6e-10   36.7   1.8   3   3   3.7e-13   5.6e-10   36.7   1.8    44   160   174   296   144   317 0.88 | transcript=PVW1_100033000_t1 | gene=PVW1_100033000 | organism=Plasmodium_vivax_PvW1 | gene_product=tRNA 4-demethylwyosine synthase (AdoMet-dependent) [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDX3] | transcript_product=tRNA 4-demethylwyosine synthase (AdoMet-dependent) [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDX3] | location=CAJZCX010000005:1313878-1316352(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
