#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476780.1         -            366 10221at5820          -            271  1.4e-117  390.4   6.9   1   3     1e-37   4.7e-35  119.7   0.5     1   100     8   129     8   151 0.83 | transcript=PVW1_090024200_t1 | gene=PVW1_090024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | transcript_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | location=CAJZCX010000007:866739-867839(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476780.1         -            366 10221at5820          -            271  1.4e-117  390.4   6.9   2   3   1.7e-20   8.1e-18   63.2   0.0    99   155   156   217   149   221 0.89 | transcript=PVW1_090024200_t1 | gene=PVW1_090024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | transcript_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | location=CAJZCX010000007:866739-867839(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476780.1         -            366 10221at5820          -            271  1.4e-117  390.4   6.9   3   3     7e-63   3.3e-60  202.2   1.5   155   271   244   361   241   361 0.97 | transcript=PVW1_090024200_t1 | gene=PVW1_090024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | transcript_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | location=CAJZCX010000007:866739-867839(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475877.1         -            708 10221at5820          -            271     7e-23   79.8   1.1   1   3   5.3e-14   2.5e-11   42.0   0.0   161   253   380   475   349   480 0.84 | transcript=PVW1_130032400_t1 | gene=PVW1_130032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1210572-1212698(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475877.1         -            708 10221at5820          -            271     7e-23   79.8   1.1   2   3   2.1e-08     1e-05   23.6   0.0   196   249   487   540   475   560 0.87 | transcript=PVW1_130032400_t1 | gene=PVW1_130032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1210572-1212698(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475877.1         -            708 10221at5820          -            271     7e-23   79.8   1.1   3   3   6.8e-05     0.032   12.1   0.0   196   256   620   677   548   683 0.78 | transcript=PVW1_130032400_t1 | gene=PVW1_130032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1210572-1212698(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481387.1         -           1875 10221at5820          -            271   2.8e-22   77.9   7.2   1   3   3.8e-16   1.8e-13   49.0   0.9   173   257  1033  1117  1021  1127 0.93 | transcript=PVW1_060013400_t1 | gene=PVW1_060013400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:366202-371829(-) | protein_length=1875 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481387.1         -           1875 10221at5820          -            271   2.8e-22   77.9   7.2   2   3   3.6e-09   1.7e-06   26.1   0.2   197   249  1133  1185  1120  1200 0.89 | transcript=PVW1_060013400_t1 | gene=PVW1_060013400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:366202-371829(-) | protein_length=1875 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481387.1         -           1875 10221at5820          -            271   2.8e-22   77.9   7.2   3   3     0.013       5.9    4.6   0.0   198   249  1201  1252  1189  1259 0.92 | transcript=PVW1_060013400_t1 | gene=PVW1_060013400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:366202-371829(-) | protein_length=1875 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478831.1         -            188 10221at5820          -            271   5.4e-18   63.8   3.4   1   2   4.7e-13   2.2e-10   38.8   0.1   198   262    42   106    35   108 0.95 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478831.1         -            188 10221at5820          -            271   5.4e-18   63.8   3.4   2   2   9.7e-10   4.6e-07   28.0   1.0   194   252   104   162   100   175 0.89 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
