#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477008.1         -           1611 1267at5820           -           1206         0 2008.7 166.1   1   6   1.5e-08   3.1e-05   20.3   0.2     1    32    39    71    39    85 0.84 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1267at5820           -           1206         0 2008.7 166.1   2   6  3.8e-209  7.6e-206  684.8  41.8    29   424   199   609   191   618 0.95 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1267at5820           -           1206         0 2008.7 166.1   3   6   2.5e-94   5.1e-91  304.4  25.4   418   626   646   874   644   877 0.93 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1267at5820           -           1206         0 2008.7 166.1   4   6  4.1e-116  8.2e-113  376.6  45.4   626   909   914  1217   908  1220 0.93 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1267at5820           -           1206         0 2008.7 166.1   5   6   4.7e-29   9.4e-26   88.2   9.9   838   940  1183  1290  1178  1295 0.84 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477008.1         -           1611 1267at5820           -           1206         0 2008.7 166.1   6   6  3.3e-171  6.6e-168  559.1  15.2   949  1205  1353  1609  1351  1610 0.99 | transcript=PVW1_090036000_t1 | gene=PVW1_090036000 | organism=Plasmodium_vivax_PvW1 | gene_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | transcript_product=SMC hinge domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD32] | location=CAJZCX010000007:1357609-1362444(-) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1267at5820           -           1206   2.3e-37  126.7  14.6   1   7   6.7e-21   1.4e-17   61.2   0.1    31   133    31   136    13   150 0.77 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1267at5820           -           1206   2.3e-37  126.7  14.6   2   7   8.9e-07    0.0018   14.4   3.2   156   252   187   289   177   295 0.76 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1267at5820           -           1206   2.3e-37  126.7  14.6   3   7         3   6.1e+03  -26.5  45.9   758  1010   310   573   296   610 0.49 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1267at5820           -           1206   2.3e-37  126.7  14.6   4   7       0.4     8e+02   -4.3   0.0   649   677   702   729   699   747 0.77 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1267at5820           -           1206   2.3e-37  126.7  14.6   5   7     0.065   1.3e+02   -1.7   4.4   861   917   806   863   799   880 0.78 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1267at5820           -           1206   2.3e-37  126.7  14.6   6   7         3   6.1e+03  -23.7  41.5   731   910   852  1034   840  1074 0.42 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475023.1         -           1453 1267at5820           -           1206   2.3e-37  126.7  14.6   7   7   9.6e-26     2e-22   77.3  10.4   969  1200  1201  1420  1175  1425 0.88 | transcript=PVW1_100048900_t1 | gene=PVW1_100048900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1993041-1997402(-) | protein_length=1453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472019.1         -           1218 1267at5820           -           1206   2.8e-12   43.6 177.0   1   1   4.4e-12     9e-09   32.0 177.0    56  1182     3  1173     1  1191 0.61 | transcript=PVW1_140025600_t1 | gene=PVW1_140025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | transcript_product=Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4J7] | location=CAJZCX010000003:898588-902556(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
