#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472180.1         -            303 8695at5820           -            275  1.9e-171  566.9   9.3   1   1  3.5e-174  2.1e-171  566.7   9.3     1   275     1   291     1   291 0.97 | transcript=PVW1_140036000_t1 | gene=PVW1_140036000 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | location=CAJZCX010000003:1346023-1348521(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473790.1         -            411 8695at5820           -            275   2.3e-22   77.9   5.5   1   1   2.4e-24   1.5e-21   75.2   5.5    39   247    43   258    16   276 0.77 | transcript=PVW1_120066800_t1 | gene=PVW1_120066800 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | location=CAJZCX010000004:2598545-2601511(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483303.1         -            941 8695at5820           -            275   3.1e-17   61.1   1.3   1   1   9.4e-20   5.7e-17   60.2   1.3    54   235   673   865   668   911 0.73 | transcript=PVW1_030016700_t1 | gene=PVW1_030016700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:549016-552031(-) | protein_length=941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477169.1         -            872 8695at5820           -            275   1.5e-16   58.8   2.1   1   2   0.00095      0.58    7.7   0.2    24   109    33   125    24   131 0.66 | transcript=PVW1_090044000_t1 | gene=PVW1_090044000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1710125-1712743(+) | protein_length=872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477169.1         -            872 8695at5820           -            275   1.5e-16   58.8   2.1   2   2     9e-17   5.5e-14   50.4   0.1   108   233   516   649   474   677 0.82 | transcript=PVW1_090044000_t1 | gene=PVW1_090044000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1710125-1712743(+) | protein_length=872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471887.1         -            782 8695at5820           -            275   1.3e-10   39.4   2.6   1   2       1.7     1e+03   -3.0   0.3    56   194   314   328   240   352 0.56 | transcript=PVW1_140016400_t1 | gene=PVW1_140016400 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H489] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H489] | location=CAJZCX010000003:544935-547607(+) | protein_length=782 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471887.1         -            782 8695at5820           -            275   1.3e-10   39.4   2.6   2   2   2.1e-13   1.3e-10   39.4   2.6   106   247   598   753   573   763 0.72 | transcript=PVW1_140016400_t1 | gene=PVW1_140016400 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H489] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H489] | location=CAJZCX010000003:544935-547607(+) | protein_length=782 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472182.1         -            559 8695at5820           -            275   6.2e-10   37.1   1.4   1   2      0.64   3.9e+02   -1.6   0.1    49    74   156   183   145   223 0.72 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472182.1         -            559 8695at5820           -            275   6.2e-10   37.1   1.4   2   2   2.1e-12   1.3e-09   36.1   0.2   105   236   359   509   310   527 0.76 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472564.1         -           1108 8695at5820           -            275   1.3e-08   32.8  10.2   1   1   2.6e-09   1.6e-06   26.0  10.2    16   234   766  1037   755  1069 0.67 | transcript=PVW1_140072900_t1 | gene=PVW1_140072900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2891105-2894679(+) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477096.1         -            845 8695at5820           -            275   0.00034   18.3   5.9   1   2   1.2e-06   0.00073   17.2   0.7    50   167   533   666   513   694 0.68 | transcript=PVW1_090040400_t1 | gene=PVW1_090040400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1549286-1551823(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477096.1         -            845 8695at5820           -            275   0.00034   18.3   5.9   2   2     0.074        45    1.5   0.5   180   197   714   731   702   816 0.66 | transcript=PVW1_090040400_t1 | gene=PVW1_090040400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1549286-1551823(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479173.1         -            197 8695at5820           -            275    0.0041   14.8   1.7   1   1   1.1e-05    0.0065   14.1   1.7    23    90   117   183   110   190 0.87 | transcript=PVW1_080030800_t1 | gene=PVW1_080030800 | organism=Plasmodium_vivax_PvW1 | gene_product=SWIM-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H683] | transcript_product=SWIM-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H683] | location=CAJZCX010000009:1172659-1173444(-) | protein_length=197 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 8695at5820           -            275      0.31    8.6   4.6   1   2   0.00035      0.21    9.1   2.0    44   142   783   883   777   891 0.78 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477977.1         -           1387 8695at5820           -            275      0.31    8.6   4.6   2   2         2   1.2e+03   -3.2   0.0   213   234  1282  1303  1278  1326 0.67 | transcript=PVW1_110039000_t1 | gene=PVW1_110039000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1445717-1449880(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8695at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8695at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8695at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:08 2026
# [ok]
