#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475900.1         -            520 6148at5820           -            431  1.6e-263  872.5  48.6   1   2  1.2e-231  5.7e-229  758.7  37.5     1   344     1   344     1   355 0.99 | transcript=PVW1_130033100_t1 | gene=PVW1_130033100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | location=CAJZCX010000006:1233244-1235580(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475900.1         -            520 6148at5820           -            431  1.6e-263  872.5  48.6   2   2   9.5e-38   4.4e-35  119.8   3.2   348   431   423   518   415   518 0.90 | transcript=PVW1_130033100_t1 | gene=PVW1_130033100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | location=CAJZCX010000006:1233244-1235580(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478669.1         -           1166 6148at5820           -            431   6.9e-08   30.2   0.9   1   1   2.1e-10     1e-07   29.6   0.9   283   351   346   420   305   433 0.83 | transcript=PVW1_080009300_t1 | gene=PVW1_080009300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:250338-253838(-) | protein_length=1166 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478755.1         -            608 6148at5820           -            431   3.6e-07   27.8   3.4   1   1   2.9e-09   1.3e-06   25.9   3.4   296   340   560   606   542   608 0.85 | transcript=PVW1_080012300_t1 | gene=PVW1_080012300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:355174-357202(+) | protein_length=608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474765.1         -            284 6148at5820           -            431   1.9e-06   25.4   1.2   1   2       2.5   1.2e+03   -3.6   3.8    34   193   159   186   122   202 0.61 | transcript=PVW1_100028000_t1 | gene=PVW1_100028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | location=CAJZCX010000005:1109632-1110967(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474765.1         -            284 6148at5820           -            431   1.9e-06   25.4   1.2   2   2     4e-09   1.9e-06   25.4   1.2   296   340   234   280   220   284 0.81 | transcript=PVW1_100028000_t1 | gene=PVW1_100028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | location=CAJZCX010000005:1109632-1110967(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481623.1         -            272 6148at5820           -            431   2.5e-06   25.0   2.5   1   3       2.4   1.1e+03   -3.5   0.5   151   187    17    55     8    61 0.59 | transcript=PVW1_060019700_t1 | gene=PVW1_060019700 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | location=CAJZCX010000012:634555-635373(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481623.1         -            272 6148at5820           -            431   2.5e-06   25.0   2.5   2   3       1.2   5.4e+02   -2.4   5.5    18    82    93   163    85   182 0.61 | transcript=PVW1_060019700_t1 | gene=PVW1_060019700 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | location=CAJZCX010000012:634555-635373(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481623.1         -            272 6148at5820           -            431   2.5e-06   25.0   2.5   3   3   5.3e-09   2.5e-06   25.0   2.5   291   340   211   263   190   269 0.83 | transcript=PVW1_060019700_t1 | gene=PVW1_060019700 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | location=CAJZCX010000012:634555-635373(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478148.1         -            403 6148at5820           -            431   3.9e-06   24.4   1.3   1   2      0.91   4.2e+02   -2.1   3.0   133   235    13   118    11   137 0.54 | transcript=PVW1_110047700_t1 | gene=PVW1_110047700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1801318-1802715(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478148.1         -            403 6148at5820           -            431   3.9e-06   24.4   1.3   2   2   8.4e-09   3.9e-06   24.4   1.3   297   342   345   394   331   399 0.71 | transcript=PVW1_110047700_t1 | gene=PVW1_110047700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1801318-1802715(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479179.1         -           1201 6148at5820           -            431   1.6e-05   22.4   2.5   1   1   5.5e-08   2.6e-05   21.7   2.5   286   341  1142  1199  1127  1201 0.84 | transcript=PVW1_080031100_t1 | gene=PVW1_080031100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | location=CAJZCX010000009:1193301-1196906(+) | protein_length=1201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477804.1         -            519 6148at5820           -            431   3.5e-05   21.2   2.7   1   1   1.1e-07   5.3e-05   20.7   2.7   282   341   348   406   334   412 0.82 | transcript=PVW1_110027800_t1 | gene=PVW1_110027800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1010996-1012555(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473203.1         -            322 6148at5820           -            431   6.9e-05   20.3   1.5   1   1   2.2e-07    0.0001   19.7   1.5   309   352   246   293   203   315 0.78 | transcript=PVW1_120024400_t1 | gene=PVW1_120024400 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG93] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG93] | location=CAJZCX010000004:867923-870908(-) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473364.1         -            456 6148at5820           -            431   8.7e-05   19.9   5.0   1   2   1.9e-07   8.7e-05   19.9   5.0   297   340     6    50     1    76 0.85 | transcript=PVW1_120035100_t1 | gene=PVW1_120035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1294873-1296243(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
