#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472269.1         -            612 4427at5820           -            502         0 1031.3  52.9   1   2   1.4e-63   3.7e-61  205.7  20.7    10   142    44   198    40   234 0.82 | transcript=PVW1_140044700_t1 | gene=PVW1_140044700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 17, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H560] | transcript_product=Pre-mRNA-processing factor 17, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H560] | location=CAJZCX010000003:1690669-1692507(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472269.1         -            612 4427at5820           -            502         0 1031.3  52.9   2   2  1.7e-252  4.2e-250  828.9  25.9   126   502   232   612   213   612 0.95 | transcript=PVW1_140044700_t1 | gene=PVW1_140044700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 17, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H560] | transcript_product=Pre-mRNA-processing factor 17, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H560] | location=CAJZCX010000003:1690669-1692507(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 4427at5820           -            502   3.5e-15   54.0  12.4   1   4   8.6e-08   2.2e-05   21.7   0.0   211   307   120   215   109   221 0.83 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 4427at5820           -            502   3.5e-15   54.0  12.4   2   4     0.026       6.5    3.6   1.8   232   369   344   479   328   482 0.57 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 4427at5820           -            502   3.5e-15   54.0  12.4   3   4     9e-09   2.3e-06   24.9   3.1   159   286   428   566   412   582 0.71 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 4427at5820           -            502   3.5e-15   54.0  12.4   4   4    0.0018      0.47    7.4   0.1   426   459   628   659   617   660 0.88 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 4427at5820           -            502   7.8e-15   52.8   7.2   1   3     8e-09     2e-06   25.1   0.2   212   288    36   111    27   114 0.90 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 4427at5820           -            502   7.8e-15   52.8   7.2   2   3   3.3e-07   8.4e-05   19.7   1.6   249   369   114   232   110   238 0.86 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 4427at5820           -            502   7.8e-15   52.8   7.2   3   3   0.00024     0.061   10.3   0.0   431   500   253   321   248   323 0.76 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474907.1         -           1236 4427at5820           -            502   1.1e-14   52.4  17.4   1   1     1e-16   2.6e-14   51.1  17.4   205   502   902  1201   889  1201 0.84 | transcript=PVW1_100039400_t1 | gene=PVW1_100039400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1599715-1603425(-) | protein_length=1236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479358.1         -            595 4427at5820           -            502   1.6e-13   48.6   9.8   1   1   6.1e-16   1.6e-13   48.6   9.8   231   501   298   572   273   573 0.81 | transcript=PVW1_080043500_t1 | gene=PVW1_080043500 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-splicing factor PRP46, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX03] | transcript_product=Pre-mRNA-splicing factor PRP46, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX03] | location=CAJZCX010000009:1658578-1660581(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485089.1         -            365 4427at5820           -            502   1.6e-13   48.5  14.8   1   1   6.4e-16   1.6e-13   48.5  14.8   204   480     8   279     5   291 0.76 | transcript=PVW1_010021300_t1 | gene=PVW1_010021300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitogen-activated protein kinase organizer 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6Q7] | transcript_product=Mitogen-activated protein kinase organizer 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6Q7] | location=CAJZCX010000016:741224-743316(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473217.1         -            644 4427at5820           -            502     3e-12   44.3  17.2   1   3      0.79     2e+02   -1.3   2.4    78   112   264   298   250   320 0.63 | transcript=PVW1_120025500_t1 | gene=PVW1_120025500 | organism=Plasmodium_vivax_PvW1 | gene_product=SFM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGC2] | transcript_product=SFM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGC2] | location=CAJZCX010000004:923590-925524(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473217.1         -            644 4427at5820           -            502     3e-12   44.3  17.2   2   3   9.8e-13   2.5e-10   38.0   0.8   387   501   434   544   427   545 0.89 | transcript=PVW1_120025500_t1 | gene=PVW1_120025500 | organism=Plasmodium_vivax_PvW1 | gene_product=SFM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGC2] | transcript_product=SFM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGC2] | location=CAJZCX010000004:923590-925524(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473217.1         -            644 4427at5820           -            502     3e-12   44.3  17.2   3   3   4.1e-06     0.001   16.1   0.8   212   288   558   634   552   639 0.82 | transcript=PVW1_120025500_t1 | gene=PVW1_120025500 | organism=Plasmodium_vivax_PvW1 | gene_product=SFM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGC2] | transcript_product=SFM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGC2] | location=CAJZCX010000004:923590-925524(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
