#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476235.1         -           1103 1979at5820           -            957         0 1944.9 105.8   1   4         0         0 1500.0  60.1     1   694     1   715     1   722 0.98 | transcript=PVW1_130047000_t1 | gene=PVW1_130047000 | organism=Plasmodium_vivax_PvW1 | gene_product=Helicase ATP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3S3] | transcript_product=Helicase ATP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3S3] | location=CAJZCX010000006:1863044-1866355(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476235.1         -           1103 1979at5820           -            957         0 1944.9 105.8   2   4   1.2e-87   2.4e-84  282.4  19.0   692   842   738   917   732   925 0.97 | transcript=PVW1_130047000_t1 | gene=PVW1_130047000 | organism=Plasmodium_vivax_PvW1 | gene_product=Helicase ATP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3S3] | transcript_product=Helicase ATP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3S3] | location=CAJZCX010000006:1863044-1866355(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476235.1         -           1103 1979at5820           -            957         0 1944.9 105.8   3   4   1.3e-27   2.7e-24   83.7   3.9   835   898   935   998   917  1002 0.90 | transcript=PVW1_130047000_t1 | gene=PVW1_130047000 | organism=Plasmodium_vivax_PvW1 | gene_product=Helicase ATP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3S3] | transcript_product=Helicase ATP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3S3] | location=CAJZCX010000006:1863044-1866355(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476235.1         -           1103 1979at5820           -            957         0 1944.9 105.8   4   4     3e-31   6.1e-28   95.7   1.0   888   957  1030  1103  1013  1103 0.89 | transcript=PVW1_130047000_t1 | gene=PVW1_130047000 | organism=Plasmodium_vivax_PvW1 | gene_product=Helicase ATP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3S3] | transcript_product=Helicase ATP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3S3] | location=CAJZCX010000006:1863044-1866355(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480811.1         -           1048 1979at5820           -            957   4.5e-48  162.3  23.4   1   3   6.8e-11   1.4e-07   28.3   0.1    21    77     4    61     2    94 0.88 | transcript=PVW1_070039600_t1 | gene=PVW1_070039600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1445755-1448901(+) | protein_length=1048 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480811.1         -           1048 1979at5820           -            957   4.5e-48  162.3  23.4   2   3   2.6e-10   5.3e-07   26.4   3.6   180   309   263   403   250   415 0.77 | transcript=PVW1_070039600_t1 | gene=PVW1_070039600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1445755-1448901(+) | protein_length=1048 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480811.1         -           1048 1979at5820           -            957   4.5e-48  162.3  23.4   3   3   3.9e-37   7.8e-34  115.2   8.2   475   744   720   984   610  1003 0.85 | transcript=PVW1_070039600_t1 | gene=PVW1_070039600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1445755-1448901(+) | protein_length=1048 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473476.1         -           1065 1979at5820           -            957   1.9e-31  107.3  19.3   1   5      0.34   6.8e+02   -3.7   0.0    25    51     8    34     7    36 0.89 | transcript=PVW1_120044600_t1 | gene=PVW1_120044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1662796-1667071(+) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473476.1         -           1065 1979at5820           -            957   1.9e-31  107.3  19.3   2   5   6.5e-06     0.013   11.9   0.3   112   189   227   301   215   309 0.73 | transcript=PVW1_120044600_t1 | gene=PVW1_120044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1662796-1667071(+) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473476.1         -           1065 1979at5820           -            957   1.9e-31  107.3  19.3   3   5   2.2e-13   4.4e-10   36.6   2.5   212   288   362   438   350   469 0.89 | transcript=PVW1_120044600_t1 | gene=PVW1_120044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1662796-1667071(+) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473476.1         -           1065 1979at5820           -            957   1.9e-31  107.3  19.3   4   5   1.1e-14   2.2e-11   40.9   0.4   475   671   664   884   651   888 0.74 | transcript=PVW1_120044600_t1 | gene=PVW1_120044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1662796-1667071(+) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473476.1         -           1065 1979at5820           -            957   1.9e-31  107.3  19.3   5   5   1.4e-10   2.9e-07   27.3   0.0   702   749   940   987   931  1007 0.83 | transcript=PVW1_120044600_t1 | gene=PVW1_120044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1662796-1667071(+) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
