#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472365.1         -            544 4738at5820           -            464  5.9e-279  923.8  26.3   1   2   5.1e-84   3.9e-81  271.5   0.5     1   136     1   140     1   151 0.95 | transcript=PVW1_140053900_t1 | gene=PVW1_140053900 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | transcript_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | location=CAJZCX010000003:2133513-2135359(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472365.1         -            544 4738at5820           -            464  5.9e-279  923.8  26.3   2   2  2.8e-200  2.1e-197  654.9  19.8   127   464   150   532   136   532 0.94 | transcript=PVW1_140053900_t1 | gene=PVW1_140053900 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | transcript_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | location=CAJZCX010000003:2133513-2135359(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479276.1         -            540 4738at5820           -            464   2.9e-60  202.7  13.2   1   2   1.1e-29     8e-27   92.5   1.8     9   146    10   149     6   160 0.90 | transcript=PVW1_080037700_t1 | gene=PVW1_080037700 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | transcript_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | location=CAJZCX010000009:1424361-1426140(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479276.1         -            540 4738at5820           -            464   2.9e-60  202.7  13.2   2   2   1.4e-36     1e-33  115.2   5.0   130   458   157   524   152   528 0.79 | transcript=PVW1_080037700_t1 | gene=PVW1_080037700 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | transcript_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | location=CAJZCX010000009:1424361-1426140(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479065.1         -            535 4738at5820           -            464   1.2e-58  197.4  20.7   1   2   1.1e-30   8.1e-28   95.7   5.2    11   188    16   198     8   203 0.86 | transcript=PVW1_080025300_t1 | gene=PVW1_080025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:932526-934133(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479065.1         -            535 4738at5820           -            464   1.2e-58  197.4  20.7   2   2   8.4e-34   6.4e-31  106.0  10.7   154   459   193   530   166   532 0.82 | transcript=PVW1_080025300_t1 | gene=PVW1_080025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:932526-934133(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477689.1         -            529 4738at5820           -            464   3.7e-55  185.9  19.3   1   2     1e-32   7.8e-30  102.4   0.8    18   127    17   129     8   144 0.88 | transcript=PVW1_110019600_t1 | gene=PVW1_110019600 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | transcript_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | location=CAJZCX010000008:634348-636643(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477689.1         -            529 4738at5820           -            464   3.7e-55  185.9  19.3   2   2   2.4e-28   1.8e-25   88.0  11.6   153   458   187   526   149   528 0.80 | transcript=PVW1_110019600_t1 | gene=PVW1_110019600 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | transcript_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | location=CAJZCX010000008:634348-636643(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477028.1         -            543 4738at5820           -            464   7.1e-53  178.4  11.8   1   2   5.2e-34     4e-31  106.7   1.1    16   157     8   153     3   161 0.91 | transcript=PVW1_090037500_t1 | gene=PVW1_090037500 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | transcript_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | location=CAJZCX010000007:1420990-1422882(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477028.1         -            543 4738at5820           -            464   7.1e-53  178.4  11.8   2   2   2.9e-24   2.2e-21   74.5   3.7   147   457   177   530   160   534 0.72 | transcript=PVW1_090037500_t1 | gene=PVW1_090037500 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | transcript_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | location=CAJZCX010000007:1420990-1422882(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479293.1         -            532 4738at5820           -            464   6.9e-45  152.0  13.4   1   1   3.9e-45     3e-42  143.3  13.4    10   459     8   523     2   527 0.78 | transcript=PVW1_080039000_t1 | gene=PVW1_080039000 | organism=Plasmodium_vivax_PvW1 | gene_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | transcript_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | location=CAJZCX010000009:1478527-1480125(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
