#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483315.1         -            800 3749at5820           -            537    9e-297  983.4  27.2   1   3   6.6e-55     8e-52  175.0   5.1     1   105   135   240   135   266 0.94 | transcript=PVW1_030017100_t1 | gene=PVW1_030017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:560610-563012(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483315.1         -            800 3749at5820           -            537    9e-297  983.4  27.2   2   3   2.2e-07   0.00026   18.2   0.0   104   137   286   327   281   360 0.77 | transcript=PVW1_030017100_t1 | gene=PVW1_030017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:560610-563012(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483315.1         -            800 3749at5820           -            537    9e-297  983.4  27.2   3   3  4.3e-242  5.3e-239  792.8  16.0   129   537   371   800   356   800 0.96 | transcript=PVW1_030017100_t1 | gene=PVW1_030017100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:560610-563012(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475713.1         -            790 3749at5820           -            537   1.2e-08   32.6   0.3   1   1     2e-11   2.4e-08   31.6   0.3   280   418   508   648   498   664 0.71 | transcript=PVW1_130025200_t1 | gene=PVW1_130025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:925258-927792(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475577.1         -            417 3749at5820           -            537   4.6e-06   24.0  13.5   1   2   3.6e-08   4.4e-05   20.8   2.4   176   270    87   186    79   194 0.81 | transcript=PVW1_130019900_t1 | gene=PVW1_130019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:667366-668619(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475577.1         -            417 3749at5820           -            537   4.6e-06   24.0  13.5   2   2    0.0018       2.2    5.3   3.7   318   339   205   226   194   360 0.81 | transcript=PVW1_130019900_t1 | gene=PVW1_130019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:667366-668619(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474825.1         -            365 3749at5820           -            537   0.00019   18.7   0.1   1   1   3.8e-07   0.00047   17.4   0.0   318   370    66   121    18   133 0.83 | transcript=PVW1_100033600_t1 | gene=PVW1_100033600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | transcript_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | location=CAJZCX010000005:1333224-1334321(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474968.1         -            288 3749at5820           -            537    0.0021   15.2   0.7   1   2   7.9e-06    0.0096   13.1   0.1   317   389    86   160    51   173 0.72 | transcript=PVW1_100044700_t1 | gene=PVW1_100044700 | organism=Plasmodium_vivax_PvW1 | gene_product=EngB-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYS3] | transcript_product=EngB-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYS3] | location=CAJZCX010000005:1798422-1800622(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474968.1         -            288 3749at5820           -            537    0.0021   15.2   0.7   2   2     0.057        70    0.3   0.1   173   198   205   230   196   238 0.86 | transcript=PVW1_100044700_t1 | gene=PVW1_100044700 | organism=Plasmodium_vivax_PvW1 | gene_product=EngB-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYS3] | transcript_product=EngB-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYS3] | location=CAJZCX010000005:1798422-1800622(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3749at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3749at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3749at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:29 2026
# [ok]
