#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473855.1         -            377 7573at5820           -            324  1.2e-213  706.7  37.4   1   2  1.8e-214  2.1e-212  702.6  29.8     3   315    16   329     6   339 0.95 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473855.1         -            377 7573at5820           -            324  1.2e-213  706.7  37.4   2   2    0.0026      0.29    8.8   0.8   310   324   363   377   346   377 0.85 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475865.1         -            284 7573at5820           -            324   5.5e-38  129.4  20.6   1   1   5.9e-40   6.7e-38  129.2  20.6    17   297    10   281     3   284 0.82 | transcript=PVW1_130031900_t1 | gene=PVW1_130031900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | location=CAJZCX010000006:1185176-1187295(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 7573at5820           -            324   1.4e-34  118.2  14.8   1   1     2e-36   2.2e-34  117.6  14.8    32   318   125   400   108   407 0.86 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473797.1         -            861 7573at5820           -            324   3.1e-32  110.5  12.8   1   1   4.6e-34   5.1e-32  109.8  12.8    24   297   477   736   451   753 0.86 | transcript=PVW1_120067500_t1 | gene=PVW1_120067500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | location=CAJZCX010000004:2619393-2621978(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472466.1         -            508 7573at5820           -            324   3.3e-32  110.4   6.9   1   1   5.5e-34   6.1e-32  109.6   6.9    24   322   107   390   103   392 0.83 | transcript=PVW1_140063500_t1 | gene=PVW1_140063500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | location=CAJZCX010000003:2535147-2536673(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 7573at5820           -            324   1.6e-31  108.2  12.8   1   1   1.4e-33   1.6e-31  108.2  12.8    27   296    55   328    46   343 0.84 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472541.1         -            755 7573at5820           -            324   2.8e-31  107.4   0.2   1   2       1.8     2e+02   -0.6   0.9    61   126   155   220   106   229 0.65 | transcript=PVW1_140070500_t1 | gene=PVW1_140070500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2813335-2815735(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472541.1         -            755 7573at5820           -            324   2.8e-31  107.4   0.2   2   2   2.5e-33   2.8e-31  107.4   0.2    29   250   430   642   409   686 0.85 | transcript=PVW1_140070500_t1 | gene=PVW1_140070500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2813335-2815735(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476886.1         -           1968 7573at5820           -            324   3.7e-30  103.7   6.3   1   1   3.3e-32   3.7e-30  103.7   6.3    27   299  1513  1774  1502  1788 0.81 | transcript=PVW1_090028300_t1 | gene=PVW1_090028300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1067021-1073086(+) | protein_length=1968 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479257.1         -            604 7573at5820           -            324     5e-29  100.0   0.8   1   1   8.5e-31   9.6e-29   99.1   0.8    35   306   167   428   154   447 0.82 | transcript=PVW1_080035900_t1 | gene=PVW1_080035900 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | transcript_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | location=CAJZCX010000009:1365607-1368547(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
