#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480653.1         -            307 9003at5820           -            272  1.9e-164  544.1   8.6   1   1  9.5e-167  5.7e-164  542.5   8.6     1   272    12   307    12   307 0.94 | transcript=PVW1_070032700_t1 | gene=PVW1_070032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | location=CAJZCX010000011:1210037-1210960(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479185.1         -            308 9003at5820           -            272  3.4e-112  372.7   0.7   1   1  7.6e-115  4.6e-112  372.3   0.7     6   254    19   282    15   297 0.92 | transcript=PVW1_080031400_t1 | gene=PVW1_080031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | location=CAJZCX010000009:1205820-1206746(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480625.1         -            516 9003at5820           -            272   6.5e-97  322.6   1.0   1   1   1.5e-99   9.3e-97  322.1   1.0     2   257   218   494   217   503 0.90 | transcript=PVW1_070030300_t1 | gene=PVW1_070030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1107178-1108896(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476126.1         -            304 9003at5820           -            272   8.2e-81  269.8   0.5   1   1   1.7e-83   1.1e-80  269.5   0.5     8   265    28   300    23   303 0.91 | transcript=PVW1_130040900_t1 | gene=PVW1_130040900 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | location=CAJZCX010000006:1574831-1576985(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485099.1         -            564 9003at5820           -            272   3.2e-56  189.1   0.4   1   1   8.5e-59   5.2e-56  188.5   0.4    26   262    72   336    47   345 0.82 | transcript=PVW1_010021800_t1 | gene=PVW1_010021800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | location=CAJZCX010000016:755455-757677(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 9003at5820           -            272     5e-48  162.3   0.1   1   1   1.3e-50   7.9e-48  161.6   0.1    11   268   399   668   389   671 0.84 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 9003at5820           -            272   5.3e-48  162.2   0.6   1   1   1.4e-49   8.6e-47  158.2   0.6    13   249   542   827   535   837 0.77 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475871.1         -           1000 9003at5820           -            272   2.7e-37  127.1   2.2   1   1   1.3e-39   7.7e-37  125.6   2.2    14   259   261   532   251   542 0.75 | transcript=PVW1_130032200_t1 | gene=PVW1_130032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1199845-1205677(-) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481269.1         -           2083 9003at5820           -            272   8.8e-31  105.7   2.5   1   2   2.7e-05     0.017   13.0   0.0    11    54  1157  1202  1149  1213 0.86 | transcript=PVW1_060009700_t1 | gene=PVW1_060009700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:190330-196735(-) | protein_length=2083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481269.1         -           2083 9003at5820           -            272   8.8e-31  105.7   2.5   2   2     3e-26   1.8e-23   81.7   0.9    58   246  1277  1524  1268  1543 0.71 | transcript=PVW1_060009700_t1 | gene=PVW1_060009700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:190330-196735(-) | protein_length=2083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473598.1         -            381 9003at5820           -            272   0.00023   19.1   0.6   1   1   6.6e-07    0.0004   18.3   0.6    26   113    65   164    48   204 0.76 | transcript=PVW1_120052200_t1 | gene=PVW1_120052200 | organism=Plasmodium_vivax_PvW1 | gene_product=Metallophos domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH25] | transcript_product=Metallophos domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH25] | location=CAJZCX010000004:1956302-1957447(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9003at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9003at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9003at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:31 2026
# [ok]
