#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477158.1         -            453 6375at5820           -            375  1.5e-235  779.6  16.5   1   1  3.2e-238    2e-235  779.2  16.5     7   375    61   451    57   451 0.96 | transcript=PVW1_090042900_t1 | gene=PVW1_090042900 | organism=Plasmodium_vivax_PvW1 | gene_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | transcript_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | location=CAJZCX010000007:1660904-1662265(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 6375at5820           -            375     1e-46  158.2  20.0   1   6   6.6e-05      0.04   11.4   0.2    88   175    20   108    10   121 0.74 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 6375at5820           -            375     1e-46  158.2  20.0   2   6     3e-07   0.00018   19.1   0.1   242   282   228   266   221   284 0.82 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 6375at5820           -            375     1e-46  158.2  20.0   3   6   8.7e-19   5.3e-16   57.1   0.7    89   220   325   452   303   468 0.87 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 6375at5820           -            375     1e-46  158.2  20.0   4   6     2e-13   1.2e-10   39.4   0.1   139   229   629   719   599   729 0.85 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 6375at5820           -            375     1e-46  158.2  20.0   5   6   1.2e-10   7.3e-08   30.3   0.2   103   220   777   904   770   914 0.77 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 6375at5820           -            375     1e-46  158.2  20.0   6   6   0.00015     0.089   10.2   0.1    46   136   928  1028   904  1045 0.64 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484932.1         -            686 6375at5820           -            375     7e-20   69.8  13.7   1   3   2.5e-10   1.5e-07   29.3   0.1   131   228    30   132    24   151 0.82 | transcript=PVW1_010016100_t1 | gene=PVW1_010016100 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6C1] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6C1] | location=CAJZCX010000016:520137-522197(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484932.1         -            686 6375at5820           -            375     7e-20   69.8  13.7   2   3   0.00022      0.13    9.7   1.6   190   264   173   253   160   256 0.81 | transcript=PVW1_010016100_t1 | gene=PVW1_010016100 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6C1] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6C1] | location=CAJZCX010000016:520137-522197(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484932.1         -            686 6375at5820           -            375     7e-20   69.8  13.7   3   3   1.5e-13     9e-11   39.8   3.8   138   280   240   375   232   432 0.84 | transcript=PVW1_010016100_t1 | gene=PVW1_010016100 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6C1] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6C1] | location=CAJZCX010000016:520137-522197(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477701.1         -            479 6375at5820           -            375   9.2e-20   69.4  16.3   1   5      0.71   4.3e+02   -1.9   0.0   271   284    41    54    38    62 0.82 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477701.1         -            479 6375at5820           -            375   9.2e-20   69.4  16.3   2   5     2e-13   1.2e-10   39.4   1.7   192   282    70   152    53   169 0.64 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477701.1         -            479 6375at5820           -            375   9.2e-20   69.4  16.3   3   5      0.16     1e+02    0.2   0.1    87   113   201   228   167   235 0.69 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477701.1         -            479 6375at5820           -            375   9.2e-20   69.4  16.3   4   5   5.8e-06    0.0035   14.9   0.1   192   243   242   293   228   308 0.74 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477701.1         -            479 6375at5820           -            375   9.2e-20   69.4  16.3   5   5   3.3e-08     2e-05   22.2   0.3    42   111   307   387   296   399 0.73 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477100.1         -            962 6375at5820           -            375     3e-19   67.8  17.8   1   3    0.0018       1.1    6.7   0.2   190   229    31    70     4    77 0.83 | transcript=PVW1_090040500_t1 | gene=PVW1_090040500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1554582-1557652(-) | protein_length=962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477100.1         -            962 6375at5820           -            375     3e-19   67.8  17.8   2   3   2.2e-12   1.3e-09   36.0   3.9    41   159    35   157    20   167 0.74 | transcript=PVW1_090040500_t1 | gene=PVW1_090040500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1554582-1557652(-) | protein_length=962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477100.1         -            962 6375at5820           -            375     3e-19   67.8  17.8   3   3   9.6e-10   5.9e-07   27.3   6.0   117   251   264   379   260   463 0.77 | transcript=PVW1_090040500_t1 | gene=PVW1_090040500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1554582-1557652(-) | protein_length=962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483144.1         -            585 6375at5820           -            375   4.8e-15   53.9  16.9   1   4   4.8e-08   2.9e-05   21.7   0.3   184   227    54    98    17   104 0.85 | transcript=PVW1_030009400_t1 | gene=PVW1_030009400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:217829-219586(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483144.1         -            585 6375at5820           -            375   4.8e-15   53.9  16.9   2   4   0.00031      0.19    9.2   0.5   185   234   156   204   102   219 0.76 | transcript=PVW1_030009400_t1 | gene=PVW1_030009400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:217829-219586(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483144.1         -            585 6375at5820           -            375   4.8e-15   53.9  16.9   3   4   1.4e-06   0.00087   16.9   0.1    84   117   360   393   339   413 0.79 | transcript=PVW1_030009400_t1 | gene=PVW1_030009400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:217829-219586(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483144.1         -            585 6375at5820           -            375   4.8e-15   53.9  16.9   4   4   2.7e-06    0.0017   15.9   0.8    38   113   449   534   422   583 0.65 | transcript=PVW1_030009400_t1 | gene=PVW1_030009400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:217829-219586(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479953.1         -           1724 6375at5820           -            375   5.6e-14   50.4   3.1   1   5   2.7e-06    0.0016   16.0   0.0   199   230   478   509   470   525 0.87 | transcript=PVW1_050033200_t1 | gene=PVW1_050033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1189238-1194412(+) | protein_length=1724 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479953.1         -           1724 6375at5820           -            375   5.6e-14   50.4   3.1   2   5   0.00079      0.48    7.8   0.0   195   238   585   628   549   638 0.76 | transcript=PVW1_050033200_t1 | gene=PVW1_050033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1189238-1194412(+) | protein_length=1724 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
