#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483174.1         -            487 8163at5820           -            380  3.8e-169  561.3  33.8   1   2  1.1e-163  1.4e-160  533.1  19.7     7   343    20   360    16   375 0.88 | transcript=PVW1_030010900_t1 | gene=PVW1_030010900 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7A5] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7A5] | location=CAJZCX010000014:303054-304517(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483174.1         -            487 8163at5820           -            380  3.8e-169  561.3  33.8   2   2   7.8e-12   9.5e-09   33.4   6.3   289   379   390   481   374   482 0.62 | transcript=PVW1_030010900_t1 | gene=PVW1_030010900 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7A5] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7A5] | location=CAJZCX010000014:303054-304517(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483172.1         -            353 8163at5820           -            380   6.5e-29   99.7  13.8   1   1   7.7e-32   9.4e-29   99.2  13.8    15   269    63   339    57   349 0.78 | transcript=PVW1_030010800_t1 | gene=PVW1_030010800 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H793] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H793] | location=CAJZCX010000014:300091-301152(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 8163at5820           -            380   1.2e-28   98.8  68.7   1   9     0.012        15    3.1   1.3   108   152   539   583   530   603 0.89 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 8163at5820           -            380   1.2e-28   98.8  68.7   2   9     1e-11   1.3e-08   32.9   2.6   126   277   770   916   738   980 0.70 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 8163at5820           -            380   1.2e-28   98.8  68.7   3   9   4.5e-06    0.0055   14.4   3.9    99   181  1051  1133  1036  1204 0.70 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 8163at5820           -            380   1.2e-28   98.8  68.7   4   9     0.022        27    2.2   0.0   222   265  1477  1524  1448  1529 0.78 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 8163at5820           -            380   1.2e-28   98.8  68.7   5   9   7.9e-11   9.6e-08   30.0   2.3   124   283  1532  1677  1525  1707 0.82 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 8163at5820           -            380   1.2e-28   98.8  68.7   6   9     0.013        15    3.1   0.0   128   183  1820  1874  1788  1892 0.73 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 8163at5820           -            380   1.2e-28   98.8  68.7   7   9     0.032        39    1.7   0.1   239   271  1971  2006  1962  2013 0.73 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 8163at5820           -            380   1.2e-28   98.8  68.7   8   9   5.6e-13   6.8e-10   37.1  10.0   101   342  2242  2490  2229  2508 0.71 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 8163at5820           -            380   1.2e-28   98.8  68.7   9   9    0.0065       7.9    4.0   1.3   131   260  2575  2691  2510  2705 0.65 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483176.1         -            372 8163at5820           -            380   7.1e-16   56.8  23.5   1   1   9.7e-19   1.2e-15   56.1  23.5    18   300    31   330    14   355 0.68 | transcript=PVW1_030011000_t1 | gene=PVW1_030011000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:305953-307071(-) | protein_length=372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483185.1         -            384 8163at5820           -            380   2.1e-06   25.7   5.2   1   2       2.3   2.8e+03   -4.4  10.2   162   320    38   193    24   232 0.52 | transcript=PVW1_030011400_t1 | gene=PVW1_030011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | transcript_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | location=CAJZCX010000014:334439-335593(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483185.1         -            384 8163at5820           -            380   2.1e-06   25.7   5.2   2   2   1.7e-09   2.1e-06   25.7   5.2   127   210   235   312   227   370 0.73 | transcript=PVW1_030011400_t1 | gene=PVW1_030011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | transcript_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | location=CAJZCX010000014:334439-335593(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8163at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8163at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8163at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:17 2026
# [ok]
