#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474035.1         -            745 4465at5820           -            535  4.6e-231  766.8  94.0   1   3  4.9e-149  1.7e-146  487.7  69.9     1   368     1   448     1   452 0.86 | transcript=PVW1_120084700_t1 | gene=PVW1_120084700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2L2] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2L2] | location=CAJZCX010000004:3394681-3397222(-) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474035.1         -            745 4465at5820           -            535  4.6e-231  766.8  94.0   2   3   1.6e-19   5.5e-17   60.3   0.3   362   414   484   545   463   547 0.80 | transcript=PVW1_120084700_t1 | gene=PVW1_120084700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2L2] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2L2] | location=CAJZCX010000004:3394681-3397222(-) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474035.1         -            745 4465at5820           -            535  4.6e-231  766.8  94.0   3   3   1.5e-67   5.2e-65  218.8  10.0   411   534   611   739   606   740 0.94 | transcript=PVW1_120084700_t1 | gene=PVW1_120084700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2L2] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2L2] | location=CAJZCX010000004:3394681-3397222(-) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473995.1         -           2433 4465at5820           -            535   2.9e-16   57.9   0.2   1   2   3.2e-06    0.0011   16.4   0.1   229   276   220   266   206   292 0.79 | transcript=PVW1_120080600_t1 | gene=PVW1_120080600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3191638-3199719(-) | protein_length=2433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473995.1         -           2433 4465at5820           -            535   2.9e-16   57.9   0.2   2   2   4.6e-13   1.6e-10   39.0   0.0   418   533   278   403   272   405 0.75 | transcript=PVW1_120080600_t1 | gene=PVW1_120080600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3191638-3199719(-) | protein_length=2433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479257.1         -            604 4465at5820           -            535   9.9e-12   42.9   2.2   1   3       0.4   1.3e+02   -0.4   0.3   155   188   199   232   175   239 0.74 | transcript=PVW1_080035900_t1 | gene=PVW1_080035900 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | transcript_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | location=CAJZCX010000009:1365607-1368547(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479257.1         -            604 4465at5820           -            535   9.9e-12   42.9   2.2   2   3   8.8e-05      0.03   11.7   0.1   219   262   247   290   241   298 0.89 | transcript=PVW1_080035900_t1 | gene=PVW1_080035900 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | transcript_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | location=CAJZCX010000009:1365607-1368547(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479257.1         -            604 4465at5820           -            535   9.9e-12   42.9   2.2   3   3   4.1e-10   1.4e-07   29.3   0.0   416   534   296   418   289   419 0.81 | transcript=PVW1_080035900_t1 | gene=PVW1_080035900 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | transcript_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | location=CAJZCX010000009:1365607-1368547(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 4465at5820           -            535     3e-11   41.4   8.6   1   2   0.00096      0.33    8.2   7.5   205   271   147   209    57   235 0.77 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 4465at5820           -            535     3e-11   41.4   8.6   2   2   1.1e-10   3.8e-08   31.1   0.2   415   531   210   329   204   333 0.83 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479267.1         -           1607 4465at5820           -            535   4.1e-11   40.9   2.3   1   2     4e-07   0.00014   19.4   3.1   153   296  1379  1508  1368  1516 0.79 | transcript=PVW1_080036700_t1 | gene=PVW1_080036700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1393748-1399176(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479267.1         -           1607 4465at5820           -            535   4.1e-11   40.9   2.3   2   2     1e-06   0.00034   18.1   0.0   460   532  1534  1604  1524  1606 0.93 | transcript=PVW1_080036700_t1 | gene=PVW1_080036700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1393748-1399176(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
