#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473172.1         -            250 11856at5820          -            225    6e-115  380.8  26.0   1   1    1e-117  6.9e-115  380.6  26.0     1   225     1   241     1   241 0.95 | transcript=PVW1_120021600_t1 | gene=PVW1_120021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | location=CAJZCX010000004:753079-754820(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 11856at5820          -            225   2.2e-26   91.1  25.6   1   2   7.2e-23   4.9e-20   70.4  17.3     4   146    14   159    12   170 0.91 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 11856at5820          -            225   2.2e-26   91.1  25.6   2   2   3.1e-09   2.1e-06   25.8   1.2   149   219   276   346   272   357 0.81 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481748.1         -            317 11856at5820          -            225   5.6e-22   76.7  72.8   1   3   4.3e-12   2.9e-09   35.2  19.3    37   120    27   113    15   114 0.92 | transcript=PVW1_060024400_t1 | gene=PVW1_060024400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | location=CAJZCX010000012:796314-797805(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481748.1         -            317 11856at5820          -            225   5.6e-22   76.7  72.8   2   3   7.2e-16   4.9e-13   47.5  19.3    38   153    72   188    71   191 0.86 | transcript=PVW1_060024400_t1 | gene=PVW1_060024400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | location=CAJZCX010000012:796314-797805(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481748.1         -            317 11856at5820          -            225   5.6e-22   76.7  72.8   3   3   9.2e-08   6.2e-05   21.0  18.1    39   154   158   283   156   297 0.80 | transcript=PVW1_060024400_t1 | gene=PVW1_060024400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | location=CAJZCX010000012:796314-797805(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477438.1         -            176 11856at5820          -            225   8.7e-11   40.1  15.3   1   1   1.5e-13     1e-10   39.9  15.3    73   206    22   163     7   175 0.84 | transcript=PVW1_110007700_t1 | gene=PVW1_110007700 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | transcript_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | location=CAJZCX010000008:123344-124687(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 11856at5820          -            225   3.3e-09   35.0  86.1   1   7   2.7e-07   0.00018   19.5  11.7    39   145    41   150     7   152 0.80 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 11856at5820          -            225   3.3e-09   35.0  86.1   2   7   1.6e-05     0.011   13.6   6.3    91   205   117   240   112   264 0.73 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 11856at5820          -            225   3.3e-09   35.0  86.1   3   7     0.029        20    3.0   0.2   106   149   821   864   775   907 0.66 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 11856at5820          -            225   3.3e-09   35.0  86.1   4   7     0.032        22    2.9  21.2    47   192   974  1123   970  1149 0.54 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 11856at5820          -            225   3.3e-09   35.0  86.1   5   7    0.0038       2.6    5.9   5.2    88   145  1154  1212  1109  1219 0.81 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 11856at5820          -            225   3.3e-09   35.0  86.1   6   7   0.00033      0.22    9.3   6.7    81   145  1249  1312  1223  1314 0.77 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
