#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472376.1         -            376 7425at5820           -            101     3e-62  205.6   0.2   1   2     0.088   1.1e+02    1.7   0.0    10    53   207   253   202   261 0.76 | transcript=PVW1_140055100_t1 | gene=PVW1_140055100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E9] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E9] | location=CAJZCX010000003:2179090-2180444(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472376.1         -            376 7425at5820           -            101     3e-62  205.6   0.2   2   2   5.4e-64   6.5e-61  201.3   0.1     1   101   269   374   269   374 0.96 | transcript=PVW1_140055100_t1 | gene=PVW1_140055100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E9] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E9] | location=CAJZCX010000003:2179090-2180444(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476991.1         -            610 7425at5820           -            101   9.2e-11   40.4   3.5   1   3      0.51   6.2e+02   -0.8   0.0     5    36   110   141   108   155 0.75 | transcript=PVW1_090034900_t1 | gene=PVW1_090034900 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | location=CAJZCX010000007:1318490-1320322(-) | protein_length=610 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476991.1         -            610 7425at5820           -            101   9.2e-11   40.4   3.5   2   3       1.1   1.4e+03   -1.9   0.1     5    42   172   212   170   223 0.58 | transcript=PVW1_090034900_t1 | gene=PVW1_090034900 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | location=CAJZCX010000007:1318490-1320322(-) | protein_length=610 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476991.1         -            610 7425at5820           -            101   9.2e-11   40.4   3.5   3   3   1.1e-13   1.4e-10   39.8   0.1     2    75   379   456   378   463 0.88 | transcript=PVW1_090034900_t1 | gene=PVW1_090034900 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | location=CAJZCX010000007:1318490-1320322(-) | protein_length=610 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484637.1         -           1116 7425at5820           -            101   1.6e-07   30.0   0.0   1   1   8.4e-10     1e-06   27.4   0.0     2    62   346   411   345   425 0.82 | transcript=PVW1_010008500_t1 | gene=PVW1_010008500 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQR5] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQR5] | location=CAJZCX010000016:197705-201055(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481339.1         -            576 7425at5820           -            101   1.8e-05   23.4   0.0   1   2       2.2   2.7e+03   -2.8   0.1     1    14   311   324   311   327 0.87 | transcript=PVW1_060011900_t1 | gene=PVW1_060011900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:289993-291918(-) | protein_length=576 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481339.1         -            576 7425at5820           -            101   1.8e-05   23.4   0.0   2   2     8e-08   9.8e-05   21.0   0.0    20    66   459   505   450   520 0.87 | transcript=PVW1_060011900_t1 | gene=PVW1_060011900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:289993-291918(-) | protein_length=576 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476665.1         -            505 7425at5820           -            101      0.01   14.5   1.0   1   3      0.62   7.6e+02   -1.1   0.0    14    56   163   204   152   225 0.62 | transcript=PVW1_090016300_t1 | gene=PVW1_090016300 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | location=CAJZCX010000007:574523-576040(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476665.1         -            505 7425at5820           -            101      0.01   14.5   1.0   2   3       1.6   1.9e+03   -2.4   0.0    51    63   267   278   243   294 0.62 | transcript=PVW1_090016300_t1 | gene=PVW1_090016300 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | location=CAJZCX010000007:574523-576040(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476665.1         -            505 7425at5820           -            101      0.01   14.5   1.0   3   3   7.3e-05     0.089   11.5   0.3     4    74   340   417   337   428 0.69 | transcript=PVW1_090016300_t1 | gene=PVW1_090016300 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | location=CAJZCX010000007:574523-576040(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7425at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:29 2026
# [ok]
