#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473737.1         -            439 7030at5820           -            387    4e-243  804.8  15.5   1   2  1.2e-183    3e-181  601.1  10.1     1   281     1   298     1   301 0.97 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 7030at5820           -            387    4e-243  804.8  15.5   2   2     7e-64   1.7e-61  206.9   0.2   281   387   323   438   319   438 0.97 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 7030at5820           -            387   1.8e-91  305.6   2.2   1   2   3.5e-43   8.5e-41  138.7   0.2    96   313   470   697   461   703 0.88 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 7030at5820           -            387   1.8e-91  305.6   2.2   2   2   1.4e-51   3.5e-49  166.3   0.2    98   382   792  1082   787  1087 0.86 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 7030at5820           -            387   4.2e-82  274.7   0.0   1   2   6.4e-40   1.6e-37  128.0   0.0    95   312   200   427   191   434 0.88 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 7030at5820           -            387   4.2e-82  274.7   0.0   2   2   6.9e-45   1.7e-42  144.4   0.0    97   380   475   780   465   784 0.82 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 7030at5820           -            387   1.2e-62  210.6  20.5   1   5       7.4   1.8e+03   -3.9   0.1    48    86   140   177   138   181 0.81 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 7030at5820           -            387   1.2e-62  210.6  20.5   2   5   3.1e-09   7.5e-07   27.0   0.1    88   160   329   404   312   428 0.78 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 7030at5820           -            387   1.2e-62  210.6  20.5   3   5   1.3e-16   3.1e-14   51.3   3.0   168   313   467   622   461   646 0.83 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 7030at5820           -            387   1.2e-62  210.6  20.5   4   5   7.9e-43   1.9e-40  137.6   1.6   100   281   765   949   748   961 0.92 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 7030at5820           -            387   1.2e-62  210.6  20.5   5   5     0.022       5.4    4.4   0.0   285   318  1089  1126  1081  1151 0.76 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
