#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475000.1         -            737 3977at5820           -            569         0 1146.8  48.5   1   3     0.006       3.1    4.6   0.1     1    16    21    36    21    40 0.91 | transcript=PVW1_100047800_t1 | gene=PVW1_100047800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1940934-1943147(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475000.1         -            737 3977at5820           -            569         0 1146.8  48.5   2   3  5.2e-110  2.6e-107  358.0   7.3    14   198   106   298    94   304 0.95 | transcript=PVW1_100047800_t1 | gene=PVW1_100047800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1940934-1943147(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475000.1         -            737 3977at5820           -            569         0 1146.8  48.5   3   3  1.2e-239    6e-237  786.1  28.7   198   569   343   735   341   735 0.96 | transcript=PVW1_100047800_t1 | gene=PVW1_100047800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1940934-1943147(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474779.1         -            203 3977at5820           -            569   7.8e-44  148.5   0.5   1   1   1.8e-46   9.2e-44  148.3   0.5   399   566    28   195    19   198 0.95 | transcript=PVW1_100029100_t1 | gene=PVW1_100029100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | location=CAJZCX010000005:1152373-1152984(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476731.1         -            167 3977at5820           -            569   4.7e-40  136.0   0.6   1   1     1e-42   5.2e-40  135.9   0.6   420   567     4   152     1   154 0.96 | transcript=PVW1_090021500_t1 | gene=PVW1_090021500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | location=CAJZCX010000007:766653-768255(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479025.1         -            170 3977at5820           -            569   3.8e-38  129.7   0.5   1   1   8.8e-41   4.4e-38  129.5   0.5   425   549    17   150     4   160 0.84 | transcript=PVW1_080023500_t1 | gene=PVW1_080023500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | location=CAJZCX010000009:842378-842890(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476724.1         -            193 3977at5820           -            569   1.2e-34  118.2   0.7   1   1   2.8e-37   1.4e-34  117.9   0.7   413   554    30   178    15   188 0.87 | transcript=PVW1_090020900_t1 | gene=PVW1_090020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | location=CAJZCX010000007:744861-745956(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485056.1         -            262 3977at5820           -            569   1.8e-30  104.4   1.5   1   1   5.8e-33     3e-30  103.7   1.5   425   551   106   242    77   259 0.86 | transcript=PVW1_010020100_t1 | gene=PVW1_010020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | location=CAJZCX010000016:675590-676378(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475874.1         -            456 3977at5820           -            569   2.3e-26   90.8   0.3   1   1   6.1e-29   3.1e-26   90.4   0.3   419   563    15   162     2   169 0.90 | transcript=PVW1_130032300_t1 | gene=PVW1_130032300 | organism=Plasmodium_vivax_PvW1 | gene_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | transcript_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | location=CAJZCX010000006:1206431-1208900(-) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475318.1         -            226 3977at5820           -            569   3.9e-22   76.8   0.5   1   1     9e-25   4.5e-22   76.6   0.5   451   566    55   170    10   173 0.83 | transcript=PVW1_130008300_t1 | gene=PVW1_130008300 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | location=CAJZCX010000006:165412-167102(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472222.1         -            276 3977at5820           -            569   5.7e-15   53.2   0.7   1   1   1.4e-17   7.2e-15   52.9   0.7   403   567    51   221    41   223 0.82 | transcript=PVW1_140040200_t1 | gene=PVW1_140040200 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4X8] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4X8] | location=CAJZCX010000003:1518402-1519232(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 3977at5820           -            569   4.6e-06   23.8   0.0   1   2   2.9e-05     0.015   12.2   0.0    41   114    70   141    44   151 0.89 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 3977at5820           -            569   4.6e-06   23.8   0.0   2   2   8.7e-05     0.044   10.6   0.0    31   116   144   230   137   278 0.85 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 3977at5820           -            569   0.00011   19.3   8.4   1   4       1.5   7.5e+02   -3.3   0.1   323   352    95   124    81   208 0.46 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 3977at5820           -            569   0.00011   19.3   8.4   2   4   6.3e-05     0.032   11.1   0.2    26   115   239   330   232   344 0.82 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 3977at5820           -            569   0.00011   19.3   8.4   3   4   0.00057      0.29    7.9   0.1    76   137   375   437   365   445 0.78 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 3977at5820           -            569   0.00011   19.3   8.4   4   4    0.0079         4    4.2   0.1    38    69   466   497   442   498 0.74 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485095.1         -            590 3977at5820           -            569    0.0056   13.6   0.1   1   1   4.3e-05     0.022   11.6   0.1   472   555    98   180     7   191 0.78 | transcript=PVW1_010021600_t1 | gene=PVW1_010021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:751842-753614(-) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3977at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3977at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3977at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:44 2026
# [ok]
