#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483543.1         -            243 11629at5820          -            188  2.9e-104  345.0   8.2   1   2   1.5e-52   1.8e-49  166.3   0.2     1    89    11    99    11   102 0.99 | transcript=PVW1_030026500_t1 | gene=PVW1_030026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:905027-905758(-) | protein_length=243 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483543.1         -            243 11629at5820          -            188  2.9e-104  345.0   8.2   2   2   2.7e-57   3.2e-54  181.8   3.0    87   188   140   241   139   241 0.98 | transcript=PVW1_030026500_t1 | gene=PVW1_030026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:905027-905758(-) | protein_length=243 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475931.1         -            452 11629at5820          -            188   4.1e-07   28.2   5.4   1   2   4.7e-07   0.00057   17.9   2.3   100   142   344   387   332   392 0.54 | transcript=PVW1_130034500_t1 | gene=PVW1_130034500 | organism=Plasmodium_vivax_PvW1 | gene_product=Mannose-1-phosphate guanylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV7] | transcript_product=Mannose-1-phosphate guanylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV7] | location=CAJZCX010000006:1275042-1276741(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475931.1         -            452 11629at5820          -            188   4.1e-07   28.2   5.4   2   2     2e-05     0.024   12.6   0.1    96   148   387   439   385   449 0.84 | transcript=PVW1_130034500_t1 | gene=PVW1_130034500 | organism=Plasmodium_vivax_PvW1 | gene_product=Mannose-1-phosphate guanylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV7] | transcript_product=Mannose-1-phosphate guanylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV7] | location=CAJZCX010000006:1275042-1276741(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472209.1         -           1065 11629at5820          -            188   0.00013   20.1  11.5   1   2   5.2e-06    0.0063   14.5   7.4    87   139   388   437   368   442 0.74 | transcript=PVW1_140038900_t1 | gene=PVW1_140038900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1483446-1486916(-) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472209.1         -           1065 11629at5820          -            188   0.00013   20.1  11.5   2   2   0.00079      0.96    7.4   0.2   119   158   440   479   437   487 0.86 | transcript=PVW1_140038900_t1 | gene=PVW1_140038900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1483446-1486916(-) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473450.1         -            479 11629at5820          -            188   0.00014   20.0   8.3   1   3      0.51   6.2e+02   -1.7   0.0   106   126   228   248   218   254 0.83 | transcript=PVW1_120042500_t1 | gene=PVW1_120042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation initiation factor eIF-2B subunit gamma, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G7] | transcript_product=Translation initiation factor eIF-2B subunit gamma, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G7] | location=CAJZCX010000004:1585553-1588332(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473450.1         -            479 11629at5820          -            188   0.00014   20.0   8.3   2   3   0.00046      0.55    8.2   0.3   103   146   383   426   364   429 0.69 | transcript=PVW1_120042500_t1 | gene=PVW1_120042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation initiation factor eIF-2B subunit gamma, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G7] | transcript_product=Translation initiation factor eIF-2B subunit gamma, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G7] | location=CAJZCX010000004:1585553-1588332(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473450.1         -            479 11629at5820          -            188   0.00014   20.0   8.3   3   3   4.3e-06    0.0053   14.8   3.5    98   147   424   472   416   476 0.84 | transcript=PVW1_120042500_t1 | gene=PVW1_120042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation initiation factor eIF-2B subunit gamma, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G7] | transcript_product=Translation initiation factor eIF-2B subunit gamma, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G7] | location=CAJZCX010000004:1585553-1588332(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471866.1         -            890 11629at5820          -            188     0.043   11.8   3.0   1   3   0.00029      0.35    8.9   0.2   101   145   231   275   210   293 0.48 | transcript=PVW1_140015000_t1 | gene=PVW1_140015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:461721-464393(-) | protein_length=890 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471866.1         -            890 11629at5820          -            188     0.043   11.8   3.0   2   3     0.068        82    1.1   0.1   123   151   313   341   290   363 0.53 | transcript=PVW1_140015000_t1 | gene=PVW1_140015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:461721-464393(-) | protein_length=890 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
