#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475421.1         -           1433 857at5820            -           1079         0 2398.5  33.7   1   2         0         0 1756.6  22.1     1   778   202  1010   202  1016 0.98 | transcript=PVW1_130012300_t1 | gene=PVW1_130012300 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W7] | transcript_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W7] | location=CAJZCX010000006:332950-337251(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475421.1         -           1433 857at5820            -           1079         0 2398.5  33.7   2   2  5.7e-198  8.6e-195  647.8   3.7   768  1079  1096  1433  1090  1433 0.95 | transcript=PVW1_130012300_t1 | gene=PVW1_130012300 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W7] | transcript_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W7] | location=CAJZCX010000006:332950-337251(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482438.1         -           1346 857at5820            -           1079  7.4e-208  691.1   8.1   1   2  5.1e-128  7.8e-125  416.2   1.7    11   812    34   898    24   910 0.80 | transcript=PVW1_040015400_t1 | gene=PVW1_040015400 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSM4] | transcript_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSM4] | location=CAJZCX010000013:468387-472535(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482438.1         -           1346 857at5820            -           1079  7.4e-208  691.1   8.1   2   2   3.9e-86     6e-83  277.5   0.6   822  1077  1073  1344  1052  1346 0.92 | transcript=PVW1_040015400_t1 | gene=PVW1_040015400 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSM4] | transcript_product=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSM4] | location=CAJZCX010000013:468387-472535(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 857at5820            -           1079  7.6e-102  340.1  30.2   1   7   7.8e-11   1.2e-07   28.2   1.9    25   179    96   263    83   279 0.78 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 857at5820            -           1079  7.6e-102  340.1  30.2   2   7      0.44   6.6e+02   -4.1   1.1   303   380   389   461   383   491 0.73 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 857at5820            -           1079  7.6e-102  340.1  30.2   3   7   4.3e-14   6.5e-11   39.0   0.1   439   594   611   780   535   806 0.74 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 857at5820            -           1079  7.6e-102  340.1  30.2   4   7   8.5e-31   1.3e-27   94.3   0.0   625   772   963  1110   953  1125 0.95 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 857at5820            -           1079  7.6e-102  340.1  30.2   5   7   5.7e-29   8.7e-26   88.2   0.0   823   915  1204  1295  1161  1313 0.82 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 857at5820            -           1079  7.6e-102  340.1  30.2   6   7   7.4e-35   1.1e-31  107.7   0.4   930  1043  1383  1496  1371  1507 0.97 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477084.1         -           1568 857at5820            -           1079  7.6e-102  340.1  30.2   7   7     0.024        36    0.1   0.5  1035  1077  1522  1559  1516  1561 0.83 | transcript=PVW1_090040000_t1 | gene=PVW1_090040000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1535049-1539903(-) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471687.1         -           1021 857at5820            -           1079   1.4e-25   87.5   2.5   1   5         4   6.1e+03  -10.0   6.7   602   637    41    79    35   157 0.56 | transcript=PVW1_000034600_t1 | gene=PVW1_000034600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:22835-25900(+) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471687.1         -           1021 857at5820            -           1079   1.4e-25   87.5   2.5   2   5     0.016        24    0.7   0.2   438   500   332   392   264   397 0.76 | transcript=PVW1_000034600_t1 | gene=PVW1_000034600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:22835-25900(+) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471687.1         -           1021 857at5820            -           1079   1.4e-25   87.5   2.5   3   5      0.26     4e+02   -3.4   7.7   613   709   422   532   409   547 0.68 | transcript=PVW1_000034600_t1 | gene=PVW1_000034600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:22835-25900(+) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471687.1         -           1021 857at5820            -           1079   1.4e-25   87.5   2.5   4   5    0.0025       3.8    3.3   0.0   722   754   595   627   546   647 0.77 | transcript=PVW1_000034600_t1 | gene=PVW1_000034600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:22835-25900(+) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471687.1         -           1021 857at5820            -           1079   1.4e-25   87.5   2.5   5   5   9.2e-29   1.4e-25   87.5   2.5   830  1069   746   997   697  1004 0.73 | transcript=PVW1_000034600_t1 | gene=PVW1_000034600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000001:22835-25900(+) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/857at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:38 2026
# [ok]
