#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473881.1         -            321 9793at5820           -            231  2.2e-112  372.4  19.4   1   3   7.9e-26   1.2e-22   78.8   0.3     1    54     1    54     1    75 0.93 | transcript=PVW1_120073100_t1 | gene=PVW1_120073100 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN5] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN5] | location=CAJZCX010000004:2866350-2867315(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473881.1         -            321 9793at5820           -            231  2.2e-112  372.4  19.4   2   3   1.5e-31   2.3e-28   97.5   0.6    51   108   107   164    98   171 0.95 | transcript=PVW1_120073100_t1 | gene=PVW1_120073100 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN5] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN5] | location=CAJZCX010000004:2866350-2867315(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473881.1         -            321 9793at5820           -            231  2.2e-112  372.4  19.4   3   3   3.2e-64   4.9e-61  204.4   6.6   107   231   185   320   176   320 0.93 | transcript=PVW1_120073100_t1 | gene=PVW1_120073100 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN5] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHN5] | location=CAJZCX010000004:2866350-2867315(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473316.1         -            378 9793at5820           -            231   7.9e-06   23.8  13.0   1   3      0.77   1.2e+03   -2.9   0.5   112   158    72   118    52   138 0.59 | transcript=PVW1_120032400_t1 | gene=PVW1_120032400 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP5] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP5] | location=CAJZCX010000004:1213878-1215014(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473316.1         -            378 9793at5820           -            231   7.9e-06   23.8  13.0   2   3   8.8e-09   1.3e-05   23.1   3.3    69   132   208   270   200   285 0.84 | transcript=PVW1_120032400_t1 | gene=PVW1_120032400 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP5] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP5] | location=CAJZCX010000004:1213878-1215014(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473316.1         -            378 9793at5820           -            231   7.9e-06   23.8  13.0   3   3   0.00047      0.71    7.6   0.1   181   220   285   324   272   335 0.79 | transcript=PVW1_120032400_t1 | gene=PVW1_120032400 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP5] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP5] | location=CAJZCX010000004:1213878-1215014(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471987.1         -            293 9793at5820           -            231   3.6e-05   21.6   2.5   1   2      0.26   3.9e+02   -1.4   0.1   180   205   108   133    84   154 0.71 | transcript=PVW1_140024000_t1 | gene=PVW1_140024000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:833125-835055(-) | protein_length=293 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471987.1         -            293 9793at5820           -            231   3.6e-05   21.6   2.5   2   2   2.4e-08   3.6e-05   21.6   2.5   121   188   153   221   140   225 0.87 | transcript=PVW1_140024000_t1 | gene=PVW1_140024000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:833125-835055(-) | protein_length=293 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480646.1         -            156 9793at5820           -            231    0.0044   14.8   0.9   1   2   9.7e-06     0.015   13.1   0.3    60   105    11    55     5    94 0.71 | transcript=PVW1_070032000_t1 | gene=PVW1_070032000 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAW1] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAW1] | location=CAJZCX010000011:1183713-1184406(+) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480646.1         -            156 9793at5820           -            231    0.0044   14.8   0.9   2   2     0.079   1.2e+02    0.3   0.0   184   198    99   113    81   135 0.72 | transcript=PVW1_070032000_t1 | gene=PVW1_070032000 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAW1] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAW1] | location=CAJZCX010000011:1183713-1184406(+) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9793at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9793at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9793at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:43 2026
# [ok]
