#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472083.1         -            783 3852at5820           -            646         0 1194.8  84.0   1   3  4.5e-176  6.8e-173  574.9  48.3     1   322    11   365    11   374 0.94 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472083.1         -            783 3852at5820           -            646         0 1194.8  84.0   2   3    0.0012       1.8    5.2   0.3   319   337   389   407   384   419 0.87 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472083.1         -            783 3852at5820           -            646         0 1194.8  84.0   3   3  1.2e-190  1.7e-187  623.1  21.8   334   646   443   778   421   778 0.96 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3852at5820           -            646   1.4e-63  213.7  22.3   1   4       2.5   3.8e+03   -5.8   9.6   244   397   241   388   223   396 0.72 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3852at5820           -            646   1.4e-63  213.7  22.3   2   4   2.7e-05     0.042   10.6  33.3    12   275   415   695   406   767 0.67 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3852at5820           -            646   1.4e-63  213.7  22.3   3   4   9.1e-67   1.4e-63  213.7  22.3   323   623   815  1124   757  1132 0.87 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3852at5820           -            646   1.4e-63  213.7  22.3   4   4      0.15   2.4e+02   -1.8   0.6   607   629  1133  1155  1122  1162 0.83 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3852at5820           -            646   4.4e-45  152.6  29.7   1   4       0.7   1.1e+03   -4.0   0.4   606   628    91   113    78   115 0.86 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3852at5820           -            646   4.4e-45  152.6  29.7   2   4         4   6.1e+03   -9.0   5.7    77   108   288   320   257   339 0.49 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3852at5820           -            646   4.4e-45  152.6  29.7   3   4         4   6.1e+03  -14.6  11.9    78   102   407   428   378   457 0.34 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3852at5820           -            646   4.4e-45  152.6  29.7   4   4   2.9e-48   4.4e-45  152.6  29.7   236   623   582   982   563   995 0.78 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
