#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472390.1         -            539 6844at5820           -            398  1.9e-200  664.4  10.0   1   3   6.4e-65   1.3e-61  207.3   2.6     5   122    32   149    30   151 0.98 | transcript=PVW1_140056500_t1 | gene=PVW1_140056500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2255221-2257137(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472390.1         -            539 6844at5820           -            398  1.9e-200  664.4  10.0   2   3     2e-91   4.1e-88  294.5   2.1   121   290   198   367   195   370 0.95 | transcript=PVW1_140056500_t1 | gene=PVW1_140056500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2255221-2257137(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472390.1         -            539 6844at5820           -            398  1.9e-200  664.4  10.0   3   3   6.6e-52   1.3e-48  164.4   0.0   264   398   394   539   387   539 0.92 | transcript=PVW1_140056500_t1 | gene=PVW1_140056500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2255221-2257137(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478218.1         -            495 6844at5820           -            398   3.8e-18   64.1  21.2   1   5   8.5e-05      0.17    9.3   3.7    27    99    11    79     6   107 0.78 | transcript=PVW1_110051100_t1 | gene=PVW1_110051100 | organism=Plasmodium_vivax_PvW1 | gene_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | transcript_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | location=CAJZCX010000008:1956991-1958478(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478218.1         -            495 6844at5820           -            398   3.8e-18   64.1  21.2   2   5   1.9e-09   3.8e-06   24.6   0.4   109   197   123   209   101   214 0.79 | transcript=PVW1_110051100_t1 | gene=PVW1_110051100 | organism=Plasmodium_vivax_PvW1 | gene_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | transcript_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | location=CAJZCX010000008:1956991-1958478(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478218.1         -            495 6844at5820           -            398   3.8e-18   64.1  21.2   3   5   0.00055       1.1    6.6   0.0   206   231   247   272   232   280 0.82 | transcript=PVW1_110051100_t1 | gene=PVW1_110051100 | organism=Plasmodium_vivax_PvW1 | gene_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | transcript_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | location=CAJZCX010000008:1956991-1958478(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478218.1         -            495 6844at5820           -            398   3.8e-18   64.1  21.2   4   5   0.00014      0.29    8.5   0.1   234   255   359   380   330   391 0.73 | transcript=PVW1_110051100_t1 | gene=PVW1_110051100 | organism=Plasmodium_vivax_PvW1 | gene_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | transcript_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | location=CAJZCX010000008:1956991-1958478(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478218.1         -            495 6844at5820           -            398   3.8e-18   64.1  21.2   5   5   2.7e-09   5.4e-06   24.1   1.4   293   398   396   495   384   495 0.86 | transcript=PVW1_110051100_t1 | gene=PVW1_110051100 | organism=Plasmodium_vivax_PvW1 | gene_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | transcript_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | location=CAJZCX010000008:1956991-1958478(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483974.1         -            569 6844at5820           -            398   1.3e-10   39.3   0.7   1   3      0.24   4.8e+02   -2.1   0.7    57    57   279   279   234   358 0.57 | transcript=PVW1_020012900_t1 | gene=PVW1_020012900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:385753-387462(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483974.1         -            569 6844at5820           -            398   1.3e-10   39.3   0.7   2   3      0.18   3.7e+02   -1.7   0.0   296   340   373   417   363   424 0.76 | transcript=PVW1_020012900_t1 | gene=PVW1_020012900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:385753-387462(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483974.1         -            569 6844at5820           -            398   1.3e-10   39.3   0.7   3   3   3.1e-13   6.2e-10   37.1   0.0   115   259   425   565   409   568 0.80 | transcript=PVW1_020012900_t1 | gene=PVW1_020012900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:385753-387462(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
