#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480492.1         -            719 4609at5820           -            472  1.2e-231  767.9   8.9   1   4  8.6e-121  4.7e-118  393.3   0.2     6   215    24   235    20   249 0.97 | transcript=PVW1_070020300_t1 | gene=PVW1_070020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | location=CAJZCX010000011:719985-722144(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480492.1         -            719 4609at5820           -            472  1.2e-231  767.9   8.9   2   4   2.5e-59   1.4e-56  190.7   0.0   219   334   370   486   343   489 0.93 | transcript=PVW1_070020300_t1 | gene=PVW1_070020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | location=CAJZCX010000011:719985-722144(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480492.1         -            719 4609at5820           -            472  1.2e-231  767.9   8.9   3   4   5.5e-56     3e-53  179.6   1.1   335   456   524   654   519   659 0.94 | transcript=PVW1_070020300_t1 | gene=PVW1_070020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | location=CAJZCX010000011:719985-722144(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480492.1         -            719 4609at5820           -            472  1.2e-231  767.9   8.9   4   4    0.0019         1    6.4   0.0   452   471   689   708   686   709 0.90 | transcript=PVW1_070020300_t1 | gene=PVW1_070020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAG9] | location=CAJZCX010000011:719985-722144(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4609at5820           -            472   8.8e-15   52.8  39.5   1   4   1.2e-07   6.7e-05   20.3   0.3    46   121   102   176    65   177 0.87 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4609at5820           -            472   8.8e-15   52.8  39.5   2   4   1.3e-10   7.3e-08   30.0   1.7   238   335   146   243   145   251 0.90 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4609at5820           -            472   8.8e-15   52.8  39.5   3   4   7.7e-05     0.043   11.0   4.7    43   131   250   343   246   371 0.78 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 4609at5820           -            472   8.8e-15   52.8  39.5   4   4   4.6e-06    0.0025   15.1  15.4   244   397   348   509   341   522 0.78 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 4609at5820           -            472   1.5e-09   35.6  13.1   1   4     0.036        20    2.2   8.9   278   373   496   596   445   638 0.70 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 4609at5820           -            472   1.5e-09   35.6  13.1   2   4   2.7e-12   1.5e-09   35.6  13.1    45   193   641   782   633   785 0.89 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 4609at5820           -            472   1.5e-09   35.6  13.1   3   4     0.088        49    0.9  15.1    57   187   764   896   755   907 0.82 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
