#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478130.1         -            615 6270at5820           -            386    1e-182  605.8  24.3   1   4   0.00015      0.23    8.8   0.4     1    20    14    33    14    45 0.89 | transcript=PVW1_110047100_t1 | gene=PVW1_110047100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1773645-1775607(+) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478130.1         -            615 6270at5820           -            386    1e-182  605.8  24.3   2   4   6.7e-59     1e-55  187.8   4.4    30   138    86   211    67   215 0.87 | transcript=PVW1_110047100_t1 | gene=PVW1_110047100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1773645-1775607(+) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478130.1         -            615 6270at5820           -            386    1e-182  605.8  24.3   3   4   2.2e-81   3.3e-78  261.8   1.9   135   281   286   432   280   436 0.98 | transcript=PVW1_110047100_t1 | gene=PVW1_110047100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1773645-1775607(+) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478130.1         -            615 6270at5820           -            386    1e-182  605.8  24.3   4   4   1.4e-49   2.1e-46  157.1   0.1   281   386   500   611   494   611 0.94 | transcript=PVW1_110047100_t1 | gene=PVW1_110047100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1773645-1775607(+) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479705.1         -            747 6270at5820           -            386   5.2e-14   50.4  10.7   1   3   0.00028      0.43    7.9   4.9    45   150   258   354   242   357 0.68 | transcript=PVW1_050014900_t1 | gene=PVW1_050014900 | organism=Plasmodium_vivax_PvW1 | gene_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | transcript_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | location=CAJZCX010000010:472501-474744(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479705.1         -            747 6270at5820           -            386   5.2e-14   50.4  10.7   2   3   1.8e-09   2.7e-06   25.0   0.2   167   251   342   426   330   441 0.89 | transcript=PVW1_050014900_t1 | gene=PVW1_050014900 | organism=Plasmodium_vivax_PvW1 | gene_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | transcript_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | location=CAJZCX010000010:472501-474744(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479705.1         -            747 6270at5820           -            386   5.2e-14   50.4  10.7   3   3   1.2e-08   1.8e-05   22.3   0.1   300   381   573   655   571   658 0.92 | transcript=PVW1_050014900_t1 | gene=PVW1_050014900 | organism=Plasmodium_vivax_PvW1 | gene_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | transcript_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | location=CAJZCX010000010:472501-474744(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 6270at5820           -            386   2.2e-05   22.0   0.6   1   2    0.0038       5.7    4.2   0.0   233   276   107   156   104   165 0.68 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 6270at5820           -            386   2.2e-05   22.0   0.6   2   2   1.5e-06    0.0022   15.4   0.1   326   379   331   383   322   389 0.77 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479935.1         -            191 6270at5820           -            386     0.017   12.5   0.0   1   1   1.5e-05     0.022   12.2   0.0   232   336    22   132    16   172 0.76 | transcript=PVW1_050031400_t1 | gene=PVW1_050031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Small GTP-binding protein sar1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTR7] | transcript_product=Small GTP-binding protein sar1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTR7] | location=CAJZCX010000010:1088933-1089924(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
