#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474996.1         -            432 7687at5820           -            308  1.2e-149  496.0  39.2   1   4   1.1e-61   2.1e-58  196.3   1.9     1   114     1   114     1   138 0.94 | transcript=PVW1_100047600_t1 | gene=PVW1_100047600 | organism=Plasmodium_vivax_PvW1 | gene_product=PDCD2_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYU8] | transcript_product=PDCD2_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYU8] | location=CAJZCX010000005:1935709-1937007(-) | protein_length=432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474996.1         -            432 7687at5820           -            308  1.2e-149  496.0  39.2   2   4   1.5e-13   3.1e-10   38.1   2.1   103   157   147   211   134   222 0.83 | transcript=PVW1_100047600_t1 | gene=PVW1_100047600 | organism=Plasmodium_vivax_PvW1 | gene_product=PDCD2_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYU8] | transcript_product=PDCD2_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYU8] | location=CAJZCX010000005:1935709-1937007(-) | protein_length=432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474996.1         -            432 7687at5820           -            308  1.2e-149  496.0  39.2   3   4     1e-13   2.1e-10   38.7   0.5   155   191   247   289   233   292 0.83 | transcript=PVW1_100047600_t1 | gene=PVW1_100047600 | organism=Plasmodium_vivax_PvW1 | gene_product=PDCD2_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYU8] | transcript_product=PDCD2_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYU8] | location=CAJZCX010000005:1935709-1937007(-) | protein_length=432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474996.1         -            432 7687at5820           -            308  1.2e-149  496.0  39.2   4   4   1.1e-74   2.3e-71  238.9  14.2   167   308   291   432   289   432 0.98 | transcript=PVW1_100047600_t1 | gene=PVW1_100047600 | organism=Plasmodium_vivax_PvW1 | gene_product=PDCD2_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYU8] | transcript_product=PDCD2_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYU8] | location=CAJZCX010000005:1935709-1937007(-) | protein_length=432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483377.1         -            510 7687at5820           -            308   7.6e-10   36.8  15.5   1   4   4.1e-08   8.3e-05   20.3   1.1    17    74    27    89    14    98 0.78 | transcript=PVW1_030019200_t1 | gene=PVW1_030019200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:638255-639787(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483377.1         -            510 7687at5820           -            308   7.6e-10   36.8  15.5   2   4       0.4   8.2e+02   -2.7   0.1    58    71   222   233   208   268 0.66 | transcript=PVW1_030019200_t1 | gene=PVW1_030019200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:638255-639787(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483377.1         -            510 7687at5820           -            308   7.6e-10   36.8  15.5   3   4    0.0052        11    3.5   0.0   199   222   359   382   339   407 0.73 | transcript=PVW1_030019200_t1 | gene=PVW1_030019200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:638255-639787(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483377.1         -            510 7687at5820           -            308   7.6e-10   36.8  15.5   4   4   1.7e-08   3.4e-05   21.6   1.2   237   295   429   484   426   489 0.85 | transcript=PVW1_030019200_t1 | gene=PVW1_030019200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:638255-639787(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477253.1         -             90 7687at5820           -            308   0.00064   17.4   0.8   1   1   3.9e-07    0.0008   17.1   0.8   214   262    25    73    17    89 0.86 | transcript=PVW1_090050500_t1 | gene=PVW1_090050500 | organism=Plasmodium_vivax_PvW1 | gene_product=Cysteine-rich PDZ-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY79] | transcript_product=Cysteine-rich PDZ-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY79] | location=CAJZCX010000007:2020243-2021114(-) | protein_length=90 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
