#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477539.1         -            534 5839at5820           -            397  2.3e-204  677.1  30.5   1   4      0.22   2.3e+02   -1.2   0.0     1    13    14    26    14    30 0.89 | transcript=PVW1_110012000_t1 | gene=PVW1_110012000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:290867-292471(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477539.1         -            534 5839at5820           -            397  2.3e-204  677.1  30.5   2   4  7.6e-158  7.7e-155  514.1  10.7    13   281    64   340    52   344 0.96 | transcript=PVW1_110012000_t1 | gene=PVW1_110012000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:290867-292471(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477539.1         -            534 5839at5820           -            397  2.3e-204  677.1  30.5   3   4   3.5e-41   3.6e-38  129.9   5.2   278   372   362   474   352   476 0.87 | transcript=PVW1_110012000_t1 | gene=PVW1_110012000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:290867-292471(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477539.1         -            534 5839at5820           -            397  2.3e-204  677.1  30.5   4   4   3.2e-14   3.3e-11   41.1   0.1   357   397   491   534   488   534 0.84 | transcript=PVW1_110012000_t1 | gene=PVW1_110012000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:290867-292471(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 5839at5820           -            397   3.9e-20   70.5   8.1   1   2   3.9e-23   3.9e-20   70.5   8.1    44   201    11   168     4   173 0.90 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 5839at5820           -            397   3.9e-20   70.5   8.1   2   2      0.64   6.5e+02   -2.7   0.9   226   276   309   357   301   390 0.62 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 5839at5820           -            397   1.6e-18   65.2   0.3   1   2   1.5e-21   1.6e-18   65.2   0.3    53   194     4   148     1   181 0.87 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 5839at5820           -            397   1.6e-18   65.2   0.3   2   2       1.1   1.1e+03   -3.5   0.0   261   293   306   339   296   347 0.67 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 5839at5820           -            397     4e-11   40.8  17.9   1   4   1.3e-10   1.3e-07   29.3   5.3    38   181   200   348   187   366 0.74 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 5839at5820           -            397     4e-11   40.8  17.9   2   4   1.8e-07   0.00018   18.9   0.1    25   123   642   751   613   761 0.75 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 5839at5820           -            397     4e-11   40.8  17.9   3   4      0.13   1.3e+02   -0.4   0.5   143   181   817   855   803   967 0.69 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
