#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474874.1         -            701 5024at5820           -            513  1.5e-268  890.1  63.4   1   2    6e-116  6.1e-113  376.7  31.5     9   257    68   315    54   334 0.77 | transcript=PVW1_100037900_t1 | gene=PVW1_100037900 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | location=CAJZCX010000005:1524117-1527029(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474874.1         -            701 5024at5820           -            513  1.5e-268  890.1  63.4   2   2  3.8e-158  3.8e-155  515.9  25.5   198   513   365   701   318   701 0.81 | transcript=PVW1_100037900_t1 | gene=PVW1_100037900 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | location=CAJZCX010000005:1524117-1527029(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473790.1         -            411 5024at5820           -            513   5.5e-12   43.6   4.0   1   6     0.023        23    1.9   0.1   157   177    52    72     8    78 0.68 | transcript=PVW1_120066800_t1 | gene=PVW1_120066800 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | location=CAJZCX010000004:2598545-2601511(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473790.1         -            411 5024at5820           -            513   5.5e-12   43.6   4.0   2   6   1.9e-13     2e-10   38.5   0.6   277   357    88   170    80   172 0.82 | transcript=PVW1_120066800_t1 | gene=PVW1_120066800 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | location=CAJZCX010000004:2598545-2601511(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473790.1         -            411 5024at5820           -            513   5.5e-12   43.6   4.0   3   6     0.081        82    0.1   0.0   391   408   178   195   176   212 0.84 | transcript=PVW1_120066800_t1 | gene=PVW1_120066800 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | location=CAJZCX010000004:2598545-2601511(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473790.1         -            411 5024at5820           -            513   5.5e-12   43.6   4.0   4   6   4.6e-06    0.0047   14.1   0.1   458   513   222   279   213   279 0.85 | transcript=PVW1_120066800_t1 | gene=PVW1_120066800 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | location=CAJZCX010000004:2598545-2601511(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473790.1         -            411 5024at5820           -            513   5.5e-12   43.6   4.0   5   6       1.4   1.4e+03   -3.9   2.4    55    77   306   330   296   371 0.73 | transcript=PVW1_120066800_t1 | gene=PVW1_120066800 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | location=CAJZCX010000004:2598545-2601511(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473790.1         -            411 5024at5820           -            513   5.5e-12   43.6   4.0   6   6       0.3   3.1e+02   -1.8   0.1   373   413   350   388   343   408 0.70 | transcript=PVW1_120066800_t1 | gene=PVW1_120066800 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG0] | location=CAJZCX010000004:2598545-2601511(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472564.1         -           1108 5024at5820           -            513   1.7e-08   32.1  12.0   1   4      0.37   3.8e+02   -2.1   0.7    47    73   515   540   508   548 0.75 | transcript=PVW1_140072900_t1 | gene=PVW1_140072900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2891105-2894679(+) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472564.1         -           1108 5024at5820           -            513   1.7e-08   32.1  12.0   2   4    0.0001       0.1    9.7   0.3   155   195   803   844   786   878 0.75 | transcript=PVW1_140072900_t1 | gene=PVW1_140072900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2891105-2894679(+) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472564.1         -           1108 5024at5820           -            513   1.7e-08   32.1  12.0   3   4   0.00013      0.13    9.4   1.3   275   372   867   967   839  1001 0.69 | transcript=PVW1_140072900_t1 | gene=PVW1_140072900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2891105-2894679(+) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472564.1         -           1108 5024at5820           -            513   1.7e-08   32.1  12.0   4   4   1.8e-07   0.00018   18.8   0.0   456   513  1015  1073  1001  1073 0.88 | transcript=PVW1_140072900_t1 | gene=PVW1_140072900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2891105-2894679(+) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472180.1         -            303 5024at5820           -            513   3.2e-06   24.6   1.8   1   3     0.028        29    1.6   0.1   153   182    52    81    12   101 0.72 | transcript=PVW1_140036000_t1 | gene=PVW1_140036000 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | location=CAJZCX010000003:1346023-1348521(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472180.1         -            303 5024at5820           -            513   3.2e-06   24.6   1.8   2   3     6e-08     6e-05   20.4   0.1   279   356   109   186    75   189 0.83 | transcript=PVW1_140036000_t1 | gene=PVW1_140036000 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | location=CAJZCX010000003:1346023-1348521(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472180.1         -            303 5024at5820           -            513   3.2e-06   24.6   1.8   3   3     0.063        64    0.5   0.0   484   512   271   300   228   301 0.77 | transcript=PVW1_140036000_t1 | gene=PVW1_140036000 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK87] | location=CAJZCX010000003:1346023-1348521(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477096.1         -            845 5024at5820           -            513   1.3e-05   22.6   1.2   1   2    0.0002       0.2    8.7   0.1   270   331   578   653   526   672 0.73 | transcript=PVW1_090040400_t1 | gene=PVW1_090040400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1549286-1551823(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477096.1         -            845 5024at5820           -            513   1.3e-05   22.6   1.2   2   2   1.7e-05     0.017   12.3   0.1   456   496   766   806   759   819 0.88 | transcript=PVW1_090040400_t1 | gene=PVW1_090040400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1549286-1551823(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472182.1         -            559 5024at5820           -            513   7.8e-05   20.0  25.9   1   4       3.9   3.9e+03   -5.4   7.2   199   241    53    95    19   131 0.45 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
