#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476665.1         -            505 5961at5820           -            363  1.8e-195  647.5  17.2   1   3   9.5e-39   1.2e-35  121.8   0.1     1    75     1    76     1    87 0.95 | transcript=PVW1_090016300_t1 | gene=PVW1_090016300 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | location=CAJZCX010000007:574523-576040(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476665.1         -            505 5961at5820           -            363  1.8e-195  647.5  17.2   2   3  1.3e-143  1.6e-140  466.8   8.3    73   327   173   433   171   437 0.98 | transcript=PVW1_090016300_t1 | gene=PVW1_090016300 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | location=CAJZCX010000007:574523-576040(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476665.1         -            505 5961at5820           -            363  1.8e-195  647.5  17.2   3   3   3.1e-21   3.8e-18   64.1   0.1   327   363   469   505   463   505 0.95 | transcript=PVW1_090016300_t1 | gene=PVW1_090016300 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCI2] | location=CAJZCX010000007:574523-576040(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476991.1         -            610 5961at5820           -            363   4.9e-23   80.2   4.7   1   2   3.9e-08   4.8e-05   21.0   0.6    70   142   248   326   221   352 0.66 | transcript=PVW1_090034900_t1 | gene=PVW1_090034900 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | location=CAJZCX010000007:1318490-1320322(-) | protein_length=610 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476991.1         -            610 5961at5820           -            363   4.9e-23   80.2   4.7   2   2   2.9e-20   3.5e-17   61.0   0.6   208   314   354   458   329   484 0.82 | transcript=PVW1_090034900_t1 | gene=PVW1_090034900 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXQ9] | location=CAJZCX010000007:1318490-1320322(-) | protein_length=610 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484637.1         -           1116 5961at5820           -            363   3.1e-12   44.7  16.4   1   3   2.3e-07   0.00028   18.5   5.3    44   146    62   164    18   180 0.81 | transcript=PVW1_010008500_t1 | gene=PVW1_010008500 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQR5] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQR5] | location=CAJZCX010000016:197705-201055(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484637.1         -           1116 5961at5820           -            363   3.1e-12   44.7  16.4   2   3     3e-14   3.6e-11   41.2   3.3   179   324   288   438   279   449 0.71 | transcript=PVW1_010008500_t1 | gene=PVW1_010008500 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQR5] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQR5] | location=CAJZCX010000016:197705-201055(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484637.1         -           1116 5961at5820           -            363   3.1e-12   44.7  16.4   3   3       2.3   2.7e+03   -4.5   4.9     7   125   809   937   805   945 0.57 | transcript=PVW1_010008500_t1 | gene=PVW1_010008500 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQR5] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GQR5] | location=CAJZCX010000016:197705-201055(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472376.1         -            376 5961at5820           -            363   5.7e-09   33.9   0.7   1   2   0.00084         1    6.8   0.0   116   145   192   221   104   233 0.90 | transcript=PVW1_140055100_t1 | gene=PVW1_140055100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E9] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E9] | location=CAJZCX010000003:2179090-2180444(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472376.1         -            376 5961at5820           -            363   5.7e-09   33.9   0.7   2   2   1.4e-09   1.6e-06   25.9   0.3   196   337   229   373   221   376 0.82 | transcript=PVW1_140055100_t1 | gene=PVW1_140055100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E9] | transcript_product=SAM_MT_RSMB_NOP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E9] | location=CAJZCX010000003:2179090-2180444(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481339.1         -            576 5961at5820           -            363   3.4e-05   21.5   0.1   1   2    0.0036       4.4    4.7   0.0   111   141   183   213   173   243 0.82 | transcript=PVW1_060011900_t1 | gene=PVW1_060011900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:289993-291918(-) | protein_length=576 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
