#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473546.1         -            620 5842at5820           -            485  2.3e-267  885.7  30.5   1   2   8.6e-10     1e-06   26.0   2.8     1    28     1    28     1    38 0.94 | transcript=PVW1_120048400_t1 | gene=PVW1_120048400 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G9] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G9] | location=CAJZCX010000004:1820758-1822945(+) | protein_length=620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473546.1         -            620 5842at5820           -            485  2.3e-267  885.7  30.5   2   2  8.5e-264    1e-260  863.7  19.9    22   485    66   620    55   620 0.94 | transcript=PVW1_120048400_t1 | gene=PVW1_120048400 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G9] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G9] | location=CAJZCX010000004:1820758-1822945(+) | protein_length=620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473164.1         -            348 5842at5820           -            485   1.9e-14   51.5  19.5   1   3     0.039        48    0.8   0.5   396   454    10    68     2    85 0.68 | transcript=PVW1_120020900_t1 | gene=PVW1_120020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0S7] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0S7] | location=CAJZCX010000004:713268-714815(-) | protein_length=348 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473164.1         -            348 5842at5820           -            485   1.9e-14   51.5  19.5   2   3    0.0027       3.2    4.6   1.2    30    77    49    98    34   108 0.80 | transcript=PVW1_120020900_t1 | gene=PVW1_120020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0S7] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0S7] | location=CAJZCX010000004:713268-714815(-) | protein_length=348 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473164.1         -            348 5842at5820           -            485   1.9e-14   51.5  19.5   3   3   1.2e-16   1.4e-13   48.7   8.9   110   296   107   278    97   287 0.81 | transcript=PVW1_120020900_t1 | gene=PVW1_120020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0S7] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0S7] | location=CAJZCX010000004:713268-714815(-) | protein_length=348 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472055.1         -            595 5842at5820           -            485     1e-12   45.8   5.8   1   4      0.55   6.7e+02   -3.0   0.3   235   269    28    63    13    94 0.59 | transcript=PVW1_140027300_t1 | gene=PVW1_140027300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK68] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK68] | location=CAJZCX010000003:978182-979969(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472055.1         -            595 5842at5820           -            485     1e-12   45.8   5.8   2   4      0.27   3.3e+02   -2.0   0.3   440   470   167   197   125   205 0.62 | transcript=PVW1_140027300_t1 | gene=PVW1_140027300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK68] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK68] | location=CAJZCX010000003:978182-979969(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472055.1         -            595 5842at5820           -            485     1e-12   45.8   5.8   3   4   4.2e-11   5.1e-08   30.4   0.0   133   192   307   368   295   376 0.80 | transcript=PVW1_140027300_t1 | gene=PVW1_140027300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK68] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK68] | location=CAJZCX010000003:978182-979969(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472055.1         -            595 5842at5820           -            485     1e-12   45.8   5.8   4   4   2.5e-09     3e-06   24.5   3.0   242   294   391   443   386   451 0.91 | transcript=PVW1_140027300_t1 | gene=PVW1_140027300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK68] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK68] | location=CAJZCX010000003:978182-979969(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480347.1         -           1235 5842at5820           -            485   2.5e-08   31.4   9.9   1   4   1.5e-10   1.8e-07   28.5   1.1    98   191   255   356   248   358 0.80 | transcript=PVW1_070012200_t1 | gene=PVW1_070012200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:407361-411068(+) | protein_length=1235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480347.1         -           1235 5842at5820           -            485   2.5e-08   31.4   9.9   2   4   4.9e-07    0.0006   16.9   2.1   233   297   353   417   349   426 0.93 | transcript=PVW1_070012200_t1 | gene=PVW1_070012200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:407361-411068(+) | protein_length=1235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
