#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483988.1         -           1085 1806at5820           -            857         0 1368.6   3.8   1   3    6e-162  1.2e-158  527.7   0.0     1   284    14   304    14   322 0.96 | transcript=PVW1_020013600_t1 | gene=PVW1_020013600 | organism=Plasmodium_vivax_PvW1 | gene_product=LCCL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6T1] | transcript_product=LCCL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6T1] | location=CAJZCX010000015:398759-402220(-) | protein_length=1085 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483988.1         -           1085 1806at5820           -            857         0 1368.6   3.8   2   3  1.8e-205  3.7e-202  671.7   0.6   283   753   360   937   351   950 0.88 | transcript=PVW1_020013600_t1 | gene=PVW1_020013600 | organism=Plasmodium_vivax_PvW1 | gene_product=LCCL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6T1] | transcript_product=LCCL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6T1] | location=CAJZCX010000015:398759-402220(-) | protein_length=1085 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483988.1         -           1085 1806at5820           -            857         0 1368.6   3.8   3   3   8.8e-51   1.8e-47  160.0   0.0   749   857   964  1084   956  1084 0.91 | transcript=PVW1_020013600_t1 | gene=PVW1_020013600 | organism=Plasmodium_vivax_PvW1 | gene_product=LCCL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6T1] | transcript_product=LCCL domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6T1] | location=CAJZCX010000015:398759-402220(-) | protein_length=1085 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473824.1         -            862 1806at5820           -            857  8.3e-124  412.5  18.4   1   3     6e-86   1.2e-82  276.3   3.6    11   281    25   300    17   322 0.93 | transcript=PVW1_120070200_t1 | gene=PVW1_120070200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2737043-2739791(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473824.1         -            862 1806at5820           -            857  8.3e-124  412.5  18.4   2   3     2e-40   4.1e-37  125.7   6.7   279   612   326   686   315   705 0.82 | transcript=PVW1_120070200_t1 | gene=PVW1_120070200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2737043-2739791(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473824.1         -            862 1806at5820           -            857  8.3e-124  412.5  18.4   3   3   6.5e-07    0.0013   14.8   0.0   717   842   705   847   694   859 0.66 | transcript=PVW1_120070200_t1 | gene=PVW1_120070200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2737043-2739791(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476247.1         -           1306 1806at5820           -            857   4.2e-12   42.9   7.6   1   4    0.0083        17    1.2   0.1   611   674   284   347   257   410 0.76 | transcript=PVW1_130048200_t1 | gene=PVW1_130048200 | organism=Plasmodium_vivax_PvW1 | gene_product=LCCL domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ69] | transcript_product=LCCL domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ69] | location=CAJZCX010000006:1915560-1919480(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476247.1         -           1306 1806at5820           -            857   4.2e-12   42.9   7.6   2   4   6.2e-08   0.00013   18.2   0.1   649   697   727   783   681   805 0.63 | transcript=PVW1_130048200_t1 | gene=PVW1_130048200 | organism=Plasmodium_vivax_PvW1 | gene_product=LCCL domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ69] | transcript_product=LCCL domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ69] | location=CAJZCX010000006:1915560-1919480(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476247.1         -           1306 1806at5820           -            857   4.2e-12   42.9   7.6   3   4   1.1e-05     0.023   10.7   0.1   652   674  1127  1150  1113  1156 0.83 | transcript=PVW1_130048200_t1 | gene=PVW1_130048200 | organism=Plasmodium_vivax_PvW1 | gene_product=LCCL domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ69] | transcript_product=LCCL domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ69] | location=CAJZCX010000006:1915560-1919480(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476247.1         -           1306 1806at5820           -            857   4.2e-12   42.9   7.6   4   4   1.2e-06    0.0023   14.0   0.0   651   699  1239  1294  1228  1306 0.71 | transcript=PVW1_130048200_t1 | gene=PVW1_130048200 | organism=Plasmodium_vivax_PvW1 | gene_product=LCCL domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ69] | transcript_product=LCCL domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ69] | location=CAJZCX010000006:1915560-1919480(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
