#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475512.1         -            381 15223at5820          -             76  1.4e-112  366.7  10.6   1   5   2.6e-24   3.1e-21   73.9   0.1     1    76     1    76     1    76 1.00 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 15223at5820          -             76  1.4e-112  366.7  10.6   2   5   2.1e-24   2.5e-21   74.2   0.1     1    76    77   152    77   152 1.00 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 15223at5820          -             76  1.4e-112  366.7  10.6   3   5   2.1e-24   2.5e-21   74.2   0.1     1    76   153   228   153   228 1.00 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 15223at5820          -             76  1.4e-112  366.7  10.6   4   5   2.1e-24   2.5e-21   74.2   0.1     1    76   229   304   229   304 1.00 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475512.1         -            381 15223at5820          -             76  1.4e-112  366.7  10.6   5   5   2.1e-24   2.5e-21   74.2   0.1     1    76   305   380   305   380 1.00 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471944.1         -             76 15223at5820          -             76     3e-56  186.1   0.7   1   1   2.7e-59   3.3e-56  186.0   0.7     1    76     1    76     1    76 1.00 | transcript=PVW1_140020200_t1 | gene=PVW1_140020200 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ8] | transcript_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ8] | location=CAJZCX010000003:677202-677719(-) | protein_length=76 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477532.1         -            128 15223at5820          -             76   2.4e-22   77.5   0.1   1   1   2.5e-25   3.1e-22   77.2   0.1     1    76     1    76     1    76 0.99 | transcript=PVW1_110011500_t1 | gene=PVW1_110011500 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HER1] | transcript_product=Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HER1] | location=CAJZCX010000008:274447-275253(+) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480588.1         -           1432 15223at5820          -             76   1.8e-06   26.6   0.2   1   1   3.6e-09   4.3e-06   25.4   0.2    14    72    20    78     7    81 0.84 | transcript=PVW1_070027000_t1 | gene=PVW1_070027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:977801-983216(+) | protein_length=1432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476692.1         -            394 15223at5820          -             76   1.7e-05   23.5   0.0   1   1   2.4e-08   2.9e-05   22.8   0.0     5    70     7    72     1    75 0.93 | transcript=PVW1_090018700_t1 | gene=PVW1_090018700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:663896-665602(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15223at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15223at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15223at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:24 2026
# [ok]
