#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480324.1         -           5873 27at5820             -           4874         0 10225.7 465.1   1   8   2.6e-74   2.6e-71  237.9  14.0     6   162    13   175     1   181 0.92 | transcript=PVW1_070010200_t1 | gene=PVW1_070010200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:298420-316041(-) | protein_length=5873 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480324.1         -           5873 27at5820             -           4874         0 10225.7 465.1   2   8  2.2e-123  2.3e-120  400.8  28.0   152   353   226   427   223   436 0.97 | transcript=PVW1_070010200_t1 | gene=PVW1_070010200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:298420-316041(-) | protein_length=5873 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480324.1         -           5873 27at5820             -           4874         0 10225.7 465.1   3   8  7.9e-143    8e-140  465.4  35.2   348   599   575   826   560   852 0.94 | transcript=PVW1_070010200_t1 | gene=PVW1_070010200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:298420-316041(-) | protein_length=5873 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480324.1         -           5873 27at5820             -           4874         0 10225.7 465.1   4   8  1.2e-227  1.2e-224  747.0  50.5   591  1049   880  1484   878  1488 0.96 | transcript=PVW1_070010200_t1 | gene=PVW1_070010200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:298420-316041(-) | protein_length=5873 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480324.1         -           5873 27at5820             -           4874         0 10225.7 465.1   5   8         0         0 3212.7 114.2  1040  2497  1558  3101  1549  3110 0.98 | transcript=PVW1_070010200_t1 | gene=PVW1_070010200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:298420-316041(-) | protein_length=5873 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480324.1         -           5873 27at5820             -           4874         0 10225.7 465.1   6   8   7.8e-24   7.9e-21   70.4   0.3  2482  2553  3222  3302  3220  3306 0.91 | transcript=PVW1_070010200_t1 | gene=PVW1_070010200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:298420-316041(-) | protein_length=5873 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480324.1         -           5873 27at5820             -           4874         0 10225.7 465.1   7   8  1.2e-255  1.2e-252  839.9  19.6  2548  2928  3330  3711  3324  3717 0.98 | transcript=PVW1_070010200_t1 | gene=PVW1_070010200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:298420-316041(-) | protein_length=5873 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480324.1         -           5873 27at5820             -           4874         0 10225.7 465.1   8   8         0         0 4286.9 149.5  2924  4874  3793  5873  3775  5873 0.97 | transcript=PVW1_070010200_t1 | gene=PVW1_070010200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:298420-316041(-) | protein_length=5873 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481429.1         -           5241 27at5820             -           4874         0 1132.8 304.4   1  12         6   6.1e+03  -40.9  50.7   596  1074    44   515    36   551 0.52 | transcript=PVW1_060014700_t1 | gene=PVW1_060014700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:430150-445875(-) | protein_length=5241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481429.1         -           5241 27at5820             -           4874         0 1132.8 304.4   2  12         6   6.1e+03  -16.0  20.1  1112  1275   678   830   642  1089 0.61 | transcript=PVW1_060014700_t1 | gene=PVW1_060014700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:430150-445875(-) | protein_length=5241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481429.1         -           5241 27at5820             -           4874         0 1132.8 304.4   3  12   1.4e-31   1.5e-28   96.0  39.3  1252  1719  1350  1832  1305  1837 0.80 | transcript=PVW1_060014700_t1 | gene=PVW1_060014700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:430150-445875(-) | protein_length=5241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
