#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473678.1         -           1071 1552at5820           -            902         0 1845.4  35.8   1   3  4.9e-303  4.2e-300  996.3  10.8     1   451    31   490    31   496 0.99 | transcript=PVW1_120059700_t1 | gene=PVW1_120059700 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | location=CAJZCX010000004:2320675-2323890(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473678.1         -           1071 1552at5820           -            902         0 1845.4  35.8   2   3  8.2e-166  7.1e-163  542.3   0.8   440   705   508   796   505   801 0.94 | transcript=PVW1_120059700_t1 | gene=PVW1_120059700 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | location=CAJZCX010000004:2320675-2323890(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473678.1         -           1071 1552at5820           -            902         0 1845.4  35.8   3   3   4.8e-98   4.1e-95  318.0   9.4   701   902   839  1071   833  1071 0.93 | transcript=PVW1_120059700_t1 | gene=PVW1_120059700 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | location=CAJZCX010000004:2320675-2323890(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473376.1         -           1206 1552at5820           -            902   1.4e-35  121.0  23.2   1   2   7.5e-12   6.5e-09   32.8   1.8    16   203    76   268    66   277 0.83 | transcript=PVW1_120036200_t1 | gene=PVW1_120036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1330279-1333899(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473376.1         -           1206 1552at5820           -            902   1.4e-35  121.0  23.2   2   2   1.8e-28   1.6e-25   87.8  14.0   250   736   397   906   391   914 0.73 | transcript=PVW1_120036200_t1 | gene=PVW1_120036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1330279-1333899(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479242.1         -           1298 1552at5820           -            902   8.7e-20   68.8   0.3   1   4   5.7e-18     5e-15   53.0   0.0    30   200   258   423   228   430 0.85 | transcript=PVW1_080034600_t1 | gene=PVW1_080034600 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | location=CAJZCX010000009:1310257-1314292(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479242.1         -           1298 1552at5820           -            902   8.7e-20   68.8   0.3   2   4      0.28   2.4e+02   -2.2   0.0   397   436   700   739   661   740 0.78 | transcript=PVW1_080034600_t1 | gene=PVW1_080034600 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | location=CAJZCX010000009:1310257-1314292(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479242.1         -           1298 1552at5820           -            902   8.7e-20   68.8   0.3   3   4   1.8e-05     0.015   11.7   0.0   464   524   813   877   799   881 0.75 | transcript=PVW1_080034600_t1 | gene=PVW1_080034600 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | location=CAJZCX010000009:1310257-1314292(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479242.1         -           1298 1552at5820           -            902   8.7e-20   68.8   0.3   4   4      0.21   1.8e+02   -1.8   0.0   530   553   920   943   917   957 0.86 | transcript=PVW1_080034600_t1 | gene=PVW1_080034600 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | location=CAJZCX010000009:1310257-1314292(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 1552at5820           -            902   2.2e-14   50.9  18.0   1   6   7.9e-07   0.00068   16.2   1.6    31   101   213   284   186   289 0.78 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 1552at5820           -            902   2.2e-14   50.9  18.0   2   6      0.42   3.7e+02   -2.8   0.1   141   192   396   447   363   453 0.77 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
