#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473120.1         -            209 12072at5820          -            169  3.5e-105  347.6   3.7   1   1  8.4e-108  4.2e-105  347.3   3.7     1   169    11   183    11   183 0.97 | transcript=PVW1_120017000_t1 | gene=PVW1_120017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:565209-566229(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 12072at5820          -            169   2.7e-28   97.4   1.0   1   4   4.8e-14   2.4e-11   42.2   0.1    35   104    47   119    10   173 0.81 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 12072at5820          -            169   2.7e-28   97.4   1.0   2   4      0.93   4.7e+02   -1.0   0.1    41    83   159   198   125   265 0.64 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 12072at5820          -            169   2.7e-28   97.4   1.0   3   4      0.49   2.5e+02   -0.1   0.0    61   119   268   327   251   346 0.77 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 12072at5820          -            169   2.7e-28   97.4   1.0   4   4   9.6e-17   4.9e-14   51.0   0.0    38   122   374   461   365   470 0.86 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477069.1         -            424 12072at5820          -            169   2.4e-22   78.0   9.4   1   3   6.1e-09   3.1e-06   25.6   1.2    38   126    51   139    38   155 0.74 | transcript=PVW1_090039400_t1 | gene=PVW1_090039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | location=CAJZCX010000007:1494636-1495910(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477069.1         -            424 12072at5820          -            169   2.4e-22   78.0   9.4   2   3   5.9e-18     3e-15   54.9   0.5    14   126   166   281   162   300 0.83 | transcript=PVW1_090039400_t1 | gene=PVW1_090039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | location=CAJZCX010000007:1494636-1495910(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477069.1         -            424 12072at5820          -            169   2.4e-22   78.0   9.4   3   3      0.18        93    1.2   0.0    88   121   357   391   311   411 0.81 | transcript=PVW1_090039400_t1 | gene=PVW1_090039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | location=CAJZCX010000007:1494636-1495910(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473553.1         -            543 12072at5820          -            169   5.3e-12   44.4   5.6   1   2   2.9e-08   1.5e-05   23.4   0.9    21   107    32   119     8   170 0.77 | transcript=PVW1_120048900_t1 | gene=PVW1_120048900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | location=CAJZCX010000004:1833960-1836136(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473553.1         -            543 12072at5820          -            169   5.3e-12   44.4   5.6   2   2   4.6e-08   2.3e-05   22.7   0.3    35   120   420   515   411   540 0.72 | transcript=PVW1_120048900_t1 | gene=PVW1_120048900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | location=CAJZCX010000004:1833960-1836136(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 12072at5820          -            169   5.4e-10   37.8   4.7   1   1   2.9e-12   1.5e-09   36.4   4.6    10   125   179   290   172   344 0.91 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
