#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477473.1         -            619 3836at5820           -            588         0 1318.1  16.7   1   1         0         0 1317.8  16.7     1   588     1   612     1   612 0.98 | transcript=PVW1_110009200_t1 | gene=PVW1_110009200 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter E family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZG1] | transcript_product=ABC transporter E family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZG1] | location=CAJZCX010000008:187064-189052(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476854.1         -            792 3836at5820           -            588   1.3e-11   42.1  11.6   1   3     0.012       8.2    3.1   0.1   115   133   210   228   189   241 0.84 | transcript=PVW1_090026900_t1 | gene=PVW1_090026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | transcript_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | location=CAJZCX010000007:973560-975938(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476854.1         -            792 3836at5820           -            588   1.3e-11   42.1  11.6   2   3   7.3e-06    0.0049   13.8   0.2   452   529   358   431   343   447 0.70 | transcript=PVW1_090026900_t1 | gene=PVW1_090026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | transcript_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | location=CAJZCX010000007:973560-975938(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476854.1         -            792 3836at5820           -            588   1.3e-11   42.1  11.6   3   3     2e-10   1.4e-07   28.8   3.4   373   527   606   762   590   771 0.65 | transcript=PVW1_090026900_t1 | gene=PVW1_090026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | transcript_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | location=CAJZCX010000007:973560-975938(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 3836at5820           -            588   6.5e-10   36.5  11.6   1   5      0.38   2.6e+02   -1.8   1.4    64   141   200   278   194   292 0.75 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 3836at5820           -            588   6.5e-10   36.5  11.6   2   5     0.023        15    2.3   0.0   366   396   408   438   327   463 0.77 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 3836at5820           -            588   6.5e-10   36.5  11.6   3   5   9.7e-08   6.6e-05   20.0   0.2   454   524   576   646   559   663 0.68 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 3836at5820           -            588   6.5e-10   36.5  11.6   4   5       0.6     4e+02   -2.4   0.0   372   391  1195  1214  1184  1239 0.76 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 3836at5820           -            588   6.5e-10   36.5  11.6   5   5   2.7e-07   0.00018   18.5   0.0   457   533  1356  1431  1344  1446 0.92 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475653.1         -            257 3836at5820           -            588   8.8e-08   29.5   1.4   1   1   2.2e-10   1.5e-07   28.7   1.4   348   529    12   202     6   229 0.69 | transcript=PVW1_130022400_t1 | gene=PVW1_130022400 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT3] | transcript_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT3] | location=CAJZCX010000006:792641-794276(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479078.1         -           2602 3836at5820           -            588   9.3e-07   26.1  11.9   1   3   5.9e-07    0.0004   17.4   0.0   368   397   833   862   811   869 0.85 | transcript=PVW1_080025900_t1 | gene=PVW1_080025900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:949656-958012(-) | protein_length=2602 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
