#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474805.1         -            329 9479at5820           -            296    4e-158  523.9  18.2   1   1  1.1e-160  5.7e-158  523.4  18.2     1   296    12   329    12   329 0.95 | transcript=PVW1_100031600_t1 | gene=PVW1_100031600 | organism=Plasmodium_vivax_PvW1 | gene_product=ANAPC4_WD40 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDW4] | transcript_product=ANAPC4_WD40 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDW4] | location=CAJZCX010000005:1251258-1252247(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 9479at5820           -            296   9.6e-09   33.5   8.6   1   4    0.0044       2.2    6.1   0.1    42    80    28    66    21    72 0.85 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 9479at5820           -            296   9.6e-09   33.5   8.6   2   4   5.3e-05     0.027   12.4   6.3     8   153    39   181    32   184 0.85 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 9479at5820           -            296   9.6e-09   33.5   8.6   3   4   4.8e-06    0.0024   15.8   0.0   229   286   178   234   168   244 0.87 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 9479at5820           -            296   9.6e-09   33.5   8.6   4   4     0.094        47    1.7   0.0     6    32   295   321   289   324 0.85 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477549.1         -            382 9479at5820           -            296     8e-08   30.5   1.6   1   2   1.3e-09   6.7e-07   27.5   0.1    82   201    14   134     6   146 0.80 | transcript=PVW1_110012700_t1 | gene=PVW1_110012700 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZH6] | transcript_product=WD repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZH6] | location=CAJZCX010000008:306538-307686(-) | protein_length=382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477549.1         -            382 9479at5820           -            296     8e-08   30.5   1.6   2   2     0.077        39    2.0   0.1   230   287   262   321   233   325 0.67 | transcript=PVW1_110012700_t1 | gene=PVW1_110012700 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZH6] | transcript_product=WD repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZH6] | location=CAJZCX010000008:306538-307686(-) | protein_length=382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 9479at5820           -            296   2.4e-07   28.9   6.1   1   3   9.3e-09   4.7e-06   24.7   1.7    16   164    32   186    26   193 0.81 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 9479at5820           -            296   2.4e-07   28.9   6.1   2   3    0.0085       4.3    5.1   0.2    45   121   194   271   181   285 0.88 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 9479at5820           -            296   2.4e-07   28.9   6.1   3   3      0.51   2.6e+02   -0.7   0.0    20    37   302   319   292   321 0.73 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 9479at5820           -            296   2.4e-06   25.7   4.5   1   3   3.2e-05     0.016   13.1   0.2    49   108   120   181   105   209 0.86 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
