#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481715.1         -            369 6781at5820           -            324  8.1e-193  638.3  63.2   1   1    2e-195  9.9e-193  638.0  63.2     1   316    11   338    11   353 0.97 | transcript=PVW1_060022800_t1 | gene=PVW1_060022800 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | transcript_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | location=CAJZCX010000012:738499-739608(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473683.1         -            326 6781at5820           -            324   1.1e-29  102.2  29.7   1   2   3.3e-25   1.7e-22   78.6  12.2     2   123    48   169    47   170 0.97 | transcript=PVW1_120060200_t1 | gene=PVW1_120060200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | location=CAJZCX010000004:2340636-2342146(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473683.1         -            326 6781at5820           -            324   1.1e-29  102.2  29.7   2   2   2.5e-11   1.3e-08   33.0  12.4    88   187   157   258   144   294 0.84 | transcript=PVW1_120060200_t1 | gene=PVW1_120060200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | location=CAJZCX010000004:2340636-2342146(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 6781at5820           -            324   2.6e-20   71.4  27.8   1   4       1.1   5.6e+02   -1.9   0.2    94   121   208   235   186   264 0.54 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 6781at5820           -            324   2.6e-20   71.4  27.8   2   4   5.5e-07   0.00028   18.8   1.4   228   279   829   884   813   886 0.66 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 6781at5820           -            324   2.6e-20   71.4  27.8   3   4   1.8e-17   8.9e-15   53.2   8.4     3   125   881  1008   879  1031 0.90 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 6781at5820           -            324   2.6e-20   71.4  27.8   4   4   6.2e-06    0.0031   15.3   0.8    72   125  1268  1320  1255  1342 0.53 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476993.1         -           1017 6781at5820           -            324   4.6e-18   64.0  23.4   1   1   1.8e-12   9.1e-10   36.8   4.8    46   133   156   244   145   251 0.88 | transcript=PVW1_090035100_t1 | gene=PVW1_090035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1325338-1328391(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482742.1         -            191 6781at5820           -            324   3.4e-16   57.9   9.4   1   1   9.1e-19   4.6e-16   57.5   9.4    14   125    36   147    24   176 0.67 | transcript=PVW1_040026400_t1 | gene=PVW1_040026400 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8B9] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8B9] | location=CAJZCX010000013:907678-908855(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 6781at5820           -            324   2.1e-14   52.0  28.9   1   2   5.6e-07   0.00028   18.7   8.0    69   113    44    88    17   104 0.74 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 6781at5820           -            324   2.1e-14   52.0  28.9   2   2   3.3e-13   1.7e-10   39.2  13.0    74   184   229   339   175   354 0.85 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
