#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478052.1         -           1589 2625at5820           -           1265         0 1638.6  22.5   1   1         0         0 1638.3  22.5     1  1265     1  1589     1  1589 0.74 | transcript=PVW1_110042700_t1 | gene=PVW1_110042700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1592777-1598574(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476556.1         -            630 2625at5820           -           1265   5.2e-05   19.8  17.8   1   1   3.5e-07   7.2e-05   19.3  17.8   371   543   207   490    80   565 0.54 | transcript=PVW1_090010500_t1 | gene=PVW1_090010500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:327394-329286(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475698.1         -           1682 2625at5820           -           1265   6.7e-05   19.4  54.9   1   2       1.7   3.4e+02   -2.8   0.5   691   760    67   110     6   145 0.33 | transcript=PVW1_130024400_t1 | gene=PVW1_130024400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:894952-900195(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475698.1         -           1682 2625at5820           -           1265   6.7e-05   19.4  54.9   2   2   3.3e-07   6.7e-05   19.4  54.9   362   605   520   799   449   890 0.42 | transcript=PVW1_130024400_t1 | gene=PVW1_130024400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:894952-900195(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 2625at5820           -           1265   0.00011   18.7   7.2   1   3     0.017       3.4    3.8   0.4   232   261    39    68    35    74 0.68 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 2625at5820           -           1265   0.00011   18.7   7.2   2   3     0.037       7.4    2.7   0.5    37    69    62    94    49    95 0.72 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 2625at5820           -           1265   0.00011   18.7   7.2   3   3   8.3e-07   0.00017   18.1   0.8    27    70    95   138    90   139 0.94 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484653.1         -           3825 2625at5820           -           1265   0.00019   17.9  10.1   1   2     0.092        19    1.4  25.3   324   631   459   876   453   935 0.29 | transcript=PVW1_010008900_t1 | gene=PVW1_010008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:221406-234385(-) | protein_length=3825 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484653.1         -           3825 2625at5820           -           1265   0.00019   17.9  10.1   2   2   9.4e-07   0.00019   17.9  10.1   353   726  1605  2137  1556  2230 0.36 | transcript=PVW1_010008900_t1 | gene=PVW1_010008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:221406-234385(-) | protein_length=3825 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475863.1         -           1479 2625at5820           -           1265    0.0002   17.8  12.4   1   2   9.9e-07    0.0002   17.8  12.4   361   459   406   511   338   826 0.56 | transcript=PVW1_130031800_t1 | gene=PVW1_130031800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1179671-1184110(+) | protein_length=1479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475863.1         -           1479 2625at5820           -           1265    0.0002   17.8  12.4   2   2     0.026       5.2    3.2  39.7   363   619   932  1298   906  1354 0.31 | transcript=PVW1_130031800_t1 | gene=PVW1_130031800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1179671-1184110(+) | protein_length=1479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
