#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481813.1         -            441 4771at5820           -            726   6.5e-06   23.1  13.3   1   1   4.3e-08   8.6e-06   22.7  13.3   421   536   245   354   119   363 0.52 | transcript=PVW1_060027000_t1 | gene=PVW1_060027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:895199-896524(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475452.1         -            347 4771at5820           -            726     0.034   10.8  21.5   1   1   0.00023     0.047   10.4  21.5   391   515    69   184    41   226 0.33 | transcript=PVW1_130013300_t1 | gene=PVW1_130013300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:382295-383488(+) | protein_length=347 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473345.1         -            420 4771at5820           -            726     0.034   10.8  10.7   1   1   0.00024     0.049   10.3  10.7   364   522    12   170    10   191 0.40 | transcript=PVW1_120033800_t1 | gene=PVW1_120033800 | organism=Plasmodium_vivax_PvW1 | gene_product=MSP7_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGR1] | transcript_product=MSP7_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGR1] | location=CAJZCX010000004:1260917-1262179(+) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484756.1         -            325 4771at5820           -            726      0.04   10.6  12.1   1   1   0.00025     0.052   10.2  12.1   373   542    16   197     8   237 0.40 | transcript=PVW1_010011900_t1 | gene=PVW1_010011900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:362668-363645(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472128.1         -            436 4771at5820           -            726      0.06   10.0  13.2   1   1   0.00041     0.083    9.5  13.2   418   547    80   211    72   215 0.55 | transcript=PVW1_140031200_t1 | gene=PVW1_140031200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1132369-1133679(-) | protein_length=436 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471921.1         -            158 4771at5820           -            726     0.071    9.8  12.8   1   1   0.00031     0.063    9.9  12.8   452   521    87   155    13   158 0.61 | transcript=PVW1_140017900_t1 | gene=PVW1_140017900 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ0] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ0] | location=CAJZCX010000003:590167-590643(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472151.1         -            316 4771at5820           -            726     0.092    9.4  39.4   1   1   0.00061      0.12    9.0  39.4   413   531   108   237    68   254 0.31 | transcript=PVW1_140033300_t1 | gene=PVW1_140033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1213167-1214612(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472403.1         -            133 4771at5820           -            726      0.15    8.7   7.7   1   1   0.00077      0.16    8.6   7.7   386   440    66   120    22   132 0.40 | transcript=PVW1_140057800_t1 | gene=PVW1_140057800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2299791-2300192(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483218.1         -            844 4771at5820           -            726      0.16    8.6  18.0   1   1    0.0014      0.28    7.8  18.0   411   500   318   407   297   423 0.29 | transcript=PVW1_030012900_t1 | gene=PVW1_030012900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:408354-411065(-) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478288.1         -            332 4771at5820           -            726      0.16    8.6  14.7   1   1   0.00093      0.19    8.4  14.7   400   517    80   194    34   242 0.50 | transcript=PVW1_110053700_t1 | gene=PVW1_110053700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2080281-2081492(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478753.1         -            529 4771at5820           -            726      0.19    8.3  27.0   1   1    0.0013      0.27    7.9  27.0   377   495   392   510   365   528 0.31 | transcript=PVW1_080012200_t1 | gene=PVW1_080012200 | organism=Plasmodium_vivax_PvW1 | gene_product=Rho-GAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBE6] | transcript_product=Rho-GAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBE6] | location=CAJZCX010000009:348873-351173(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479800.1         -            519 4771at5820           -            726      0.37    7.4  13.8   1   1    0.0031      0.63    6.6  13.8   423   536   313   427   286   439 0.54 | transcript=PVW1_050020900_t1 | gene=PVW1_050020900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:698526-700896(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476958.1         -            310 4771at5820           -            726      0.49    7.0  29.3   1   1     0.004      0.81    6.3  29.3   371   526    57   210    52   224 0.50 | transcript=PVW1_090031800_t1 | gene=PVW1_090031800 | organism=Plasmodium_vivax_PvW1 | gene_product=Large ribosomal subunit processing factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ1] | transcript_product=Large ribosomal subunit processing factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ1] | location=CAJZCX010000007:1198889-1200227(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476556.1         -            630 4771at5820           -            726      0.59    6.7  29.9   1   2    0.0032      0.66    6.6  12.1   445   517   214   287   179   312 0.48 | transcript=PVW1_090010500_t1 | gene=PVW1_090010500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:327394-329286(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476556.1         -            630 4771at5820           -            726      0.59    6.7  29.9   2   2    0.0047      0.96    6.0   9.8   434   524   402   458   342   492 0.42 | transcript=PVW1_090010500_t1 | gene=PVW1_090010500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:327394-329286(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484047.1         -            292 4771at5820           -            726      0.73    6.4  14.2   1   1    0.0046      0.93    6.1  14.2   388   468    66   137    42   183 0.36 | transcript=PVW1_020015900_t1 | gene=PVW1_020015900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:491857-492735(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479929.1         -            218 4771at5820           -            726       1.5    5.3  18.0   1   1    0.0088       1.8    5.1  18.0   379   508    63   192    26   204 0.57 | transcript=PVW1_050030800_t1 | gene=PVW1_050030800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1067531-1068187(-) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480655.1         -             99 4771at5820           -            726         2    5.0  19.1   1   1    0.0095       1.9    5.0  19.1   387   440     8    57     1    86 0.34 | transcript=PVW1_070032900_t1 | gene=PVW1_070032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1214216-1214722(+) | protein_length=99 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
