#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473830.1         -            832 2097at5820           -            830         0 2007.8   4.5   1   1         0         0 2007.6   4.5     1   830     1   832     1   832 1.00 | transcript=PVW1_120070700_t1 | gene=PVW1_120070700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | location=CAJZCX010000004:2761777-2764275(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 2097at5820           -            830  1.3e-140  468.0   7.6   1   4    0.0032       1.5    4.7   0.0     4    40   168   204   166   212 0.88 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 2097at5820           -            830  1.3e-140  468.0   7.6   2   4   1.3e-62   5.9e-60  201.2   3.6    54   464   273   710   259   739 0.89 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 2097at5820           -            830  1.3e-140  468.0   7.6   3   4   5.7e-30   2.7e-27   93.2   0.1   475   596   808   929   797   946 0.93 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 2097at5820           -            830  1.3e-140  468.0   7.6   4   4   2.6e-52   1.2e-49  167.1   0.0   609   799  1002  1196   980  1201 0.93 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2097at5820           -            830   4.4e-78  261.2  15.7   1   4   1.6e-18   7.5e-16   55.3   0.2    12    77     6    71     1    81 0.91 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2097at5820           -            830   4.4e-78  261.2  15.7   2   4   6.4e-37     3e-34  116.2   3.7    88   378   171   496   157   535 0.77 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2097at5820           -            830   4.4e-78  261.2  15.7   3   4   4.8e-13   2.2e-10   37.2   0.3   454   573   704   824   690   838 0.85 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2097at5820           -            830   4.4e-78  261.2  15.7   4   4   1.9e-19   9.1e-17   58.4   0.0   661   804  1205  1348  1196  1362 0.94 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478250.1         -            917 2097at5820           -            830   1.6e-35  120.4   3.6   1   3   6.1e-26   2.9e-23   79.9   0.6    18   181    98   261    88   288 0.84 | transcript=PVW1_110052400_t1 | gene=PVW1_110052400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2007264-2010508(+) | protein_length=917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478250.1         -            917 2097at5820           -            830   1.6e-35  120.4   3.6   2   3       1.3   6.1e+02   -3.9   0.0   322   346   363   388   358   393 0.78 | transcript=PVW1_110052400_t1 | gene=PVW1_110052400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2007264-2010508(+) | protein_length=917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
