#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477728.1         -            820 3374at5820           -            638         0 1084.9  62.3   1   4   1.1e-45   2.2e-42  144.0   5.0     1   114     7   147     7   167 0.82 | transcript=PVW1_110023100_t1 | gene=PVW1_110023100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZYX4] | transcript_product=SAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZYX4] | location=CAJZCX010000008:776213-778675(+) | protein_length=820 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477728.1         -            820 3374at5820           -            638         0 1084.9  62.3   2   4   5.8e-28   1.2e-24   85.4   4.0   124   180   191   247   155   252 0.86 | transcript=PVW1_110023100_t1 | gene=PVW1_110023100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZYX4] | transcript_product=SAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZYX4] | location=CAJZCX010000008:776213-778675(+) | protein_length=820 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477728.1         -            820 3374at5820           -            638         0 1084.9  62.3   3   4  7.1e-132  1.4e-128  428.7   7.9   178   400   280   509   266   515 0.95 | transcript=PVW1_110023100_t1 | gene=PVW1_110023100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZYX4] | transcript_product=SAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZYX4] | location=CAJZCX010000008:776213-778675(+) | protein_length=820 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477728.1         -            820 3374at5820           -            638         0 1084.9  62.3   4   4  7.5e-136  1.5e-132  441.8  22.9   393   638   555   819   551   819 0.93 | transcript=PVW1_110023100_t1 | gene=PVW1_110023100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZYX4] | transcript_product=SAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZYX4] | location=CAJZCX010000008:776213-778675(+) | protein_length=820 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485105.1         -           1296 3374at5820           -            638   1.4e-37  128.2  18.5   1   2     0.037        75    0.2   0.2    50    95    73   119    35   125 0.78 | transcript=PVW1_010022100_t1 | gene=PVW1_010022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:769201-773091(+) | protein_length=1296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485105.1         -           1296 3374at5820           -            638   1.4e-37  128.2  18.5   2   2   6.7e-41   1.4e-37  128.2  18.5   144   522   130   518   117   530 0.77 | transcript=PVW1_010022100_t1 | gene=PVW1_010022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:769201-773091(+) | protein_length=1296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484688.1         -           2845 3374at5820           -            638   2.2e-30  104.4  55.6   1   4     0.028        57    0.6   5.3    53   132    78   159    50   170 0.78 | transcript=PVW1_010009800_t1 | gene=PVW1_010009800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:274471-283234(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484688.1         -           2845 3374at5820           -            638   2.2e-30  104.4  55.6   2   4   6.1e-16   1.2e-12   45.7   7.1   121   268   680   850   658   857 0.76 | transcript=PVW1_010009800_t1 | gene=PVW1_010009800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:274471-283234(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484688.1         -           2845 3374at5820           -            638   2.2e-30  104.4  55.6   3   4   6.2e-16   1.3e-12   45.7  21.5   268   448   980  1193   967  1206 0.66 | transcript=PVW1_010009800_t1 | gene=PVW1_010009800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:274471-283234(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484688.1         -           2845 3374at5820           -            638   2.2e-30  104.4  55.6   4   4   3.3e-10   6.8e-07   26.7   0.3   458   525  1410  1477  1401  1486 0.93 | transcript=PVW1_010009800_t1 | gene=PVW1_010009800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:274471-283234(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3374at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3374at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3374at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:38 2026
# [ok]
