#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479065.1         -            535 5306at5820           -            502         0 1085.0  28.5   1   1         0         0 1078.8  28.5     1   502     1   535     1   535 0.97 | transcript=PVW1_080025300_t1 | gene=PVW1_080025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:932526-934133(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477689.1         -            529 5306at5820           -            502   2.4e-77  259.0  24.0   1   1     6e-80     4e-77  258.3  24.0    24   496    18   526     9   529 0.85 | transcript=PVW1_110019600_t1 | gene=PVW1_110019600 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | transcript_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | location=CAJZCX010000008:634348-636643(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479293.1         -            532 5306at5820           -            502   3.3e-73  245.4  14.4   1   1   4.2e-75   2.8e-72  242.3  14.4    27   497    20   523     8   527 0.87 | transcript=PVW1_080039000_t1 | gene=PVW1_080039000 | organism=Plasmodium_vivax_PvW1 | gene_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | transcript_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | location=CAJZCX010000009:1478527-1480125(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479276.1         -            540 5306at5820           -            502   1.5e-71  239.9  19.3   1   1   2.7e-72   1.8e-69  233.0  19.3    11   497     8   525     4   530 0.86 | transcript=PVW1_080037700_t1 | gene=PVW1_080037700 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | transcript_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | location=CAJZCX010000009:1424361-1426140(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477028.1         -            543 5306at5820           -            502   5.4e-70  234.8  11.4   1   1   1.3e-71     9e-69  230.8  11.4    24   497    11   532     6   537 0.82 | transcript=PVW1_090037500_t1 | gene=PVW1_090037500 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | transcript_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | location=CAJZCX010000007:1420990-1422882(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472365.1         -            544 5306at5820           -            502   2.1e-67  226.2  19.5   1   1   6.4e-70   4.3e-67  225.2  19.5    17   497    12   527     4   530 0.88 | transcript=PVW1_140053900_t1 | gene=PVW1_140053900 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | transcript_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | location=CAJZCX010000003:2133513-2135359(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478107.1         -            543 5306at5820           -            502   7.8e-42  141.9  20.4   1   1   1.8e-43   1.2e-40  137.9  20.4    26   497    16   534     3   538 0.78 | transcript=PVW1_110046000_t1 | gene=PVW1_110046000 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | transcript_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | location=CAJZCX010000008:1745432-1747242(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482486.1         -            544 5306at5820           -            502   3.4e-39  133.2  30.3   1   1     9e-42   6.1e-39  132.3  30.3    27   497    24   524     8   528 0.79 | transcript=PVW1_040017100_t1 | gene=PVW1_040017100 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | transcript_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | location=CAJZCX010000013:539335-541219(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478967.1         -            580 5306at5820           -            502     6e-11   40.0  10.2   1   2   1.4e-10   9.5e-08   29.4   2.2    25   206    38   222    21   268 0.73 | transcript=PVW1_080021000_t1 | gene=PVW1_080021000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | transcript_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | location=CAJZCX010000009:744901-746910(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478967.1         -            580 5306at5820           -            502     6e-11   40.0  10.2   2   2   3.3e-06    0.0022   15.0   1.2   358   486   411   542   399   556 0.68 | transcript=PVW1_080021000_t1 | gene=PVW1_080021000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | transcript_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | location=CAJZCX010000009:744901-746910(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
