#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477670.1         -            367 7557at5820           -            335  6.3e-221  730.6   7.0   1   1  9.5e-224  7.2e-221  730.4   7.0     1   335     1   351     1   351 0.97 | transcript=PVW1_110018500_t1 | gene=PVW1_110018500 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | location=CAJZCX010000008:590712-593838(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474825.1         -            365 7557at5820           -            335    3e-121  402.9   2.0   1   1  4.7e-124  3.6e-121  402.7   2.0     1   333     1   348     1   350 0.94 | transcript=PVW1_100033600_t1 | gene=PVW1_100033600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | transcript_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | location=CAJZCX010000005:1333224-1334321(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479880.1         -            636 7557at5820           -            335   2.6e-08   31.7   0.5   1   2      0.21   1.6e+02   -0.5   0.2   226   268   399   440   394   454 0.72 | transcript=PVW1_050026400_t1 | gene=PVW1_050026400 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | location=CAJZCX010000010:896002-897912(+) | protein_length=636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479880.1         -            636 7557at5820           -            335   2.6e-08   31.7   0.5   2   2     2e-10   1.6e-07   29.1   0.0    63   162   454   563   440   567 0.73 | transcript=PVW1_050026400_t1 | gene=PVW1_050026400 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | location=CAJZCX010000010:896002-897912(+) | protein_length=636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476197.1         -            564 7557at5820           -            335   2.3e-06   25.3   2.4   1   2   2.7e-08   2.1e-05   22.2   0.0    65   101   226   262   191   275 0.85 | transcript=PVW1_130043700_t1 | gene=PVW1_130043700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1688099-1689793(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476197.1         -            564 7557at5820           -            335   2.3e-06   25.3   2.4   2   2      0.09        69    0.7   1.0   242   312   360   431   331   444 0.67 | transcript=PVW1_130043700_t1 | gene=PVW1_130043700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1688099-1689793(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478042.1         -            713 7557at5820           -            335   3.9e-06   24.5   0.3   1   2       1.6   1.2e+03   -3.4   0.0    10    30    21    41    16    52 0.76 | transcript=PVW1_110042000_t1 | gene=PVW1_110042000 | organism=Plasmodium_vivax_PvW1 | gene_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | transcript_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | location=CAJZCX010000008:1578912-1581053(-) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478042.1         -            713 7557at5820           -            335   3.9e-06   24.5   0.3   2   2   1.2e-08   8.9e-06   23.4   0.1    63   147   172   261   167   350 0.83 | transcript=PVW1_110042000_t1 | gene=PVW1_110042000 | organism=Plasmodium_vivax_PvW1 | gene_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | transcript_product=OBG-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFL2] | location=CAJZCX010000008:1578912-1581053(-) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475881.1         -            518 7557at5820           -            335   0.00082   16.9   0.5   1   2      0.53     4e+02   -1.8   0.0   163   163   251   251   216   287 0.54 | transcript=PVW1_130032500_t1 | gene=PVW1_130032500 | organism=Plasmodium_vivax_PvW1 | gene_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | transcript_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | location=CAJZCX010000006:1216905-1218461(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475881.1         -            518 7557at5820           -            335   0.00082   16.9   0.5   2   2   3.3e-06    0.0025   15.3   0.1    53   117   312   377   305   390 0.83 | transcript=PVW1_130032500_t1 | gene=PVW1_130032500 | organism=Plasmodium_vivax_PvW1 | gene_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | transcript_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | location=CAJZCX010000006:1216905-1218461(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479705.1         -            747 7557at5820           -            335    0.0058   14.1   0.0   1   1   1.5e-05     0.011   13.2   0.0    64   151   408   499   399   508 0.86 | transcript=PVW1_050014900_t1 | gene=PVW1_050014900 | organism=Plasmodium_vivax_PvW1 | gene_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | transcript_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | location=CAJZCX010000010:472501-474744(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
