#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476644.1         -            335 8091at5820           -            238  1.4e-169  560.0  12.3   1   1  1.7e-171  1.8e-169  559.6  12.3     1   238    96   333    96   333 1.00 | transcript=PVW1_090014300_t1 | gene=PVW1_090014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | location=CAJZCX010000007:499846-500853(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477698.1         -            288 8091at5820           -            238   1.9e-34  117.7   0.0   1   1   2.1e-36   2.3e-34  117.4   0.0     2   235    61   286    60   288 0.89 | transcript=PVW1_110020500_t1 | gene=PVW1_110020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | location=CAJZCX010000008:664005-665737(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479224.1         -            488 8091at5820           -            238   8.7e-32  109.0   0.1   1   1   3.7e-33   3.9e-31  106.8   0.1    42   238   217   404   186   404 0.89 | transcript=PVW1_080033400_t1 | gene=PVW1_080033400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | location=CAJZCX010000009:1260295-1262736(+) | protein_length=488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473309.1         -            305 8091at5820           -            238   2.3e-30  104.3   0.9   1   2   1.7e-22   1.8e-20   71.9   0.1    20   160    97   234    91   240 0.89 | transcript=PVW1_120032100_t1 | gene=PVW1_120032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | location=CAJZCX010000004:1203388-1205498(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473309.1         -            305 8091at5820           -            238   2.3e-30  104.3   0.9   2   2   5.8e-10   6.2e-08   30.9   0.1   188   236   247   296   237   298 0.84 | transcript=PVW1_120032100_t1 | gene=PVW1_120032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | location=CAJZCX010000004:1203388-1205498(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 8091at5820           -            238   9.1e-30  102.3   1.5   1   1   1.2e-31   1.3e-29  101.8   1.5     2   235    79   311    78   314 0.83 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 8091at5820           -            238   1.4e-29  101.7   3.6   1   1   1.9e-31     2e-29  101.2   3.6     3   235   328   571   326   574 0.80 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 8091at5820           -            238     7e-25   86.3   0.0   1   1   1.1e-26   1.1e-24   85.7   0.0    37   234   909  1113   903  1115 0.83 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479758.1         -            807 8091at5820           -            238   9.7e-25   85.9   6.3   1   2   1.4e-07   1.5e-05   23.1   0.4    37    75   232   270   216   276 0.85 | transcript=PVW1_050018200_t1 | gene=PVW1_050018200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | location=CAJZCX010000010:579160-581780(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479758.1         -            807 8091at5820           -            238   9.7e-25   85.9   6.3   2   2   3.7e-20   3.9e-18   64.3   0.3    76   237   576   728   559   729 0.84 | transcript=PVW1_050018200_t1 | gene=PVW1_050018200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | location=CAJZCX010000010:579160-581780(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473797.1         -            861 8091at5820           -            238   1.4e-20   72.2   0.8   1   2   1.4e-21   1.5e-19   68.9   0.7    16   148   552   685   539   702 0.85 | transcript=PVW1_120067500_t1 | gene=PVW1_120067500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | location=CAJZCX010000004:2619393-2621978(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473797.1         -            861 8091at5820           -            238   1.4e-20   72.2   0.8   2   2       0.9        96    0.8   0.0   208   235   709   736   702   739 0.90 | transcript=PVW1_120067500_t1 | gene=PVW1_120067500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | location=CAJZCX010000004:2619393-2621978(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 8091at5820           -            238   1.5e-20   72.2   5.3   1   2   2.2e-21   2.3e-19   68.3   4.0     1   156   176   331   176   339 0.84 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 8091at5820           -            238   1.5e-20   72.2   5.3   2   2      0.19        20    3.0   0.0   201   236   343   378   330   380 0.84 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 8091at5820           -            238   3.1e-20   71.1   8.9   1   2   2.5e-18   2.7e-16   58.2   5.0     1   156   128   283   128   293 0.85 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 8091at5820           -            238   3.1e-20   71.1   8.9   2   2   6.5e-05     0.007   14.3   0.1   202   232   296   326   285   332 0.85 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 8091at5820           -            238   5.1e-20   70.4   8.4   1   3       2.7   2.9e+02   -0.8   0.1    87   106    87   106    59   143 0.70 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 8091at5820           -            238   5.1e-20   70.4   8.4   2   3   4.5e-18   4.8e-16   57.4   3.7    35   166   164   295   129   303 0.86 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 8091at5820           -            238   5.1e-20   70.4   8.4   3   3   7.7e-05    0.0082   14.1   0.1   203   234   299   330   290   333 0.89 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478938.1         -            325 8091at5820           -            238   6.3e-20   70.1   7.7   1   2       4.4   4.7e+02   -1.5   0.2    46    73    40    67    23    92 0.49 | transcript=PVW1_080019800_t1 | gene=PVW1_080019800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW90] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW90] | location=CAJZCX010000009:688257-689234(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478938.1         -            325 8091at5820           -            238   6.3e-20   70.1   7.7   2   2   7.9e-22   8.4e-20   69.7   4.4    31   233   100   308    72   311 0.79 | transcript=PVW1_080019800_t1 | gene=PVW1_080019800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW90] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW90] | location=CAJZCX010000009:688257-689234(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477981.1         -            791 8091at5820           -            238   1.2e-18   65.9   0.1   1   2   4.1e-08   4.4e-06   24.8   0.0    22   113   163   266   147   271 0.76 | transcript=PVW1_110039400_t1 | gene=PVW1_110039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | location=CAJZCX010000008:1466531-1468906(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477981.1         -            791 8091at5820           -            238   1.2e-18   65.9   0.1   2   2   2.9e-12   3.1e-10   38.4   0.1   118   237   465   582   456   583 0.88 | transcript=PVW1_110039400_t1 | gene=PVW1_110039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFK9] | location=CAJZCX010000008:1466531-1468906(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479126.1         -           1391 8091at5820           -            238   1.2e-18   65.9   5.3   1   1   3.7e-20     4e-18   64.3   5.3    20   236  1144  1371  1127  1373 0.77 | transcript=PVW1_080028500_t1 | gene=PVW1_080028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBS8] | location=CAJZCX010000009:1082806-1086981(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 8091at5820           -            238   1.7e-18   65.4   0.2   1   1   2.2e-20   2.3e-18   65.0   0.2    36   234   131   340    83   341 0.83 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476699.1         -            575 8091at5820           -            238   1.8e-18   65.4   2.4   1   3   1.3e-08   1.4e-06   26.5   0.9    18    91   248   323   229   334 0.77 | transcript=PVW1_090019200_t1 | gene=PVW1_090019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | transcript_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | location=CAJZCX010000007:678903-680630(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476699.1         -            575 8091at5820           -            238   1.8e-18   65.4   2.4   2   3   5.9e-07   6.3e-05   21.0   0.0    99   137   357   395   349   406 0.87 | transcript=PVW1_090019200_t1 | gene=PVW1_090019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | transcript_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | location=CAJZCX010000007:678903-680630(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476699.1         -            575 8091at5820           -            238   1.8e-18   65.4   2.4   3   3   3.4e-05    0.0036   15.3   0.0   202   237   481   516   425   517 0.80 | transcript=PVW1_090019200_t1 | gene=PVW1_090019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | transcript_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | location=CAJZCX010000007:678903-680630(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
