#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480600.1         -            783 3000at5820           -            638         0 1325.7  25.8   1   1         0         0 1325.3  25.8    25   638   156   783   130   783 0.96 | transcript=PVW1_070028200_t1 | gene=PVW1_070028200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1028999-1031350(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483268.1         -            843 3000at5820           -            638   2.7e-85  285.5  11.2   1   2     0.091   1.1e+02   -0.7   0.1   100   135    50    85    37   101 0.77 | transcript=PVW1_030015100_t1 | gene=PVW1_030015100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:493733-497670(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483268.1         -            843 3000at5820           -            638   2.7e-85  285.5  11.2   2   2   2.2e-88   2.7e-85  285.5  11.2    57   552   241   744   220   751 0.89 | transcript=PVW1_030015100_t1 | gene=PVW1_030015100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:493733-497670(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472237.1         -           1104 3000at5820           -            638   2.2e-61  206.5  22.6   1   2   1.3e-10   1.6e-07   28.6   0.4    61   112   466   516   447   525 0.79 | transcript=PVW1_140041700_t1 | gene=PVW1_140041700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1558522-1561836(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472237.1         -           1104 3000at5820           -            638   2.2e-61  206.5  22.6   2   2   8.6e-57     1e-53  181.1  16.3   117   615   554  1067   547  1081 0.80 | transcript=PVW1_140041700_t1 | gene=PVW1_140041700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1558522-1561836(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479792.1         -            662 3000at5820           -            638   3.1e-25   87.1  11.2   1   2   2.1e-27   2.6e-24   84.0   9.6    62   552    47   572    21   593 0.74 | transcript=PVW1_050020100_t1 | gene=PVW1_050020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:661755-663743(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479792.1         -            662 3000at5820           -            638   3.1e-25   87.1  11.2   2   2      0.17     2e+02   -1.5   0.0   488   517   594   622   576   660 0.57 | transcript=PVW1_050020100_t1 | gene=PVW1_050020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:661755-663743(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479790.1         -            699 3000at5820           -            638   1.6e-21   74.8  11.4   1   3     3e-14   3.6e-11   40.6   1.4    63   276    60   257    56   282 0.85 | transcript=PVW1_050019900_t1 | gene=PVW1_050019900 | organism=Plasmodium_vivax_PvW1 | gene_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | transcript_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | location=CAJZCX010000010:655468-657567(-) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479790.1         -            699 3000at5820           -            638   1.6e-21   74.8  11.4   2   3   4.2e-11   5.1e-08   30.2   0.3   329   575   358   618   354   627 0.79 | transcript=PVW1_050019900_t1 | gene=PVW1_050019900 | organism=Plasmodium_vivax_PvW1 | gene_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | transcript_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | location=CAJZCX010000010:655468-657567(-) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479790.1         -            699 3000at5820           -            638   1.6e-21   74.8  11.4   3   3    0.0025       3.1    4.5   0.1   426   478   632   684   626   692 0.73 | transcript=PVW1_050019900_t1 | gene=PVW1_050019900 | organism=Plasmodium_vivax_PvW1 | gene_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | transcript_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | location=CAJZCX010000010:655468-657567(-) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
