#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472372.1         -            966 3680at5820           -            620    9e-289  957.6  35.2   1   7   4.2e-56   8.4e-53  178.1   0.1     1    98     1    98     1   110 0.95 | transcript=PVW1_140054700_t1 | gene=PVW1_140054700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2168421-2171566(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472372.1         -            966 3680at5820           -            620    9e-289  957.6  35.2   2   7   7.5e-43   1.5e-39  134.3   0.1    95   176   122   203   119   208 0.97 | transcript=PVW1_140054700_t1 | gene=PVW1_140054700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2168421-2171566(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472372.1         -            966 3680at5820           -            620    9e-289  957.6  35.2   3   7     1e-50     2e-47  160.4   0.9   177   305   288   430   284   437 0.89 | transcript=PVW1_140054700_t1 | gene=PVW1_140054700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2168421-2171566(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472372.1         -            966 3680at5820           -            620    9e-289  957.6  35.2   4   7   2.3e-25   4.6e-22   76.6   0.2   297   360   449   512   441   521 0.90 | transcript=PVW1_140054700_t1 | gene=PVW1_140054700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2168421-2171566(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472372.1         -            966 3680at5820           -            620    9e-289  957.6  35.2   5   7   3.9e-36   7.8e-33  112.2   0.0   358   438   549   631   537   639 0.89 | transcript=PVW1_140054700_t1 | gene=PVW1_140054700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2168421-2171566(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472372.1         -            966 3680at5820           -            620    9e-289  957.6  35.2   6   7     1e-15   2.1e-12   44.7   0.1   447   481   699   733   674   743 0.83 | transcript=PVW1_140054700_t1 | gene=PVW1_140054700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2168421-2171566(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472372.1         -            966 3680at5820           -            620    9e-289  957.6  35.2   7   7   8.5e-83   1.7e-79  266.3   7.7   488   620   828   963   802   963 0.93 | transcript=PVW1_140054700_t1 | gene=PVW1_140054700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2168421-2171566(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477881.1         -            796 3680at5820           -            620   4.4e-10   37.0  40.4   1   3   2.9e-06    0.0058   13.5   6.0    14   179     7   185     3   193 0.72 | transcript=PVW1_110032800_t1 | gene=PVW1_110032800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1222951-1225961(-) | protein_length=796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477881.1         -            796 3680at5820           -            620   4.4e-10   37.0  40.4   2   3    0.0038       7.6    3.2   3.7   179   281   236   359   230   382 0.61 | transcript=PVW1_110032800_t1 | gene=PVW1_110032800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1222951-1225961(-) | protein_length=796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477881.1         -            796 3680at5820           -            620   4.4e-10   37.0  40.4   3   3   5.1e-11     1e-07   29.2  14.9   300   607   422   765   412   776 0.73 | transcript=PVW1_110032800_t1 | gene=PVW1_110032800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1222951-1225961(-) | protein_length=796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482599.1         -            535 3680at5820           -            620     0.031   11.1   3.0   1   1   0.00021      0.42    7.3   3.0     1   133     1   157     1   164 0.65 | transcript=PVW1_040021400_t1 | gene=PVW1_040021400 | organism=Plasmodium_vivax_PvW1 | gene_product=RING zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H876] | transcript_product=RING zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H876] | location=CAJZCX010000013:705750-707357(+) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3680at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3680at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3680at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:17 2026
# [ok]
