#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   1  10  3.4e-153    1e-149  498.6   8.3     1   294     1   330     1   337 0.90 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   2  10  5.5e-101   1.7e-97  325.8   3.5   294   477   373   584   367   635 0.85 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   3  10   1.2e-16   3.5e-13   46.7   1.9   510   553   985  1028   978  1040 0.85 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   4  10   1.3e-09     4e-06   23.3   1.8   544   576  1060  1095  1026  1100 0.71 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   5  10   2.7e-08   8.3e-05   19.0   0.0   573   601  1209  1237  1204  1247 0.90 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   6  10   2.1e-12   6.5e-09   32.5   0.0   599   644  1267  1312  1259  1316 0.92 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   7  10   8.9e-16   2.7e-12   43.7   0.4   644   711  1342  1414  1339  1418 0.91 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   8  10   2.5e-62   7.6e-59  197.8   1.0   696   820  1442  1572  1430  1577 0.93 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   9  10     6e-82   1.8e-78  262.8   2.4   818   962  1684  1828  1678  1851 0.92 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4  10  10   8.7e-08   0.00026   17.3   0.3   965   990  1874  1899  1860  1899 0.90 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473487.1         -            303 841at5820            -            990      0.15    8.2   0.8   1   2   8.2e-05      0.25    7.4   0.2   394   447    28    83    20    86 0.89 | transcript=PVW1_120045400_t1 | gene=PVW1_120045400 | organism=Plasmodium_vivax_PvW1 | gene_product=Glideosome associated protein with multiple membrane spans 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU2] | transcript_product=Glideosome associated protein with multiple membrane spans 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU2] | location=CAJZCX010000004:1703530-1704916(-) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
