#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472474.1         -            896 3459at5820           -            642         0 1305.2  27.6   1   4   6.4e-08   1.7e-05   21.7   2.6     1    43    13    56    13    59 0.92 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472474.1         -            896 3459at5820           -            642         0 1305.2  27.6   2   4         0         0 1240.1   2.9    28   566    63   608    56   617 0.98 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472474.1         -            896 3459at5820           -            642         0 1305.2  27.6   3   4      0.32        84   -0.4   1.9   558   585   739   764   703   784 0.71 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472474.1         -            896 3459at5820           -            642         0 1305.2  27.6   4   4   4.4e-19   1.2e-16   58.6   0.3   583   642   818   894   796   894 0.83 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476794.1         -            950 3459at5820           -            642    8e-115  382.9   0.1   1   1  4.4e-117  1.2e-114  382.3   0.1   108   559   390   845   366   862 0.90 | transcript=PVW1_090024800_t1 | gene=PVW1_090024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:886169-889021(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 3459at5820           -            642  7.1e-112  373.1   5.9   1   2      0.98   2.6e+02   -2.0   1.6   551   586    74   109    26   120 0.73 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 3459at5820           -            642  7.1e-112  373.1   5.9   2   2  2.7e-114  7.1e-112  373.1   5.9   115   571   246   692   225   699 0.92 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 3459at5820           -            642   1.5e-98  329.1   2.0   1   3       0.5   1.3e+02   -1.1   2.0   553   598     6    51     2    87 0.68 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 3459at5820           -            642   1.5e-98  329.1   2.0   2   3   1.5e-46     4e-44  149.3   0.0   113   354   201   437   190   454 0.91 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 3459at5820           -            642   1.5e-98  329.1   2.0   3   3   6.7e-55   1.8e-52  176.9   0.0   115   366   476   721   464   734 0.89 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 3459at5820           -            642   5.7e-95  317.3   0.2   1   2   2.6e-46   6.8e-44  148.5   0.1   109   369   466   722   449   730 0.90 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
