#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481752.1         -            512 5626at5820           -            398  3.2e-227  752.6  20.0   1   2  8.1e-212  4.9e-209  692.7  17.7     1   350    44   395    44   403 0.99 | transcript=PVW1_060024600_t1 | gene=PVW1_060024600 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein HPR1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ1] | transcript_product=Heptatricopeptide repeat-containing protein HPR1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ1] | location=CAJZCX010000012:804272-805810(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481752.1         -            512 5626at5820           -            398  3.2e-227  752.6  20.0   2   2   9.1e-20   5.5e-17   60.3   0.0   348   397   460   510   449   511 0.90 | transcript=PVW1_060024600_t1 | gene=PVW1_060024600 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein HPR1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ1] | transcript_product=Heptatricopeptide repeat-containing protein HPR1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ1] | location=CAJZCX010000012:804272-805810(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473974.1         -            596 5626at5820           -            398   1.8e-11   42.2  32.2   1   2   4.7e-05     0.029   11.8   4.9    44   179    34   169     2   184 0.89 | transcript=PVW1_120078700_t1 | gene=PVW1_120078700 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI18] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI18] | location=CAJZCX010000004:3101955-3103981(-) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473974.1         -            596 5626at5820           -            398   1.8e-11   42.2  32.2   2   2   2.3e-12   1.4e-09   35.9  19.3    43   211   212   386   181   394 0.79 | transcript=PVW1_120078700_t1 | gene=PVW1_120078700 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI18] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI18] | location=CAJZCX010000004:3101955-3103981(-) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 5626at5820           -            398   1.9e-11   42.1   6.7   1   2   2.9e-08   1.7e-05   22.4   0.3    48   141   261   354   244   362 0.93 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 5626at5820           -            398   1.9e-11   42.1   6.7   2   2   4.1e-08   2.5e-05   21.9   1.6    73   194   361   482   357   526 0.89 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 5626at5820           -            398   5.1e-10   37.3  36.6   1   3   8.7e-09   5.3e-06   24.1  18.0    67   290    94   313    77   345 0.85 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 5626at5820           -            398   5.1e-10   37.3  36.6   2   3   0.00086      0.52    7.7   9.9    37   185   252   412   248   414 0.74 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 5626at5820           -            398   5.1e-10   37.3  36.6   3   3   1.1e-06   0.00066   17.2  10.4    67   189   364   490   348   506 0.85 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 5626at5820           -            398   2.7e-09   35.0  23.1   1   5       0.7   4.3e+02   -1.9   0.2   112   148   103   139    52   167 0.65 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 5626at5820           -            398   2.7e-09   35.0  23.1   2   5     0.002       1.2    6.5   0.0    18    77   264   323   244   335 0.71 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 5626at5820           -            398   2.7e-09   35.0  23.1   3   5   8.8e-09   5.4e-06   24.1   4.3    90   192   408   511   406   539 0.90 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 5626at5820           -            398   2.7e-09   35.0  23.1   4   5      0.12        71    0.7   0.1    55    90   526   564   511   566 0.77 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 5626at5820           -            398   2.7e-09   35.0  23.1   5   5   1.7e-05     0.011   13.3   2.5     6    96   631   721   627   786 0.83 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
