#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474784.1         -            934 2524at5820           -            799         0 1618.3  77.2   1   2         0         0 1255.0  47.9     1   589     1   608     1   622 0.97 | transcript=PVW1_100029600_t1 | gene=PVW1_100029600 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYC6] | transcript_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYC6] | location=CAJZCX010000005:1171229-1175079(+) | protein_length=934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474784.1         -            934 2524at5820           -            799         0 1618.3  77.2   2   2  1.6e-113    2e-110  368.7  19.7   579   799   663   931   651   931 0.91 | transcript=PVW1_100029600_t1 | gene=PVW1_100029600 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYC6] | transcript_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYC6] | location=CAJZCX010000005:1171229-1175079(+) | protein_length=934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484285.1         -            902 2524at5820           -            799   1.4e-80  270.0  40.8   1   2   1.2e-83   1.4e-80  270.0  40.8    13   564     6   577     2   586 0.91 | transcript=PVW1_020023500_t1 | gene=PVW1_020023500 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H799] | transcript_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H799] | location=CAJZCX010000015:823931-827230(-) | protein_length=902 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484285.1         -            902 2524at5820           -            799   1.4e-80  270.0  40.8   2   2      0.72   8.8e+02   -3.8   0.6   641   745   737   843   733   873 0.50 | transcript=PVW1_020023500_t1 | gene=PVW1_020023500 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H799] | transcript_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H799] | location=CAJZCX010000015:823931-827230(-) | protein_length=902 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478026.1         -           1004 2524at5820           -            799   6.6e-26   89.2  15.0   1   2   3.9e-26   4.7e-23   79.8   1.3     4   189    32   214    29   222 0.92 | transcript=PVW1_110041400_t1 | gene=PVW1_110041400 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-3 complex subunit beta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM9] | transcript_product=AP-3 complex subunit beta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM9] | location=CAJZCX010000008:1559770-1562784(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478026.1         -           1004 2524at5820           -            799   6.6e-26   89.2  15.0   2   2   1.9e-06    0.0024   14.6   6.4   227   450   368   592   357   628 0.86 | transcript=PVW1_110041400_t1 | gene=PVW1_110041400 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-3 complex subunit beta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM9] | transcript_product=AP-3 complex subunit beta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM9] | location=CAJZCX010000008:1559770-1562784(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475751.1         -           1313 2524at5820           -            799   1.4e-09   35.2   6.6   1   2   1.2e-12   1.4e-09   35.2   6.6    16   200    25   230    13   237 0.80 | transcript=PVW1_130026700_t1 | gene=PVW1_130026700 | organism=Plasmodium_vivax_PvW1 | gene_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | transcript_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | location=CAJZCX010000006:976654-980933(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475751.1         -           1313 2524at5820           -            799   1.4e-09   35.2   6.6   2   2     0.011        13    2.3   2.9   276   353   401   481   350   500 0.79 | transcript=PVW1_130026700_t1 | gene=PVW1_130026700 | organism=Plasmodium_vivax_PvW1 | gene_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | transcript_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | location=CAJZCX010000006:976654-980933(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 2524at5820           -            799    0.0016   15.1  36.6   1   3   1.1e-06    0.0013   15.4  19.0    25   350    53   394    38   415 0.71 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 2524at5820           -            799    0.0016   15.1  36.6   2   3   2.4e-05     0.029   11.0   3.3   411   523   614   729   600   795 0.74 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 2524at5820           -            799    0.0016   15.1  36.6   3   3      0.63   7.6e+02   -3.6   0.4   502   553  1215  1267  1197  1293 0.71 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
