#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476737.1         -            690 3676at5820           -            548         0 1042.7  34.0   1   3  7.5e-110  2.4e-107  358.2   5.2     9   196    22   212     8   232 0.91 | transcript=PVW1_090021900_t1 | gene=PVW1_090021900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:778466-780538(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476737.1         -            690 3676at5820           -            548         0 1042.7  34.0   2   3  8.3e-111  2.6e-108  361.4   5.9   187   386   251   477   245   483 0.88 | transcript=PVW1_090021900_t1 | gene=PVW1_090021900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:778466-780538(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476737.1         -            690 3676at5820           -            548         0 1042.7  34.0   3   3  9.6e-103  3.1e-100  334.7   7.0   390   548   527   690   511   690 0.96 | transcript=PVW1_090021900_t1 | gene=PVW1_090021900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:778466-780538(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472549.1         -            611 3676at5820           -            548   8.1e-99  330.0   0.4   1   1  3.7e-101   1.2e-98  329.5   0.4     3   537     9   564     7   570 0.81 | transcript=PVW1_140071400_t1 | gene=PVW1_140071400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2839212-2842431(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483181.1         -            762 3676at5820           -            548     4e-25   86.8  19.4   1   4      0.49   1.6e+02   -1.0   0.0    11    30    16    35     4    42 0.85 | transcript=PVW1_030011200_t1 | gene=PVW1_030011200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | transcript_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | location=CAJZCX010000014:327464-329880(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483181.1         -            762 3676at5820           -            548     4e-25   86.8  19.4   2   4   1.1e-10   3.6e-08   30.8   1.8   291   372   379   455   367   462 0.82 | transcript=PVW1_030011200_t1 | gene=PVW1_030011200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | transcript_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | location=CAJZCX010000014:327464-329880(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483181.1         -            762 3676at5820           -            548     4e-25   86.8  19.4   3   4   1.2e-11   3.8e-09   34.1   0.7   419   492   621   690   611   710 0.80 | transcript=PVW1_030011200_t1 | gene=PVW1_030011200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | transcript_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | location=CAJZCX010000014:327464-329880(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483181.1         -            762 3676at5820           -            548     4e-25   86.8  19.4   4   4   1.6e-10     5e-08   30.4   2.8   486   527   712   753   701   760 0.88 | transcript=PVW1_030011200_t1 | gene=PVW1_030011200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | transcript_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | location=CAJZCX010000014:327464-329880(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476721.1         -            495 3676at5820           -            548   7.7e-11   39.7   8.4   1   3   7.2e-07   0.00023   18.3   0.1   285   381   274   366   177   380 0.83 | transcript=PVW1_090020600_t1 | gene=PVW1_090020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | transcript_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | location=CAJZCX010000007:735299-736786(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476721.1         -            495 3676at5820           -            548   7.7e-11   39.7   8.4   2   3       1.3   4.3e+02   -2.4   0.0   427   448   395   416   388   420 0.86 | transcript=PVW1_090020600_t1 | gene=PVW1_090020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | transcript_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | location=CAJZCX010000007:735299-736786(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476721.1         -            495 3676at5820           -            548   7.7e-11   39.7   8.4   3   3   1.2e-08   3.9e-06   24.1   2.5   474   514   425   471   419   483 0.81 | transcript=PVW1_090020600_t1 | gene=PVW1_090020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | transcript_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | location=CAJZCX010000007:735299-736786(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
