#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6   1  30    1e-164  6.2e-161  535.4  19.6     1   249     1   249     1   285 0.96 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6   2  30   1.2e-10   7.5e-07   24.0  11.4   238   286   288   341   273   348 0.85 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6   3  30   9.7e-31   5.9e-27   90.7   0.1   278   354   374   452   361   456 0.91 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6   4  30   0.00081       4.9    1.3   0.0   347   368   477   498   470   515 0.87 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6   5  30  6.5e-147    4e-143  476.3  16.1   417   646   651   880   634   890 0.97 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6   6  30    2e-239  1.2e-235  783.4  41.1   647  1060   939  1380   936  1430 0.92 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6   7  30   0.00072       4.4    1.5   4.0  1052  1101  1442  1505  1435  1525 0.66 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6   8  30   1.1e-53   6.8e-50  166.8  19.7  1091  1219  1564  1691  1511  1701 0.86 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6   9  30   2.4e-05      0.14    6.4   0.0  1215  1246  1848  1880  1841  1888 0.81 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6  10  30   9.9e-46     6e-42  140.5   9.3  1250  1341  2040  2136  1999  2159 0.81 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473219.1         -           7239 18at5820             -           4644         0 7625.0 576.6  11  30   8.8e-50   5.3e-46  153.9   2.7  1340  1444  2174  2290  2161  2299 0.87 | transcript=PVW1_120025600_t1 | gene=PVW1_120025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:928662-950381(+) | protein_length=7239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
