#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472238.1         -           1079 4909at5820           -            586    7e-301  997.4  92.5   1   6   5.1e-23   3.1e-20   70.7   1.0     1    69    18   106    18   114 0.85 | transcript=PVW1_140041900_t1 | gene=PVW1_140041900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | location=CAJZCX010000003:1566482-1569721(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472238.1         -           1079 4909at5820           -            586    7e-301  997.4  92.5   2   6   1.5e-35   9.3e-33  112.1  16.0    54   139   135   224   127   228 0.86 | transcript=PVW1_140041900_t1 | gene=PVW1_140041900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | location=CAJZCX010000003:1566482-1569721(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472238.1         -           1079 4909at5820           -            586    7e-301  997.4  92.5   3   6  9.4e-156  5.7e-153  509.0  33.2   129   394   241   525   226   528 0.92 | transcript=PVW1_140041900_t1 | gene=PVW1_140041900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | location=CAJZCX010000003:1566482-1569721(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472238.1         -           1079 4909at5820           -            586    7e-301  997.4  92.5   4   6   8.2e-13     5e-10   37.0   0.0   393   429   779   819   776   881 0.77 | transcript=PVW1_140041900_t1 | gene=PVW1_140041900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | location=CAJZCX010000003:1566482-1569721(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472238.1         -           1079 4909at5820           -            586    7e-301  997.4  92.5   5   6     3e-55   1.8e-52  177.2   7.5   429   521   898   990   892   994 0.96 | transcript=PVW1_140041900_t1 | gene=PVW1_140041900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | location=CAJZCX010000003:1566482-1569721(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472238.1         -           1079 4909at5820           -            586    7e-301  997.4  92.5   6   6   6.2e-36   3.8e-33  113.4   2.0   501   586   993  1079   989  1079 0.94 | transcript=PVW1_140041900_t1 | gene=PVW1_140041900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | location=CAJZCX010000003:1566482-1569721(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 4909at5820           -            586   1.2e-08   32.4  21.0   1   4   6.5e-10   3.9e-07   27.4   0.5    90   130     9    49     2    53 0.84 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 4909at5820           -            586   1.2e-08   32.4  21.0   2   4     0.023        14    2.5   0.0   153   183    43    76    41    81 0.83 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 4909at5820           -            586   1.2e-08   32.4  21.0   3   4     5e-07    0.0003   17.9  14.2   214   328   174   296   133   310 0.69 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 4909at5820           -            586   1.2e-08   32.4  21.0   4   4        10   6.1e+03   -6.5   7.1   107   159   619   671   606   694 0.51 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475500.1         -            245 4909at5820           -            586   2.3e-07   28.2   0.6   1   2   2.9e-08   1.7e-05   22.0   0.0    86   125     3    42     1    51 0.84 | transcript=PVW1_130017400_t1 | gene=PVW1_130017400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | location=CAJZCX010000006:572281-573923(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
