#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475874.1         -            456 11519at5820          -            319  2.6e-173  574.3  31.8   1   3  3.7e-129  2.8e-126  419.7   8.5     1   191     1   191     1   195 0.99 | transcript=PVW1_130032300_t1 | gene=PVW1_130032300 | organism=Plasmodium_vivax_PvW1 | gene_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | transcript_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | location=CAJZCX010000006:1206431-1208900(-) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475874.1         -            456 11519at5820          -            319  2.6e-173  574.3  31.8   2   3       1.1   8.1e+02   -2.4   0.0   186   199   213   226   209   230 0.84 | transcript=PVW1_130032300_t1 | gene=PVW1_130032300 | organism=Plasmodium_vivax_PvW1 | gene_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | transcript_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | location=CAJZCX010000006:1206431-1208900(-) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475874.1         -            456 11519at5820          -            319  2.6e-173  574.3  31.8   3   3   1.2e-50   8.8e-48  161.8  13.2   194   318   309   449   297   450 0.89 | transcript=PVW1_130032300_t1 | gene=PVW1_130032300 | organism=Plasmodium_vivax_PvW1 | gene_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | transcript_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV6] | location=CAJZCX010000006:1206431-1208900(-) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476731.1         -            167 11519at5820          -            319   3.6e-31  107.2   0.3   1   1   6.2e-34   4.7e-31  106.8   0.3    16   174     4   159     2   162 0.92 | transcript=PVW1_090021500_t1 | gene=PVW1_090021500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | location=CAJZCX010000007:766653-768255(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474779.1         -            203 11519at5820          -            319   1.2e-30  105.5   1.4   1   1   1.9e-33   1.5e-30  105.2   1.4    12   165    45   195    18   201 0.93 | transcript=PVW1_100029100_t1 | gene=PVW1_100029100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | location=CAJZCX010000005:1152373-1152984(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475000.1         -            737 11519at5820          -            319   4.7e-29  100.3   0.5   1   2       1.2   8.8e+02   -2.5   2.1   139   226   436   526   420   573 0.61 | transcript=PVW1_100047800_t1 | gene=PVW1_100047800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1940934-1943147(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475000.1         -            737 11519at5820          -            319   4.7e-29  100.3   0.5   2   2   6.2e-32   4.7e-29  100.3   0.5    10   164   580   731   570   736 0.93 | transcript=PVW1_100047800_t1 | gene=PVW1_100047800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1940934-1943147(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485056.1         -            262 11519at5820          -            319   4.5e-16   57.6   2.8   1   1   7.8e-19   5.9e-16   57.2   2.8    21   149   106   241    97   258 0.83 | transcript=PVW1_010020100_t1 | gene=PVW1_010020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | location=CAJZCX010000016:675590-676378(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479025.1         -            170 11519at5820          -            319   2.1e-15   55.4   0.1   1   1   3.6e-18   2.8e-15   55.0   0.1    19   136    15   139     5   151 0.85 | transcript=PVW1_080023500_t1 | gene=PVW1_080023500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | location=CAJZCX010000009:842378-842890(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476724.1         -            193 11519at5820          -            319   1.1e-12   46.5   0.1   1   1   1.7e-15   1.3e-12   46.3   0.1     4   144    24   169    21   185 0.80 | transcript=PVW1_090020900_t1 | gene=PVW1_090020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | location=CAJZCX010000007:744861-745956(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475318.1         -            226 11519at5820          -            319   2.5e-10   38.7   2.8   1   2   7.3e-13   5.5e-10   37.6   1.3    21   135    19   142     5   145 0.80 | transcript=PVW1_130008300_t1 | gene=PVW1_130008300 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | location=CAJZCX010000006:165412-167102(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
